Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
Germany	Solar	1	scenario1	1	0.0
Germany	Solar	2	scenario1	1	0.002
Germany	Solar	3	scenario1	1	0.032
Germany	Solar	4	scenario1	1	0.075
Germany	Solar	5	scenario1	1	0.105
Germany	Solar	6	scenario1	1	0.099
Germany	Solar	7	scenario1	1	0.079
Germany	Solar	8	scenario1	1	0.044
Germany	Solar	9	scenario1	1	0.011
Germany	Solar	10	scenario1	1	0.0
Germany	Solar	11	scenario1	1	0.0
Germany	Solar	12	scenario1	1	0.0
Germany	Solar	13	scenario1	1	0.0
Germany	Solar	14	scenario1	1	0.0
Germany	Solar	15	scenario1	1	0.0
Germany	Solar	16	scenario1	1	0.0
Germany	Solar	17	scenario1	1	0.0
Germany	Solar	18	scenario1	1	0.0
Germany	Solar	19	scenario1	1	0.0
Germany	Solar	20	scenario1	1	0.0
Germany	Solar	21	scenario1	1	0.0
Germany	Solar	22	scenario1	1	0.0
Germany	Solar	23	scenario1	1	0.0
Germany	Solar	24	scenario1	1	0.0
Denmark	Solar	1	scenario1	1	0.0
Denmark	Solar	2	scenario1	1	0.0
Denmark	Solar	3	scenario1	1	0.007
Denmark	Solar	4	scenario1	1	0.028
Denmark	Solar	5	scenario1	1	0.042
Denmark	Solar	6	scenario1	1	0.044
Denmark	Solar	7	scenario1	1	0.034
Denmark	Solar	8	scenario1	1	0.017
Denmark	Solar	9	scenario1	1	0.002
Denmark	Solar	10	scenario1	1	0.0
Denmark	Solar	11	scenario1	1	0.0
Denmark	Solar	12	scenario1	1	0.0
Denmark	Solar	13	scenario1	1	0.0
Denmark	Solar	14	scenario1	1	0.0
Denmark	Solar	15	scenario1	1	0.0
Denmark	Solar	16	scenario1	1	0.0
Denmark	Solar	17	scenario1	1	0.0
Denmark	Solar	18	scenario1	1	0.0
Denmark	Solar	19	scenario1	1	0.0
Denmark	Solar	20	scenario1	1	0.0
Denmark	Solar	21	scenario1	1	0.0
Denmark	Solar	22	scenario1	1	0.0
Denmark	Solar	23	scenario1	1	0.0
Denmark	Solar	24	scenario1	1	0.0
