Location,Latitude,Longitude
Austria,47.516232,14.550072
BosniaH,43.915886,17.679075
Belgium,50.503887,4.469936
Bulgaria,42.7249925,25.4833039
Switzerland,46.818188,8.227512
CzechR,49.817493,15.472962
Germany,51.165691,10.451526
Denmark,56.26392,9.501785
Estonia,58.595272,25.013607
Spain,40.463669,-3.74922
Finland,61.92411,25.748152
France,46.227638,2.213749
GreatBrit.,55.378052,-3.435973
Greece,39.074207,21.824312
Croatia,45.43845,13.708931
Hungary,47.162495,19.503304
Ireland,53.41291,-8.24389
Italy,41.871941,12.56738
Lithuania,55.169437,23.881275
Luxemb.,49.610001,6.12963
Latvia,56.879635,24.603189
Macedonia,41.608635,21.745275
Netherlands,52.132633,5.291266
NO1,59.913868,10.752245
NO2,58.14671,7.9956
NO3,63.446827,10.421906
NO4,67.280357,14.404916
NO5,60.397076,5.324383
Poland,51.919437,19.145136
Portugal,39.399872,-8.224454
Romania,45.943161,24.966761
Serbia,44.016521,21.005859
Sweden,60.128162,18.643501
Slovenia,46.151241,14.995463
Slovakia,48.669025,19.699024
MorayFirth,58.0551815661137,-3.04508317120308
FirthofForth,56.3985527854922,-1.64858763687105
DoggerBank,55.6277966201664,2.42099801334641
Hornsea,53.9028374949413,2.11066567238373
OuterDowsing,53.4516480250424,1.01039646351607
Norfolk,52.9276399505597,2.42099801334641
EastAnglia,52.0168646428687,2.33636192035659
Borssele,51.8080289868982,3.01345066427515
HollandseeKust,52.5770869676517,4.24126957834277
HelgolanderBucht,54.2032336988543,7.86881422371661
Nordsoen,56.4102565937293,7.65332697616809
UtsiraNord,59.3193208314203,4.78703878476177
SorligeNordsjoI,57.7279668398931,3.93617195595611
SorligeNordsjoII,57.0456680601676,5.98330080766705
