Node,Period,Storage_max_injection_capacity_(ton/hour)
NO2,1,171.23287671232876
NO5,1,0.0
NO3,1,0.0
GreatBrit.,1,0.0
Netherlands,1,285.38812785388126
Denmark,1,0.0
NO2,2,5159.817351598173
NO5,2,0.0
NO3,2,0.0
GreatBrit.,2,0.0
Netherlands,2,2933.7899543378994
Denmark,2,3595.890410958904
NO2,3,8242.009132420091
NO5,3,0.0
NO3,3,0.0
GreatBrit.,3,0.0
Netherlands,3,3287.671232876712
Denmark,3,4337.899543378995
NO2,4,0.0
NO2,5,0.0
NO2,6,0.0
NO2,7,0.0
NO5,4,0.0
NO5,5,0.0
NO5,6,0.0
NO5,7,0.0
NO3,4,0.0
NO3,5,0.0
NO3,6,0.0
NO3,7,0.0
GreatBrit.,4,0.0
GreatBrit.,5,0.0
GreatBrit.,6,0.0
GreatBrit.,7,0.0
Netherlands,4,0.0
Netherlands,5,0.0
Netherlands,6,0.0
Netherlands,7,0.0
Denmark,4,0.0
Denmark,5,0.0
Denmark,6,0.0
Denmark,7,0.0
