Node,GeneratorTechnology,Period,generatorMaxInstalledCapacityByPeriod_in_MW
Austria,Wind_onshr,1,4021
Belgium,Wind_onshr,1,3242
BosniaH,Wind_onshr,1,500
Bulgaria,Wind_onshr,1,705
Croatia,Wind_onshr,1,1143
CzechR,Wind_onshr,1,500
Denmark,Wind_onshr,1,4860
Estonia,Wind_onshr,1,500
Finland,Wind_onshr,1,6884
France,Wind_onshr,1,22194
Germany,Wind_onshr,1,61052
GreatBrit.,Wind_onshr,1,16000
Greece,Wind_onshr,1,5220
Hungary,Wind_onshr,1,500
Ireland,Wind_onshr,1,4782
Italy,Wind_onshr,1,12308
Latvia,Wind_onshr,1,500
Lithuania,Wind_onshr,1,1288
Luxemb.,Wind_onshr,1,500
Macedonia,Wind_onshr,1,500
NO1,Wind_onshr,1,500
NO2,Wind_onshr,1,1447
NO3,Wind_onshr,1,2120
NO4,Wind_onshr,1,1160
NO5,Wind_onshr,1,500
Netherlands,Wind_onshr,1,6812
Poland,Wind_onshr,1,9628
Portugal,Wind_onshr,1,5592
Romania,Wind_onshr,1,3087
Serbia,Wind_onshr,1,646
Slovakia,Wind_onshr,1,500
Slovenia,Wind_onshr,1,500
Spain,Wind_onshr,1,31021
Sweden,Wind_onshr,1,16700
Switzerland,Wind_onshr,1,500
Austria,Wind_onshr,2,5364
Belgium,Wind_onshr,2,4640
BosniaH,Wind_onshr,2,681
Bulgaria,Wind_onshr,2,811
Croatia,Wind_onshr,2,1860
CzechR,Wind_onshr,2,736
Denmark,Wind_onshr,2,5525
Estonia,Wind_onshr,2,726
Finland,Wind_onshr,2,13266
France,Wind_onshr,2,31958
Germany,Wind_onshr,2,72930
GreatBrit.,Wind_onshr,2,21381
Greece,Wind_onshr,2,7632
Hungary,Wind_onshr,2,735
Ireland,Wind_onshr,2,6433
Italy,Wind_onshr,2,15249
Latvia,Wind_onshr,2,855
Lithuania,Wind_onshr,2,2355
Luxemb.,Wind_onshr,2,551
Macedonia,Wind_onshr,2,675
NO1,Wind_onshr,2,861
NO2,Wind_onshr,2,2247
NO3,Wind_onshr,2,2182
NO4,Wind_onshr,2,1674
NO5,Wind_onshr,2,1004
Netherlands,Wind_onshr,2,9966
Poland,Wind_onshr,2,14598
Portugal,Wind_onshr,2,6424
Romania,Wind_onshr,2,3793
Serbia,Wind_onshr,2,1471
Slovakia,Wind_onshr,2,734
Slovenia,Wind_onshr,2,671
Spain,Wind_onshr,2,36682
Sweden,Wind_onshr,2,26298
Switzerland,Wind_onshr,2,596
Austria,Wind_onshr,3,7034
Belgium,Wind_onshr,3,6387
BosniaH,Wind_onshr,3,923
Bulgaria,Wind_onshr,3,932
Croatia,Wind_onshr,3,2957
CzechR,Wind_onshr,3,1082
Denmark,Wind_onshr,3,6262
Estonia,Wind_onshr,3,1043
Finland,Wind_onshr,3,20571
France,Wind_onshr,3,45585
Germany,Wind_onshr,3,84759
GreatBrit.,Wind_onshr,3,28332
Greece,Wind_onshr,3,10962
Hungary,Wind_onshr,3,1080
Ireland,Wind_onshr,3,8473
Italy,Wind_onshr,3,18846
Latvia,Wind_onshr,3,1419
Lithuania,Wind_onshr,3,4097
Luxemb.,Wind_onshr,3,591
Macedonia,Wind_onshr,3,904
NO1,Wind_onshr,3,1239
NO2,Wind_onshr,3,3063
NO3,Wind_onshr,3,2196
NO4,Wind_onshr,3,2069
NO5,Wind_onshr,3,1669
Netherlands,Wind_onshr,3,14090
Poland,Wind_onshr,3,21555
Portugal,Wind_onshr,3,7369
Romania,Wind_onshr,3,4652
Serbia,Wind_onshr,3,3122
Slovakia,Wind_onshr,3,1074
Slovenia,Wind_onshr,3,891
Spain,Wind_onshr,3,43249
Sweden,Wind_onshr,3,37233
Switzerland,Wind_onshr,3,685
Austria,Wind_onshr,4,9031
Belgium,Wind_onshr,4,8394
BosniaH,Wind_onshr,4,1244
Bulgaria,Wind_onshr,4,1072
Croatia,Wind_onshr,4,4546
CzechR,Wind_onshr,4,1586
Denmark,Wind_onshr,4,7073
Estonia,Wind_onshr,4,1473
Finland,Wind_onshr,4,26071
France,Wind_onshr,4,64176
Germany,Wind_onshr,4,95920
GreatBrit.,Wind_onshr,4,37141
Greece,Wind_onshr,4,15371
Hungary,Wind_onshr,4,1582
Ireland,Wind_onshr,4,10876
Italy,Wind_onshr,4,23221
Latvia,Wind_onshr,4,2254
Lithuania,Wind_onshr,4,6601
Luxemb.,Wind_onshr,4,623
Macedonia,Wind_onshr,4,1200
NO1,Wind_onshr,4,1519
NO2,Wind_onshr,4,3711
NO3,Wind_onshr,4,2199
