GeneratorTechnology,CO2Content_in_tCO2/GJ
Liginiteexisting,0.101
Lignite,0.101
LigniteCCSadv,0.0101
LigniteCCSsup,0.0101
Coalexisting,0.0983
Coal,0.0983
CoalCCSadv,0.00983
CoalCCS,0.00983
Gasexisting,0.0561
GasOCGT,0.0561
GasCCGT,0.0561
BiomethaneOCGT,0.0
BiomethaneCCGT,0.0
GasCCSadv,0.00561
GasCCS,0.00561
Oilexisting,0.07740000000000001
Bioexisting,0.0
Bio10cofiring,0.0885
Bio10cofiringCCS,0.00885
Nuclear,0.0
Wave,0.0
Geo,0.0
Hydroregulated,0.0
Hydrorun-of-the-river,0.0
Bio,0.0
Windonshore,0.0
Windoffshoregrounded,0.0
Windoffshorefloating,0.0
Solar,0.0
Waste,0.037
HydrogenOCGT,0.0
HydrogenCCGT,0.0
Hydrogenfuelcell,0.0
