GeneratorTechnology,Period,generatorCapitalCost_in_euro_per_kW
Bio,1,1920.0
Bio,2,1800.0
Bio,3,1800.0
Bio,4,1780.0
Bio,5,1720.0
Bio,6,1700.0
Bio,7,1700.0
Bio10cofiring,1,1600.0
Bio10cofiring,2,1600.0
Bio10cofiring,3,1600.0
Bio10cofiring,4,1600.0
Bio10cofiring,5,1600.0
Bio10cofiring,6,1600.0
Bio10cofiring,7,1600.0
Bio10cofiringCCS,1,2572.0
Bio10cofiringCCS,2,2530.0
Bio10cofiringCCS,3,2494.0
Bio10cofiringCCS,4,2456.0
Bio10cofiringCCS,5,2414.0
Bio10cofiringCCS,6,2372.0
Bio10cofiringCCS,7,2330.0
BiomethaneCCGT,1,708.0
BiomethaneCCGT,2,690.0
BiomethaneCCGT,3,690.0
BiomethaneCCGT,4,684.0
BiomethaneCCGT,5,666.0
BiomethaneCCGT,6,660.0
BiomethaneCCGT,7,660.0
BiomethaneOCGT,1,400.0
BiomethaneOCGT,2,400.0
BiomethaneOCGT,3,400.0
BiomethaneOCGT,4,400.0
BiomethaneOCGT,5,400.0
BiomethaneOCGT,6,400.0
BiomethaneOCGT,7,400.0
Coal,1,1600.0
Coal,2,1600.0
Coal,3,1600.0
Coal,4,1600.0
Coal,5,1600.0
Coal,6,1600.0
Coal,7,1600.0
CoalCCS,1,3470.0
CoalCCS,2,3350.0
CoalCCS,3,3350.0
CoalCCS,4,3330.0
CoalCCS,5,3270.0
CoalCCS,6,3250.0
CoalCCS,7,3250.0
CoalCCSadv,1,2472.0
CoalCCSadv,2,2430.0
CoalCCSadv,3,2394.0
CoalCCSadv,4,2356.0
CoalCCSadv,5,2314.0
CoalCCSadv,6,2272.0
CoalCCSadv,7,2230.0
GasCCGT,1,708.0
GasCCGT,2,690.0
GasCCGT,3,690.0
GasCCGT,4,684.0
GasCCGT,5,666.0
GasCCGT,6,660.0
GasCCGT,7,660.0
GasCCS,1,1700.0
GasCCS,2,1625.0
GasCCS,3,1625.0
GasCCS,4,1600.0
GasCCS,5,1525.0
GasCCS,6,1500.0
GasCCS,7,1500.0
GasCCSadv,1,1342.0
GasCCSadv,2,1330.0
GasCCSadv,3,1318.0
GasCCSadv,4,1306.0
GasCCSadv,5,1294.0
GasCCSadv,6,1282.0
GasCCSadv,7,1270.0
GasOCGT,1,400.0
GasOCGT,2,400.0
GasOCGT,3,400.0
GasOCGT,4,400.0
GasOCGT,5,400.0
GasOCGT,6,400.0
GasOCGT,7,400.0
Geo,1,4816.4
Geo,2,4586.0
Geo,3,4586.0
Geo,4,4418.6
Geo,5,3916.4
Geo,6,3749.0
Geo,7,3749.0
Hydroregulated,1,3000.0
Hydroregulated,2,3000.0
Hydroregulated,3,3000.0
Hydroregulated,4,3000.0
Hydroregulated,5,3000.0
Hydroregulated,6,3000.0
Hydroregulated,7,3000.0
Hydrorun-of-the-river,1,2430.0
Hydrorun-of-the-river,2,2400.0
Hydrorun-of-the-river,3,2400.0
Hydrorun-of-the-river,4,2390.0
Hydrorun-of-the-river,5,2360.0
Hydrorun-of-the-river,6,2350.0
Hydrorun-of-the-river,7,2350.0
HydrogenCCGT,1,708.0
HydrogenCCGT,2,690.0
HydrogenCCGT,3,690.0
HydrogenCCGT,4,684.0
HydrogenCCGT,5,666.0
HydrogenCCGT,6,660.0
HydrogenCCGT,7,660.0
HydrogenOCGT,1,400.0
HydrogenOCGT,2,400.0
HydrogenOCGT,3,400.0
HydrogenOCGT,4,400.0
HydrogenOCGT,5,400.0
HydrogenOCGT,6,400.0
HydrogenOCGT,7,400.0
Hydrogenfuelcell,1,3336.0
Hydrogenfuelcell,2,3090.0
Hydrogenfuelcell,3,3090.0
Hydrogenfuelcell,4,3046.2
Hydrogenfuelcell,5,2914.8
Hydrogenfuelcell,6,2871.0
Hydrogenfuelcell,7,2871.0
Lignite,1,1800.0
Lignite,2,1800.0
Lignite,3,1800.0
Lignite,4,1800.0
Lignite,5,1800.0
Lignite,6,1800.0
Lignite,7,1800.0
LigniteCCSadv,1,2572.0
LigniteCCSadv,2,2530.0
LigniteCCSadv,3,2494.0
LigniteCCSadv,4,2456.0
LigniteCCSadv,5,2414.0
LigniteCCSadv,6,2372.0
LigniteCCSadv,7,2330.0
LigniteCCSsup,1,3799.230769230769
