GeneratorTechnology,Period,generatorEfficiency
Bio,1,0.396
Bio,2,0.42
Bio,3,0.42
Bio,4,0.422
Bio,5,0.428
Bio,6,0.43
Bio,7,0.43
Bio10cofiring,1,0.457
Bio10cofiring,2,0.46
Bio10cofiring,3,0.463
Bio10cofiring,4,0.466
Bio10cofiring,5,0.469
Bio10cofiring,6,0.472
Bio10cofiring,7,0.475
Bio10cofiringCCS,1,0.385
Bio10cofiringCCS,2,0.385
Bio10cofiringCCS,3,0.385
Bio10cofiringCCS,4,0.387
Bio10cofiringCCS,5,0.393
Bio10cofiringCCS,6,0.399
Bio10cofiringCCS,7,0.405
Bioexisting,1,0.396
Bioexisting,2,0.42
Bioexisting,3,0.42
Bioexisting,4,0.422
Bioexisting,5,0.428
Bioexisting,6,0.43
Bioexisting,7,0.43
BiomethaneCCGT,1,0.574
BiomethaneCCGT,2,0.58
BiomethaneCCGT,3,0.58
BiomethaneCCGT,4,0.582
BiomethaneCCGT,5,0.588
BiomethaneCCGT,6,0.59
BiomethaneCCGT,7,0.59
BiomethaneOCGT,1,0.4038
BiomethaneOCGT,2,0.405
BiomethaneOCGT,3,0.4068
BiomethaneOCGT,4,0.4084
BiomethaneOCGT,5,0.4096
BiomethaneOCGT,6,0.4112
BiomethaneOCGT,7,0.413
Coal,1,0.396
Coal,2,0.42
Coal,3,0.42
Coal,4,0.422
Coal,5,0.428
Coal,6,0.43
Coal,7,0.43
CoalCCS,1,0.378
CoalCCS,2,0.39
CoalCCS,3,0.39
CoalCCS,4,0.392
CoalCCS,5,0.398
CoalCCS,6,0.4
CoalCCS,7,0.4
CoalCCSadv,1,0.385
CoalCCSadv,2,0.385
CoalCCSadv,3,0.385
CoalCCSadv,4,0.387
CoalCCSadv,5,0.393
CoalCCSadv,6,0.399
CoalCCSadv,7,0.405
Coalexisting,1,0.396
Coalexisting,2,0.42
Coalexisting,3,0.42
Coalexisting,4,0.422
Coalexisting,5,0.428
Coalexisting,6,0.43
Coalexisting,7,0.43
GasCCGT,1,0.574
GasCCGT,2,0.58
GasCCGT,3,0.58
GasCCGT,4,0.582
GasCCGT,5,0.588
GasCCGT,6,0.59
GasCCGT,7,0.59
GasCCS,1,0.442
GasCCS,2,0.46
GasCCS,3,0.46
GasCCS,4,0.464
GasCCS,5,0.476
GasCCS,6,0.48
GasCCS,7,0.48
GasCCSadv,1,0.52125
GasCCSadv,2,0.52125
GasCCSadv,3,0.52125
GasCCSadv,4,0.5246
GasCCSadv,5,0.5346500000000001
GasCCSadv,6,0.5448000000000001
GasCCSadv,7,0.555
Gasexisting,1,0.4926
Gasexisting,2,0.498
Gasexisting,3,0.5028
Gasexisting,4,0.5078
Gasexisting,5,0.5132
Gasexisting,6,0.5186000000000001
Gasexisting,7,0.524
GasOCGT,1,0.4038
GasOCGT,2,0.405
GasOCGT,3,0.4068
GasOCGT,4,0.4084
GasOCGT,5,0.4096
GasOCGT,6,0.4112
GasOCGT,7,0.413
Geo,1,0.1
Geo,2,0.1
Geo,3,0.1
Geo,4,0.1
Geo,5,0.1
Geo,6,0.1
Geo,7,0.1
Hydroregulated,1,1.0
Hydroregulated,2,1.0
Hydroregulated,3,1.0
Hydroregulated,4,1.0
Hydroregulated,5,1.0
Hydroregulated,6,1.0
Hydroregulated,7,1.0
Hydrorun-of-the-river,1,1.0
Hydrorun-of-the-river,2,1.0
Hydrorun-of-the-river,3,1.0
Hydrorun-of-the-river,4,1.0
Hydrorun-of-the-river,5,1.0
Hydrorun-of-the-river,6,1.0
Hydrorun-of-the-river,7,1.0
Liginiteexisting,1,0.354
Liginiteexisting,2,0.356
Liginiteexisting,3,0.357
Liginiteexisting,4,0.358
Liginiteexisting,5,0.359
Liginiteexisting,6,0.361
Liginiteexisting,7,0.362
Lignite,1,0.354
Lignite,2,0.356
Lignite,3,0.357
Lignite,4,0.358
Lignite,5,0.359
Lignite,6,0.361
Lignite,7,0.362
LigniteCCSadv,1,0.32399999999999995
LigniteCCSadv,2,0.32599999999999996
LigniteCCSadv,3,0.32699999999999996
LigniteCCSadv,4,0.32799999999999996
LigniteCCSadv,5,0.32899999999999996
LigniteCCSadv,6,0.33099999999999996
LigniteCCSadv,7,0.33199999999999996
LigniteCCSsup,1,0.32
LigniteCCSsup,2,0.32
LigniteCCSsup,3,0.32
LigniteCCSsup,4,0.32
LigniteCCSsup,5,0.32
LigniteCCSsup,6,0.32
LigniteCCSsup,7,0.32
Nuclear,1,0.38
Nuclear,2,0.38
Nuclear,3,0.38
Nuclear,4,0.38
Nuclear,5,0.38
Nuclear,6,0.38
Nuclear,7,0.38
Oilexisting,1,0.376
Oilexisting,2,0.376
Oilexisting,3,0.376
