GeneratorTechnology,Period,generatorFixedO&M_in_euro_per_kW
Bio,1,44.54
Bio,2,40.1
Bio,3,40.1
Bio,4,39.92
Bio,5,39.38
Bio,6,39.2
Bio,7,39.2
Bio10cofiring,1,32.4
Bio10cofiring,2,32.4
Bio10cofiring,3,32.4
Bio10cofiring,4,32.4
Bio10cofiring,5,32.4
Bio10cofiring,6,32.4
Bio10cofiring,7,32.4
Bio10cofiringCCS,1,51.37
Bio10cofiringCCS,2,51.37
Bio10cofiringCCS,3,51.37
Bio10cofiringCCS,4,51.104
Bio10cofiringCCS,5,50.306
Bio10cofiringCCS,6,49.508
Bio10cofiringCCS,7,48.71
BiomethaneCCGT,1,15.0
BiomethaneCCGT,2,15.0
BiomethaneCCGT,3,15.0
BiomethaneCCGT,4,15.0
BiomethaneCCGT,5,15.0
BiomethaneCCGT,6,15.0
BiomethaneCCGT,7,15.0
BiomethaneOCGT,1,19.5
BiomethaneOCGT,2,19.5
BiomethaneOCGT,3,19.5
BiomethaneOCGT,4,19.5
BiomethaneOCGT,5,19.5
BiomethaneOCGT,6,19.5
BiomethaneOCGT,7,19.5
Coal,1,25.6
Coal,2,25.6
Coal,3,25.6
Coal,4,25.6
Coal,5,25.6
Coal,6,25.6
Coal,7,25.6
CoalCCS,1,68.24
CoalCCS,2,65.9
CoalCCS,3,65.9
CoalCCS,4,65.5
CoalCCS,5,64.3
CoalCCS,6,63.9
CoalCCS,7,63.9
CoalCCSadv,1,46.96
CoalCCSadv,2,46.96
CoalCCSadv,3,46.96
CoalCCSadv,4,46.738
CoalCCSadv,5,46.072
CoalCCSadv,6,45.402
CoalCCSadv,7,44.73
GasCCGT,1,15.0
GasCCGT,2,15.0
GasCCGT,3,15.0
GasCCGT,4,15.0
GasCCGT,5,15.0
GasCCGT,6,15.0
GasCCGT,7,15.0
GasCCS,1,39.88
GasCCS,2,38.2
GasCCS,3,38.2
GasCCS,4,37.56
GasCCS,5,35.64
GasCCS,6,35.0
GasCCS,7,35.0
GasCCSadv,1,46.875
GasCCSadv,2,46.875
GasCCSadv,3,46.875
GasCCSadv,4,46.875
GasCCSadv,5,46.875
GasCCSadv,6,46.875
GasCCSadv,7,46.875
GasOCGT,1,19.5
GasOCGT,2,19.5
GasOCGT,3,19.5
GasOCGT,4,19.5
GasOCGT,5,19.5
GasOCGT,6,19.5
GasOCGT,7,19.5
Geo,1,95.0
Geo,2,95.0
Geo,3,95.0
Geo,4,94.4
Geo,5,92.6
Geo,6,92.0
Geo,7,92.0
Hydroregulated,1,25.5
Hydroregulated,2,25.5
Hydroregulated,3,25.5
Hydroregulated,4,25.5
Hydroregulated,5,25.5
Hydroregulated,6,25.5
Hydroregulated,7,25.5
Hydrorun-of-the-river,1,8.62
Hydrorun-of-the-river,2,8.2
Hydrorun-of-the-river,3,8.2
Hydrorun-of-the-river,4,8.2
Hydrorun-of-the-river,5,8.2
Hydrorun-of-the-river,6,8.2
Hydrorun-of-the-river,7,8.2
HydrogenCCGT,1,15.0
HydrogenCCGT,2,15.0
HydrogenCCGT,3,15.0
HydrogenCCGT,4,15.0
HydrogenCCGT,5,15.0
HydrogenCCGT,6,15.0
HydrogenCCGT,7,15.0
HydrogenOCGT,1,19.5
HydrogenOCGT,2,19.5
HydrogenOCGT,3,19.5
HydrogenOCGT,4,19.5
HydrogenOCGT,5,19.5
HydrogenOCGT,6,19.5
HydrogenOCGT,7,19.5
Hydrogenfuelcell,1,66.72
Hydrogenfuelcell,2,61.800000000000004
Hydrogenfuelcell,3,61.800000000000004
Hydrogenfuelcell,4,60.924
Hydrogenfuelcell,5,58.29600000000001
Hydrogenfuelcell,6,57.42
Hydrogenfuelcell,7,57.42
Lignite,1,32.5
Lignite,2,32.5
Lignite,3,32.5
Lignite,4,32.5
Lignite,5,32.5
Lignite,6,32.5
Lignite,7,32.5
LigniteCCSadv,1,51.37
LigniteCCSadv,2,51.37
LigniteCCSadv,3,51.37
LigniteCCSadv,4,51.104
LigniteCCSadv,5,50.306
LigniteCCSadv,6,49.508
LigniteCCSadv,7,48.71
LigniteCCSsup,1,79.65
LigniteCCSsup,2,79.65
LigniteCCSsup,3,79.65
LigniteCCSsup,4,79.65
LigniteCCSsup,5,79.65
LigniteCCSsup,6,79.65
LigniteCCSsup,7,79.65
Nuclear,1,118.0
Nuclear,2,115.0
Nuclear,3,115.0
Nuclear,4,113.6
Nuclear,5,109.4
Nuclear,6,108.0
Nuclear,7,108.0
Solar,1,10.4
Solar,2,9.5
Solar,3,8.8
Solar,4,8.1
Solar,5,7.75
Solar,6,7.4
Solar,7,7.4
Waste,1,49.18
Waste,2,44.5
Waste,3,44.5
Waste,4,43.96
Waste,5,42.34
Waste,6,41.8
Waste,7,41.8
Wave,1,37.08
Wave,2,33.3
Wave,3,33.3
Wave,4,32.23999999999999
