GeneratorTechnology,Period,generatorTypeFuelCost_in_euro_per_GJ
Bio,1,9.412832000000003
Bio,2,9.837578919655659
Bio,3,10.262325839311314
Bio,4,10.68707275896697
Bio,5,11.111819678622625
Bio,6,11.53656659827828
Bio,7,11.96131351793394
Bio10cofiring,1,3.711715505232402
Bio10cofiring,2,4.074030319639867
Bio10cofiring,3,4.242534593963818
Bio10cofiring,4,4.40436172390346
Bio10cofiring,5,4.552834565074481
Bio10cofiring,6,4.699652066733209
Bio10cofiring,7,4.845641898635789
Bio10cofiringCCS,1,3.711715505232402
Bio10cofiringCCS,2,4.074030319639867
Bio10cofiringCCS,3,4.242534593963818
Bio10cofiringCCS,4,4.40436172390346
Bio10cofiringCCS,5,4.552834565074481
Bio10cofiringCCS,6,4.699652066733209
Bio10cofiringCCS,7,4.845641898635789
Bioexisting,1,9.412832000000003
Bioexisting,2,9.955880000000004
Bioexisting,3,10.55323280000001
Bioexisting,4,11.17049736000001
Bioexisting,5,11.82758544000001
Bioexisting,6,12.52847939200001
Bioexisting,7,13.25127628000001
BiomethaneCCGT,1,19.444444444444443
BiomethaneCCGT,2,20.566239316239315
BiomethaneCCGT,3,21.800213675213687
BiomethaneCCGT,4,23.07532051282052
BiomethaneCCGT,5,24.43269230769232
BiomethaneCCGT,6,25.880555555555567
BiomethaneCCGT,7,27.37366452991454
BiomethaneOCGT,1,19.444444444444443
BiomethaneOCGT,2,20.566239316239315
BiomethaneOCGT,3,21.800213675213687
BiomethaneOCGT,4,23.07532051282052
BiomethaneOCGT,5,24.43269230769232
BiomethaneOCGT,6,25.880555555555567
BiomethaneOCGT,7,27.37366452991454
Coal,1,3.078258116924891
Coal,2,3.420491466266518
Coal,3,3.541345904404241
Coal,4,3.652568875448287
Coal,5,3.744528912304978
Coal,6,3.829782363925786
Coal,7,3.911682522928653
CoalCCS,1,3.078258116924891
CoalCCS,2,3.420491466266518
CoalCCS,3,3.541345904404241
CoalCCS,4,3.652568875448287
CoalCCS,5,3.744528912304978
CoalCCS,6,3.829782363925786
CoalCCS,7,3.911682522928653
CoalCCSadv,1,3.078258116924891
CoalCCSadv,2,3.420491466266518
CoalCCSadv,3,3.541345904404241
CoalCCSadv,4,3.652568875448287
CoalCCSadv,5,3.744528912304978
CoalCCSadv,6,3.829782363925786
CoalCCSadv,7,3.911682522928653
Coalexisting,1,3.078258116924891
Coalexisting,2,3.420491466266518
Coalexisting,3,3.541345904404241
Coalexisting,4,3.652568875448287
