GeneratorTechnology,generatorLifetime
Liginiteexisting,40
Lignite,40
LigniteCCSadv,40
Coalexisting,40
Coal,40
CoalCCSadv,40
Gasexisting,30
GasOCGT,30
GasCCGT,30
GasCCSadv,30
Oilexisting,40
Bioexisting,40
Bio10cofiring,40
BiomethaneOCGT,30
BiomethaneCCGT,30
Nuclear,60
Wave,80
Geo,30
Hydroregulated,60
Hydrorun-of-the-river,50
Bio,40
Windonshore,30
Windoffshoregrounded,30
Windoffshorefloating,30
Solar,35
Bio10cofiringCCS,40
LigniteCCSsup,40
CoalCCS,40
GasCCS,30
Waste,20
HydrogenOCGT,30
HydrogenCCGT,30
Hydrogenfuelcell,20
