Node,GeneratorTechnology,generatoReferenceInitialCapacity_in_MW
Austria,Bioexisting,1428.0
Austria,Gasexisting,4225.0
Austria,GasOCGT,125.0
Austria,Hydroregulated,2519.0
Austria,Hydrorun-of-the-river,5817.0
Austria,Solar,7294.0
Austria,Waste,80.0
Austria,Windonshore,4021.0
Belgium,Bioexisting,758.0
Belgium,Gasexisting,6995.0
Belgium,GasOCGT,452.0
Belgium,Hydrorun-of-the-river,186.0
Belgium,Solar,8789.0
Belgium,Waste,384.0
Belgium,Windoffshoregrounded,2262.0
Belgium,Windonshore,3241.75
BosniaH,Hydroregulated,1456.0
BosniaH,Hydrorun-of-the-river,252.0
BosniaH,Solar,131.89
BosniaH,Windonshore,135.0
Bulgaria,Bioexisting,74.0
Bulgaria,Gasexisting,699.0
Bulgaria,Hydroregulated,1807.0
Bulgaria,Hydrorun-of-the-river,542.0
Bulgaria,Solar,4055.0
Bulgaria,Waste,6.0
Bulgaria,Windonshore,705.0
Croatia,Bioexisting,114.0
Croatia,Gasexisting,886.0
Croatia,GasOCGT,45.0
Croatia,Geo,10.0
Croatia,Hydroregulated,1446.0
Croatia,Hydrorun-of-the-river,428.0
Croatia,Solar,460.7
Croatia,Waste,6.0
Croatia,Windonshore,1142.9
CzechR,Bioexisting,410.0
CzechR,Gasexisting,1620.0
CzechR,Hydroregulated,766.0
CzechR,Hydrorun-of-the-river,340.0
CzechR,Solar,4008.0
CzechR,Waste,100.0
CzechR,Windonshore,343.395
Denmark,Bioexisting,1754.0
Denmark,Gasexisting,1568.0
Denmark,GasOCGT,959.0
Denmark,Hydrorun-of-the-river,5.0
Denmark,Solar,4391.0
Denmark,Waste,385.0
Denmark,Windoffshoregrounded,2649.7
Denmark,Windonshore,4860.0
Estonia,Bioexisting,170.0
Estonia,Gasexisting,93.0
Estonia,Hydrorun-of-the-river,8.0
Estonia,Oilexisting,1330.0
Estonia,Solar,812.0
Estonia,Waste,17.0
Estonia,Windonshore,447.0
Finland,Bioexisting,2143.0
Finland,Gasexisting,1742.0
Finland,GasOCGT,1051.0
Finland,Hydrorun-of-the-river,3173.0
Finland,Solar,900.0
Finland,Waste,87.0
Finland,Windonshore,6884.0
Finland,Windoffshoregrounded,73.0
France,Bioexisting,2435.0
France,Gasexisting,13133.0
France,GasOCGT,3042.0
France,Geo,2.0
France,Hydroregulated,8787.0
France,Hydrorun-of-the-river,11598.0
France,Solar,24500.0
France,Waste,968.0
France,Wave,243.0
France,Windoffshoregrounded,1483.0
France,Windonshore,22193.575
Germany,Bioexisting,10207.0
Germany,Gasexisting,37512.0
Germany,GasOCGT,4118.0
Germany,Geo,54.0
Germany,Hydroregulated,1381.0
Germany,Hydrorun-of-the-river,3731.0
Germany,Solar,96000.0
Germany,Waste,1808.0
Germany,Windoffshoregrounded,8407.0
Germany,Windonshore,61052.0
GreatBrit.,Bioexisting,7336.0
GreatBrit.,Gasexisting,39822.0
GreatBrit.,Hydrorun-of-the-river,1919.0
GreatBrit.,Solar,16900.0
GreatBrit.,Windoffshoregrounded,0.0
GreatBrit.,Windonshore,16000.0
Greece,Bioexisting,120.0
Greece,Gasexisting,6030.0
Greece,Hydroregulated,2403.0
Greece,Hydrorun-of-the-river,327.0
Greece,Solar,7030.083
Greece,Windonshore,5220.33
Hungary,Bioexisting,249.0
Hungary,Gasexisting,3161.0
Hungary,GasOCGT,425.0
Hungary,Geo,3.0
Hungary,Hydroregulated,28.0
Hungary,Hydrorun-of-the-river,33.0
Hungary,Solar,5835.0
Hungary,Waste,49.0
Hungary,Windonshore,325.0
Ireland,Bioexisting,647.0
Ireland,Gasexisting,4265.0
Ireland,GasOCGT,1272.0
Ireland,Geo,17.0
Ireland,Hydrorun-of-the-river,216.0
Ireland,Solar,738.076
Ireland,Windonshore,4781.731
Ireland,Windoffshoregrounded,25.0
Italy,Bioexisting,1877.0
Italy,Gasexisting,47228.0
Italy,GasOCGT,1564.0
Italy,Geo,868.0
Italy,Hydroregulated,4542.0
Italy,Hydrorun-of-the-river,10291.0
Italy,Solar,37000.0
Italy,Waste,670.0
Italy,Windoffshoregrounded,30.0
Italy,Windonshore,12307.508
Latvia,Bioexisting,166.0
Latvia,Gasexisting,1112.0
Latvia,Hydrorun-of-the-river,1588.0
Latvia,Solar,353.0
Latvia,Windonshore,141.233
Lithuania,Bioexisting,233.0
Lithuania,Gasexisting,1503.0
Lithuania,Hydrorun-of-the-river,129.0
Lithuania,Solar,1165.0
Lithuania,Waste,70.0
Lithuania,Windonshore,1288.0
Luxemb.,Bioexisting,83.0
Luxemb.,Gasexisting,72.0
Luxemb.,Hydroregulated,11.0
Luxemb.,Hydrorun-of-the-river,22.0
Luxemb.,Solar,431.634
Luxemb.,Waste,24.0
Luxemb.,Windonshore,221.334
Macedonia,Bioexisting,7.0
Macedonia,Gasexisting,251.0
Macedonia,GasOCGT,165.0
Macedonia,Hydroregulated,644.0
Macedonia,Solar,534.632
Macedonia,Windonshore,109.8
Netherlands,Bioexisting,416.0
Netherlands,Gasexisting,18351.0
Netherlands,Hydrorun-of-the-river,38.0
Netherlands,Solar,24261.0
Netherlands,Waste,786.0
Netherlands,Windonshore,6812.0
NO1,Bioexisting,7.800000000000001
NO1,Gasexisting,70.46000000000001
NO1,Hydroregulated,1420.0
NO1,Hydrorun-of-the-river,2536.0
NO1,Solar,55.416666666666664
NO1,Waste,32.0
NO1,Windonshore,406.0
NO2,Gasexisting,178.86
NO2,Hydroregulated,9816.0
NO2,Hydrorun-of-the-river,1409.0
NO2,Waste,22.0
NO2,Windonshore,1447.0
NO3,Bioexisting,44.0
NO3,Hydroregulated,3416.0
NO3,Hydrorun-of-the-river,1399.0
NO3,Solar,135.46296296296296
NO3,Waste,6.0
NO3,Windonshore,2120.0
NO4,Gasexisting,252.0
NO4,Hydroregulated,4907.0
NO4,Hydrorun-of-the-river,687.0
NO4,Solar,474.1203703703703
NO4,Windonshore,1160.0
NO5,Gasexisting,192.0
NO5,Hydroregulated,7102.0
NO5,Hydrorun-of-the-river,844.0
NO5,Waste,32.0
Poland,Bioexisting,2412.0
Poland,Gasexisting,5424.0
Poland,GasOCGT,393.0
Poland,Hydroregulated,469.0
Poland,Hydrorun-of-the-river,322.0
Poland,Solar,15809.392
Poland,Windonshore,9628.0
Portugal,Bioexisting,709.0
Portugal,Gasexisting,4433.0
Portugal,Hydroregulated,1629.0
Portugal,Hydrorun-of-the-river,2856.0
Portugal,Solar,3876.256
Portugal,Windoffshoregrounded,25.0
Portugal,Windonshore,5592.14
Romania,Bioexisting,118.0
Romania,Gasexisting,2238.0
Romania,Hydroregulated,3359.0
Romania,Hydrorun-of-the-river,2780.0
Romania,Solar,1916.929
Romania,Windonshore,3087.202
Serbia,Bioexisting,37.0
Serbia,Gasexisting,607.0
Serbia,Hydroregulated,484.0
Serbia,Hydrorun-of-the-river,2053.0
Serbia,Solar,136.99800000000002
Serbia,Waste,32.0
Serbia,Windonshore,646.0
Slovakia,Bioexisting,861.0
Slovakia,Gasexisting,1183.0
Slovakia,GasOCGT,259.0
Slovakia,Hydroregulated,418.0
Slovakia,Hydrorun-of-the-river,1212.0
Slovakia,Solar,647.0
Slovakia,Windonshore,4.0
Slovenia,Bioexisting,43.0
Slovenia,Gasexisting,756.0
Slovenia,GasOCGT,58.0
Slovenia,Hydrorun-of-the-river,1125.0
Slovenia,Solar,1110.0
Slovenia,Waste,6.0
Slovenia,Windonshore,3.328
Spain,Bioexisting,830.0
Spain,Gasexisting,29873.0
Spain,GasOCGT,704.0
Spain,Hydroregulated,15771.0
Spain,Hydrorun-of-the-river,1155.0
Spain,Solar,38592.261
Spain,Waste,546.0
Spain,Windonshore,31020.764
Spain,Windoffshoregrounded,7.0
Sweden,Windoffshoregrounded,193.0
Sweden,Bioexisting,6600.0
Sweden,Hydroregulated,16300.0
Sweden,Solar,3488.0
Sweden,Windonshore,16700.0
Switzerland,Hydroregulated,5772.0
Switzerland,Solar,5839.92
Switzerland,Windonshore,87.0
Switzerland,Hydrorun-of-the-river,635.0
Borssele,Windoffshoregrounded,3739.3
EastAnglia,Windoffshoregrounded,2812.3
FirthofForth,Windoffshorefloating,30.0
FirthofForth,Windoffshoregrounded,1140.0
HelgoländerBucht,Windoffshoregrounded,7166.0
HollandseeKust,Windoffshoregrounded,357.0
Hornsea,Windoffshoregrounded,2604.0
MorayFirth,Windoffshoregrounded,2420.0
Nordsøen,Windoffshoregrounded,1120.0
Norfolk,Windoffshoregrounded,60.0
DoggerBank,Windoffshoregrounded,3688.0
OuterDowsing,Windoffshoregrounded,2814.0
Draupner,GasOCGT,100.0
Sleipner,GasOCGT,100.0
