GeneratorTechnology,Period,generatorRetirementFactorInitialCap
Gasexisting,1,0.0
Oilexisting,1,0.0
Bioexisting,1,0.0
Gasexisting,2,0.25
Oilexisting,2,0.2
Bioexisting,2,0.2
Gasexisting,3,0.5
Oilexisting,3,0.4
Bioexisting,3,0.4
Gasexisting,4,0.75
Oilexisting,4,0.6000000000000001
Bioexisting,4,0.6000000000000001
Gasexisting,5,1.0
Oilexisting,5,0.8
Bioexisting,5,0.8
Windonshore,5,0.5
Windoffshoregrounded,5,0.5
Windoffshorefloating,5,0.5
Solar,5,0.5
Gasexisting,6,1.0
Oilexisting,6,1.0
Bioexisting,6,1.0
Windonshore,6,1.0
Windoffshoregrounded,6,1.0
Windoffshorefloating,6,1.0
Solar,6,1.0
Gasexisting,7,1.0
Oilexisting,7,1.0
Bioexisting,7,1.0
Windonshore,7,1.0
Windoffshoregrounded,7,1.0
Solar,7,1.0
Windoffshorefloating,7,1.0
