GeneratorTechnology,generatorVariableOMcosts_in_euro_per_MWh
Liginiteexisting,3.0
Lignite,3.0
LigniteCCSadv,3.28
LigniteCCSsup,1.18
Coalexisting,2.4
Coal,2.4
CoalCCSadv,2.46
CoalCCS,7.3
Gasexisting,2.31
GasOCGT,2.31
GasCCGT,2.31
GasCCSadv,1.85
GasCCS,2.9
Oilexisting,2.76
Bioexisting,3.56
Bio10cofiring,0.48
Bio10cofiringCCS,3.28
Nuclear,7.5
Wave,0.1
Geo,0.32
Hydroregulated,0.32
Hydrorun-of-the-river,0.0
Bio,3.56
BiomethaneCCGT,2.31
BiomethaneOCGT,2.31
Windonshore,0.9594633514765244
Windoffshoregrounded,3.7093896833367856
Windoffshorefloating,3.4084964307526815
Solar,0.0
Waste,0.82
HydrogenOCGT,2.31
HydrogenCCGT,2.31
Hydrogenfuelcell,1.04
