H2TerminalNodes,H2Terminals,Period,Cost_(EUR/kg)
Spain,PipelineH2Import,1,999999.0
Spain,PipelineH2Import,2,2.7388080477634116
Spain,PipelineH2Import,3,2.4235573387536395
Spain,PipelineH2Import,4,2.108306629743868
Spain,PipelineH2Import,5,1.943055920734096
Spain,PipelineH2Import,6,1.777805211724324
Spain,PipelineH2Import,7,1.612554502714552
Italy,PipelineH2Import,1,999999.0
Italy,PipelineH2Import,2,2.7388080477634116
Italy,PipelineH2Import,3,2.4235573387536395
Italy,PipelineH2Import,4,2.108306629743868
Italy,PipelineH2Import,5,1.943055920734096
Italy,PipelineH2Import,6,1.777805211724324
Italy,PipelineH2Import,7,1.612554502714552
Belgium,LH2Import,1,999999.0
Belgium,LH2Import,2,3.4666303702015484
Belgium,LH2Import,3,3.1766303702015484
Belgium,LH2Import,4,2.8866303702015483
Belgium,LH2Import,5,2.713297036868215
Belgium,LH2Import,6,2.539963703534882
Belgium,LH2Import,7,2.3666303702015488
Croatia,LH2Import,1,999999.0
Croatia,LH2Import,2,3.4666303702015484
Croatia,LH2Import,3,3.1766303702015484
Croatia,LH2Import,4,2.8866303702015483
Croatia,LH2Import,5,2.713297036868215
Croatia,LH2Import,6,2.539963703534882
Croatia,LH2Import,7,2.3666303702015488
Estonia,LH2Import,1,999999.0
Estonia,LH2Import,2,3.4666303702015484
Estonia,LH2Import,3,3.1766303702015484
Estonia,LH2Import,4,2.8866303702015483
Estonia,LH2Import,5,2.713297036868215
Estonia,LH2Import,6,2.539963703534882
Estonia,LH2Import,7,2.3666303702015488
France,LH2Import,1,999999.0
France,LH2Import,2,3.4666303702015484
France,LH2Import,3,3.1766303702015484
France,LH2Import,4,2.8866303702015483
France,LH2Import,5,2.713297036868215
France,LH2Import,6,2.539963703534882
France,LH2Import,7,2.3666303702015488
Germany,LH2Import,1,999999.0
Germany,LH2Import,2,3.4666303702015484
Germany,LH2Import,3,3.1766303702015484
Germany,LH2Import,4,2.8866303702015483
Germany,LH2Import,5,2.713297036868215
Germany,LH2Import,6,2.539963703534882
Germany,LH2Import,7,2.3666303702015488
GreatBrit.,LH2Import,1,999999.0
GreatBrit.,LH2Import,2,3.4666303702015484
GreatBrit.,LH2Import,3,3.1766303702015484
GreatBrit.,LH2Import,4,2.8866303702015483
GreatBrit.,LH2Import,5,2.713297036868215
GreatBrit.,LH2Import,6,2.539963703534882
GreatBrit.,LH2Import,7,2.3666303702015488
Greece,LH2Import,1,999999.0
Greece,LH2Import,2,3.4666303702015484
Greece,LH2Import,3,3.1766303702015484
Greece,LH2Import,4,2.8866303702015483
Greece,LH2Import,5,2.713297036868215
Greece,LH2Import,6,2.539963703534882
Greece,LH2Import,7,2.3666303702015488
Ireland,LH2Import,1,999999.0
Ireland,LH2Import,2,3.4666303702015484
Ireland,LH2Import,3,3.1766303702015484
Ireland,LH2Import,4,2.8866303702015483
Ireland,LH2Import,5,2.713297036868215
Ireland,LH2Import,6,2.539963703534882
Ireland,LH2Import,7,2.3666303702015488
Lithuania,LH2Import,1,999999.0
Lithuania,LH2Import,2,3.4666303702015484
Lithuania,LH2Import,3,3.1766303702015484
Lithuania,LH2Import,4,2.8866303702015483
Lithuania,LH2Import,5,2.713297036868215
Lithuania,LH2Import,6,2.539963703534882
Lithuania,LH2Import,7,2.3666303702015488
Netherlands,LH2Import,1,999999.0
Netherlands,LH2Import,2,3.4666303702015484
Netherlands,LH2Import,3,3.1766303702015484
Netherlands,LH2Import,4,2.8866303702015483
Netherlands,LH2Import,5,2.713297036868215
Netherlands,LH2Import,6,2.539963703534882
Netherlands,LH2Import,7,2.3666303702015488
Poland,LH2Import,1,999999.0
Poland,LH2Import,2,3.4666303702015484
Poland,LH2Import,3,3.1766303702015484
Poland,LH2Import,4,2.8866303702015483
Poland,LH2Import,5,2.713297036868215
Poland,LH2Import,6,2.539963703534882
Poland,LH2Import,7,2.3666303702015488
Portugal,LH2Import,1,999999.0
Portugal,LH2Import,2,3.4666303702015484
Portugal,LH2Import,3,3.1766303702015484
Portugal,LH2Import,4,2.8866303702015483
Portugal,LH2Import,5,2.713297036868215
Portugal,LH2Import,6,2.539963703534882
Portugal,LH2Import,7,2.3666303702015488
Romania,LH2Import,1,999999.0
Romania,LH2Import,2,3.4666303702015484
Romania,LH2Import,3,3.1766303702015484
Romania,LH2Import,4,2.8866303702015483
Romania,LH2Import,5,2.713297036868215
Romania,LH2Import,6,2.539963703534882
Romania,LH2Import,7,2.3666303702015488
Italy,LH2Import,1,999999.0
Italy,LH2Import,2,3.4666303702015484
Italy,LH2Import,3,3.1766303702015484
Italy,LH2Import,4,2.8866303702015483
Italy,LH2Import,5,2.713297036868215
Italy,LH2Import,6,2.539963703534882
Italy,LH2Import,7,2.3666303702015488
Spain,LH2Import,1,999999.0
Spain,LH2Import,2,3.4666303702015484
Spain,LH2Import,3,3.1766303702015484
Spain,LH2Import,4,2.8866303702015483
Spain,LH2Import,5,2.713297036868215
Spain,LH2Import,6,2.539963703534882
Spain,LH2Import,7,2.3666303702015488
