Plant_type,Period,Electricity_demand_[MWh_/_ton]
SMR,1,-0.6666666666666666
SMR,2,-0.6666666666666666
SMR,3,-0.6666666666666666
SMR,4,-0.6666666666666666
SMR,5,-0.6666666666666666
SMR,6,-0.6666666666666666
SMR,7,-0.6666666666666666
SMR_CCS,1,0.4999999999999999
SMR_CCS,2,0.4999999999999999
SMR_CCS,3,0.4999999999999999
SMR_CCS,4,0.4999999999999999
SMR_CCS,5,0.4999999999999999
SMR_CCS,6,0.4999999999999999
SMR_CCS,7,0.4999999999999999
GHR_ATR_CCS,1,1.866666666666666
GHR_ATR_CCS,2,1.666666666666667
GHR_ATR_CCS,3,1.666666666666667
GHR_ATR_CCS,4,1.666666666666667
GHR_ATR_CCS,5,1.666666666666667
GHR_ATR_CCS,6,1.666666666666667
GHR_ATR_CCS,7,1.666666666666667
