Node,H2Storage,Max_capacity_[ton]
Germany,SaltCavern,1185000000.0000002
Denmark,SaltCavern,39000000.00000001
Belgium,SaltCavern,72000000.0
GreatBrit.,SaltCavern,156599999.99999997
NO2,SaltCavern,0.0
NO5,SaltCavern,0.0
Netherlands,SaltCavern,24600000.0
France,SaltCavern,21000000.0
Poland,SaltCavern,65100000.0
Ireland,SaltCavern,0.0
Austria,SaltCavern,0.0
Spain,SaltCavern,57600000.0
Slovakia,SaltCavern,0.0
Austria,SteelTank,9999999999.0
BosniaH,SteelTank,9999999999.0
Belgium,SteelTank,9999999999.0
Bulgaria,SteelTank,9999999999.0
Switzerland,SteelTank,9999999999.0
CzechR,SteelTank,9999999999.0
Germany,SteelTank,9999999999.0
Denmark,SteelTank,9999999999.0
Estonia,SteelTank,9999999999.0
Spain,SteelTank,9999999999.0
Finland,SteelTank,9999999999.0
France,SteelTank,9999999999.0
GreatBrit.,SteelTank,9999999999.0
Greece,SteelTank,9999999999.0
Croatia,SteelTank,9999999999.0
Hungary,SteelTank,9999999999.0
Ireland,SteelTank,9999999999.0
Italy,SteelTank,9999999999.0
Lithuania,SteelTank,9999999999.0
Luxemb.,SteelTank,9999999999.0
Latvia,SteelTank,9999999999.0
Macedonia,SteelTank,9999999999.0
Netherlands,SteelTank,9999999999.0
NO1,SteelTank,9999999999.0
NO2,SteelTank,9999999999.0
NO3,SteelTank,9999999999.0
NO4,SteelTank,9999999999.0
NO5,SteelTank,9999999999.0
Poland,SteelTank,9999999999.0
Portugal,SteelTank,9999999999.0
Romania,SteelTank,9999999999.0
Serbia,SteelTank,9999999999.0
Sweden,SteelTank,9999999999.0
Slovenia,SteelTank,9999999999.0
Slovakia,SteelTank,9999999999.0
EnergyhubEU,SteelTank,9999999999.0
