Node,AmmoniaPlant,Capacity_(ton/hr)
Austria,H2-Ammonia,0.0
Austria,NG-Ammonia,55.36529680365297
Belgium,H2-Ammonia,0.0
Belgium,NG-Ammonia,116.4383561643836
Bulgaria,H2-Ammonia,0.0
Bulgaria,NG-Ammonia,127.6255707762557
Croatia,H2-Ammonia,0.0
Croatia,NG-Ammonia,0.0
CzechR,H2-Ammonia,0.0
CzechR,NG-Ammonia,39.95433789954338
Estonia,H2-Ammonia,0.0
Estonia,NG-Ammonia,22.8310502283105
Finland,H2-Ammonia,0.0
Finland,NG-Ammonia,0.0
France,H2-Ammonia,0.0
France,NG-Ammonia,170.662100456621
Germany,H2-Ammonia,0.0
Germany,NG-Ammonia,392.4657534246575
GreatBrit.,H2-Ammonia,0.0
GreatBrit.,NG-Ammonia,125.5707762557078
Greece,H2-Ammonia,0.0
Greece,NG-Ammonia,18.83561643835617
Hungary,H2-Ammonia,0.0
Hungary,NG-Ammonia,43.72146118721462
Italy,H2-Ammonia,0.0
Italy,NG-Ammonia,68.4931506849315
Lithuania,H2-Ammonia,0.0
Lithuania,NG-Ammonia,127.6255707762557
NO5,H2-Ammonia,0.0
NO5,NG-Ammonia,0.0
Netherlands,H2-Ammonia,0.0
Netherlands,NG-Ammonia,310.1598173515982
Poland,H2-Ammonia,0.0
Poland,NG-Ammonia,366.4383561643835
Romania,H2-Ammonia,0.0
Romania,NG-Ammonia,248.4018264840183
Slovakia,H2-Ammonia,0.0
Slovakia,NG-Ammonia,48.97260273972603
Spain,H2-Ammonia,0.0
Spain,NG-Ammonia,69.52054794520548
