CementPlant,Period,ElectricityConsumption
NG-Cement,1,0.0902
NG-Cement,2,0.089
NG-Cement,3,0.089
NG-Cement,4,0.08839999999999999
NG-Cement,5,0.0866
NG-Cement,6,0.086
NG-Cement,7,0.086
H2-Cement,1,0.0902
H2-Cement,2,0.089
H2-Cement,3,0.089
H2-Cement,4,0.08839999999999999
H2-Cement,5,0.0866
H2-Cement,6,0.086
H2-Cement,7,0.086
NG-CCS-Cement,1,0.10045
NG-CCS-Cement,2,0.09911363636363635
NG-CCS-Cement,3,0.09911363636363635
NG-CCS-Cement,4,0.09844545454545453
NG-CCS-Cement,5,0.09644090909090908
NG-CCS-Cement,6,0.09577272727272726
NG-CCS-Cement,7,0.09577272727272726
