Node,CementPlant,Capacity_(ton/hr)
Austria,H2-Cement,0.0
Austria,NG-CCS-Cement,0.0
Austria,NG-Cement,0.0
Belgium,H2-Cement,0.0
Belgium,NG-CCS-Cement,0.0
Belgium,NG-Cement,0.0
BosniaH,H2-Cement,0.0
BosniaH,NG-CCS-Cement,0.0
BosniaH,NG-Cement,0.0
Bulgaria,H2-Cement,0.0
Bulgaria,NG-CCS-Cement,0.0
Bulgaria,NG-Cement,0.0
Croatia,H2-Cement,0.0
Croatia,NG-CCS-Cement,0.0
Croatia,NG-Cement,0.0
CzechR,H2-Cement,0.0
CzechR,NG-CCS-Cement,0.0
CzechR,NG-Cement,0.0
Denmark,H2-Cement,0.0
Denmark,NG-CCS-Cement,0.0
Denmark,NG-Cement,0.0
Estonia,H2-Cement,0.0
Estonia,NG-CCS-Cement,0.0
Estonia,NG-Cement,0.0
Finland,H2-Cement,0.0
Finland,NG-CCS-Cement,0.0
Finland,NG-Cement,0.0
France,H2-Cement,0.0
France,NG-CCS-Cement,0.0
France,NG-Cement,0.0
Germany,H2-Cement,0.0
Germany,NG-CCS-Cement,0.0
Germany,NG-Cement,0.0
GreatBrit.,H2-Cement,0.0
GreatBrit.,NG-CCS-Cement,0.0
GreatBrit.,NG-Cement,0.0
Greece,H2-Cement,0.0
Greece,NG-CCS-Cement,0.0
Greece,NG-Cement,0.0
Hungary,H2-Cement,0.0
Hungary,NG-CCS-Cement,0.0
Hungary,NG-Cement,0.0
Ireland,H2-Cement,0.0
Ireland,NG-CCS-Cement,0.0
Ireland,NG-Cement,0.0
Italy,H2-Cement,0.0
Italy,NG-CCS-Cement,0.0
Italy,NG-Cement,0.0
Latvia,H2-Cement,0.0
Latvia,NG-CCS-Cement,0.0
Latvia,NG-Cement,0.0
Lithuania,H2-Cement,0.0
Lithuania,NG-CCS-Cement,0.0
Lithuania,NG-Cement,0.0
Luxemb.,H2-Cement,0.0
Luxemb.,NG-CCS-Cement,0.0
Luxemb.,NG-Cement,0.0
Macedonia,H2-Cement,0.0
Macedonia,NG-CCS-Cement,0.0
Macedonia,NG-Cement,0.0
NO1,H2-Cement,0.0
NO1,NG-CCS-Cement,0.0
NO1,NG-Cement,0.0
NO2,H2-Cement,0.0
NO2,NG-CCS-Cement,0.0
NO2,NG-Cement,0.0
NO3,H2-Cement,0.0
NO3,NG-CCS-Cement,0.0
NO3,NG-Cement,0.0
NO4,H2-Cement,0.0
NO4,NG-CCS-Cement,0.0
NO4,NG-Cement,0.0
NO5,H2-Cement,0.0
NO5,NG-CCS-Cement,0.0
NO5,NG-Cement,0.0
Netherlands,H2-Cement,0.0
Netherlands,NG-CCS-Cement,0.0
Netherlands,NG-Cement,0.0
Poland,H2-Cement,0.0
Poland,NG-CCS-Cement,0.0
Poland,NG-Cement,0.0
Portugal,H2-Cement,0.0
Portugal,NG-CCS-Cement,0.0
Portugal,NG-Cement,0.0
Romania,H2-Cement,0.0
Romania,NG-CCS-Cement,0.0
Romania,NG-Cement,0.0
Serbia,H2-Cement,0.0
Serbia,NG-CCS-Cement,0.0
Serbia,NG-Cement,0.0
Slovakia,H2-Cement,0.0
Slovakia,NG-CCS-Cement,0.0
Slovakia,NG-Cement,0.0
Slovenia,H2-Cement,0.0
Slovenia,NG-CCS-Cement,0.0
Slovenia,NG-Cement,0.0
Spain,H2-Cement,0.0
Spain,NG-CCS-Cement,0.0
Spain,NG-Cement,0.0
Sweden,H2-Cement,0.0
Sweden,NG-CCS-Cement,0.0
Sweden,NG-Cement,0.0
Switzerland,H2-Cement,0.0
Switzerland,NG-CCS-Cement,0.0
Switzerland,NG-Cement,0.0
