SteelPlant,Period,ElectricityConsumption
BF-BOF,1,0
BF-BOF,2,0
BF-BOF,3,0
BF-BOF,4,0
BF-BOF,5,0
BF-BOF,6,0
BF-BOF,7,0
BF-BOF-BioCarbon,1,0
BF-BOF-BioCarbon,2,0
BF-BOF-BioCarbon,3,0
BF-BOF-BioCarbon,4,0
BF-BOF-BioCarbon,5,0
BF-BOF-BioCarbon,6,0
BF-BOF-BioCarbon,7,0
H2-DRI,1,0
H2-DRI,2,0
H2-DRI,3,0
H2-DRI,4,0
H2-DRI,5,0
H2-DRI,6,0
H2-DRI,7,0
EAF,1,0
EAF,2,0
EAF,3,0
EAF,4,0
EAF,5,0
EAF,6,0
EAF,7,0
Scrap,1,0
Scrap,2,0
Scrap,3,0
Scrap,4,0
Scrap,5,0
Scrap,6,0
Scrap,7,0
BF-BOF-CCS,1,0
BF-BOF-CCS,2,0
BF-BOF-CCS,3,0
BF-BOF-CCS,4,0
BF-BOF-CCS,5,0
BF-BOF-CCS,6,0
BF-BOF-CCS,7,0
