SteelPlant,Period,Hydrogen_Consumption
BF-BOF,1,0.0
BF-BOF,2,0.0
BF-BOF,3,0.0
BF-BOF,4,0.0
BF-BOF,5,0.0
BF-BOF,6,0.0
BF-BOF,7,0.0
BF-BOF-BioCarbon,1,0.0
BF-BOF-BioCarbon,2,0.0
BF-BOF-BioCarbon,3,0.0
BF-BOF-BioCarbon,4,0.0
BF-BOF-BioCarbon,5,0.0
BF-BOF-BioCarbon,6,0.0
BF-BOF-BioCarbon,7,0.0
H2-DRI,1,56.14285714285714
H2-DRI,2,55.28571428571428
H2-DRI,3,54.42857142857143
H2-DRI,4,53.57142857142857
H2-DRI,5,52.71428571428572
H2-DRI,6,51.85714285714285
H2-DRI,7,51.0
EAF,1,0.0
EAF,2,0.0
EAF,3,0.0
EAF,4,0.0
EAF,5,0.0
EAF,6,0.0
EAF,7,0.0
Scrap,1,0.0
Scrap,2,0.0
Scrap,3,0.0
Scrap,4,0.0
Scrap,5,0.0
Scrap,6,0.0
Scrap,7,0.0
BF-BOF-CCS,1,0.0
BF-BOF-CCS,2,0.0
BF-BOF-CCS,3,0.0
BF-BOF-CCS,4,0.0
BF-BOF-CCS,5,0.0
BF-BOF-CCS,6,0.0
BF-BOF-CCS,7,0.0
