Node,PlantType,Initial_capacity_(ton/hr)
Austria,BF-BOF,864.1552511415525
Austria,BF-BOF-BioCarbon,0.0
Austria,BF-BOF-CCS,0.0
Austria,EAF,0.0
Austria,H2-DRI,0.0
Austria,Scrap,0.0
Belgium,BF-BOF,570.7762557077626
Belgium,BF-BOF-BioCarbon,0.0
Belgium,BF-BOF-CCS,0.0
Belgium,EAF,0.0
Belgium,H2-DRI,0.0
Belgium,Scrap,0.0
Bulgaria,BF-BOF,0.0
Bulgaria,BF-BOF-BioCarbon,0.0
Bulgaria,BF-BOF-CCS,0.0
Bulgaria,EAF,0.0
Bulgaria,H2-DRI,0.0
Bulgaria,Scrap,0.0
Croatia,BF-BOF,0.0
Croatia,BF-BOF-BioCarbon,0.0
Croatia,BF-BOF-CCS,0.0
Croatia,EAF,0.0
Croatia,H2-DRI,0.0
Croatia,Scrap,0.0
CzechR,BF-BOF,273.972602739726
CzechR,BF-BOF-BioCarbon,0.0
CzechR,BF-BOF-CCS,0.0
CzechR,EAF,0.0
CzechR,H2-DRI,0.0
CzechR,Scrap,0.0
Finland,BF-BOF,296.8036529680365
Finland,BF-BOF-BioCarbon,0.0
Finland,BF-BOF-CCS,0.0
Finland,EAF,0.0
Finland,H2-DRI,0.0
Finland,Scrap,0.0
France,BF-BOF,1352.739726027397
France,BF-BOF-BioCarbon,0.0
France,BF-BOF-CCS,0.0
France,EAF,0.0
France,H2-DRI,0.0
France,Scrap,0.0
Germany,BF-BOF,3305.936073059361
Germany,BF-BOF-BioCarbon,0.0
Germany,BF-BOF-CCS,0.0
Germany,EAF,0.0
Germany,H2-DRI,0.0
Germany,Scrap,0.0
GreatBrit.,BF-BOF,924.6575342465753
GreatBrit.,BF-BOF-BioCarbon,0.0
GreatBrit.,BF-BOF-CCS,0.0
GreatBrit.,EAF,0.0
GreatBrit.,H2-DRI,0.0
GreatBrit.,Scrap,0.0
Greece,BF-BOF,0.0
Greece,BF-BOF-BioCarbon,0.0
Greece,BF-BOF-CCS,0.0
Greece,EAF,0.0
Greece,H2-DRI,0.0
Greece,Scrap,0.0
Hungary,BF-BOF,188.3561643835616
Hungary,BF-BOF-BioCarbon,0.0
Hungary,BF-BOF-CCS,0.0
Hungary,EAF,0.0
Hungary,H2-DRI,0.0
Hungary,Scrap,0.0
Italy,BF-BOF,1312.785388127854
Italy,BF-BOF-BioCarbon,0.0
Italy,BF-BOF-CCS,0.0
Italy,EAF,0.0
Italy,H2-DRI,0.0
Italy,Scrap,0.0
Luxemb.,BF-BOF,0.0
Luxemb.,BF-BOF-BioCarbon,0.0
Luxemb.,BF-BOF-CCS,0.0
Luxemb.,EAF,0.0
Luxemb.,H2-DRI,0.0
Luxemb.,Scrap,0.0
Netherlands,BF-BOF,856.1643835616438
Netherlands,BF-BOF-BioCarbon,0.0
Netherlands,BF-BOF-CCS,0.0
Netherlands,EAF,0.0
Netherlands,H2-DRI,0.0
Netherlands,Scrap,0.0
Poland,BF-BOF,867.5799086757991
Poland,BF-BOF-BioCarbon,0.0
Poland,BF-BOF-CCS,0.0
Poland,EAF,0.0
Poland,H2-DRI,0.0
Poland,Scrap,0.0
Romania,BF-BOF,365.296803652968
Romania,BF-BOF-BioCarbon,0.0
Romania,BF-BOF-CCS,0.0
Romania,EAF,0.0
Romania,H2-DRI,0.0
Romania,Scrap,0.0
Slovakia,BF-BOF,513.6986301369864
Slovakia,BF-BOF-BioCarbon,0.0
Slovakia,BF-BOF-CCS,0.0
Slovakia,EAF,0.0
Slovakia,H2-DRI,0.0
Slovakia,Scrap,0.0
Slovenia,BF-BOF,0.0
Slovenia,BF-BOF-BioCarbon,0.0
Slovenia,BF-BOF-CCS,0.0
Slovenia,EAF,0.0
Slovenia,H2-DRI,0.0
Slovenia,Scrap,0.0
Spain,BF-BOF,616.4383561643835
Spain,BF-BOF-BioCarbon,0.0
Spain,BF-BOF-CCS,0.0
Spain,EAF,0.0
Spain,H2-DRI,0.0
Spain,Scrap,0.0
Sweden,BF-BOF,445.2054794520548
Sweden,BF-BOF-BioCarbon,0.0
Sweden,BF-BOF-CCS,0.0
Sweden,EAF,0.0
Sweden,H2-DRI,0.0
Sweden,Scrap,0.0
