PlantType,Period,RetirementFactor
BF-BOF,1,0.4
BF-BOF,2,0.6000000000000001
BF-BOF,3,0.8
BF-BOF,4,1.0
BF-BOF,5,1.0
BF-BOF,6,1.0
BF-BOF,7,1.0
BF-BOF-BioCarbon,1,0.0
BF-BOF-BioCarbon,2,0.0
BF-BOF-BioCarbon,3,0.0
BF-BOF-BioCarbon,4,0.0
BF-BOF-BioCarbon,5,0.0
BF-BOF-BioCarbon,6,0.0
BF-BOF-BioCarbon,7,0.0
BF-BOF-CCS,1,0.0
BF-BOF-CCS,2,0.0
BF-BOF-CCS,3,0.0
BF-BOF-CCS,4,0.0
BF-BOF-CCS,5,0.0
BF-BOF-CCS,6,0.0
BF-BOF-CCS,7,0.0
EAF,1,0.4
EAF,2,0.6000000000000001
EAF,3,0.8
EAF,4,1.0
EAF,5,1.0
EAF,6,1.0
EAF,7,1.0
H2-DRI,1,0.0
H2-DRI,2,0.0
H2-DRI,3,0.0
H2-DRI,4,0.0
H2-DRI,5,0.0
H2-DRI,6,0.0
H2-DRI,7,0.0
Scrap,1,0.0
Scrap,2,0.0
Scrap,3,0.0
Scrap,4,0.0
Scrap,5,0.0
Scrap,6,0.0
Scrap,7,0.0
