Table,Key,Value,Reason
Industry/SteelInitialCapacity.csv,Germany|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Germany|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Germany|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Germany|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Italy|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Italy|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Italy|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Italy|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,France|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,France|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,France|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,France|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Spain|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Spain|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Spain|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Spain|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Poland|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Poland|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Poland|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Poland|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Belgium|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Belgium|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Belgium|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Belgium|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Austria|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Austria|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Austria|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Austria|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,GreatBrit.|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,GreatBrit.|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,GreatBrit.|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,GreatBrit.|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Netherlands|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Netherlands|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Netherlands|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Netherlands|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Sweden|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Sweden|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Sweden|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Sweden|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,CzechR|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,CzechR|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,CzechR|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,CzechR|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Slovakia|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Slovakia|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Slovakia|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Slovakia|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Finland|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
