Table,Node,Terminal,Period,GasScenario,DiscardedSourceRow,DiscardedValue,SelectedSourceRow,SelectedValue,ValuesDiffer
TerminalCost,Hungary,RussianGas,1,1,240,278.0,275,278.0,False
TerminalCost,Hungary,RussianGas,2,1,241,800.0,276,800.0,False
TerminalCost,Hungary,RussianGas,3,1,242,800.0,277,800.0,False
TerminalCost,Hungary,RussianGas,4,1,243,800.0,278,800.0,False
TerminalCost,Hungary,RussianGas,5,1,244,800.0,279,800.0,False
TerminalCost,Hungary,RussianGas,6,1,245,800.0,280,800.0,False
TerminalCost,Hungary,RussianGas,7,1,246,800.0,281,800.0,False
TerminalCost,Poland,RussianGas,1,1,247,278.0,282,800.0,True
TerminalCost,Poland,RussianGas,2,1,248,800.0,283,800.0,False
TerminalCost,Poland,RussianGas,3,1,249,800.0,284,800.0,False
TerminalCost,Poland,RussianGas,4,1,250,800.0,285,800.0,False
TerminalCost,Poland,RussianGas,5,1,251,800.0,286,800.0,False
TerminalCost,Poland,RussianGas,6,1,252,800.0,287,800.0,False
TerminalCost,Poland,RussianGas,7,1,253,800.0,288,278.0,True
TerminalCost,Romania,RussianGas,1,1,254,278.0,289,800.0,True
TerminalCost,Romania,RussianGas,2,1,255,800.0,290,800.0,False
TerminalCost,Romania,RussianGas,3,1,256,800.0,291,800.0,False
TerminalCost,Romania,RussianGas,4,1,257,800.0,292,800.0,False
TerminalCost,Romania,RussianGas,5,1,258,800.0,293,800.0,False
TerminalCost,Romania,RussianGas,6,1,259,800.0,294,278.0,True
TerminalCost,Romania,RussianGas,7,1,260,800.0,295,800.0,False
TerminalCost,Slovakia,RussianGas,1,1,261,278.0,296,800.0,True
TerminalCost,Slovakia,RussianGas,2,1,262,800.0,297,800.0,False
TerminalCost,Slovakia,RussianGas,3,1,263,800.0,298,800.0,False
TerminalCost,Slovakia,RussianGas,4,1,264,800.0,299,800.0,False
TerminalCost,Slovakia,RussianGas,5,1,265,800.0,300,278.0,True
TerminalCost,Slovakia,RussianGas,6,1,266,800.0,301,800.0,False
TerminalCost,Slovakia,RussianGas,7,1,267,800.0,302,800.0,False
TerminalCost,Bulgaria,RussianGas,1,1,268,278.0,303,800.0,True
TerminalCost,Bulgaria,RussianGas,2,1,269,800.0,304,800.0,False
TerminalCost,Bulgaria,RussianGas,3,1,270,800.0,305,800.0,False
TerminalCost,Bulgaria,RussianGas,4,1,271,800.0,306,278.0,True
TerminalCost,Bulgaria,RussianGas,5,1,272,800.0,307,800.0,False
TerminalCost,Bulgaria,RussianGas,6,1,273,800.0,308,800.0,False
TerminalCost,Bulgaria,RussianGas,7,1,274,800.0,309,800.0,False
TerminalCost_stochastic,Hungary,RussianGas,1,1,240,800.0,275,800.0,False
TerminalCost_stochastic,Hungary,RussianGas,2,1,241,800.0,276,800.0,False
TerminalCost_stochastic,Hungary,RussianGas,3,1,242,800.0,277,800.0,False
TerminalCost_stochastic,Hungary,RussianGas,4,1,243,800.0,278,800.0,False
TerminalCost_stochastic,Hungary,RussianGas,5,1,244,800.0,279,800.0,False
TerminalCost_stochastic,Hungary,RussianGas,6,1,245,800.0,280,800.0,False
TerminalCost_stochastic,Hungary,RussianGas,7,1,246,800.0,281,800.0,False
TerminalCost_stochastic,Poland,RussianGas,1,1,247,800.0,282,800.0,False
TerminalCost_stochastic,Poland,RussianGas,2,1,248,800.0,283,800.0,False
TerminalCost_stochastic,Poland,RussianGas,3,1,249,800.0,284,800.0,False
TerminalCost_stochastic,Poland,RussianGas,4,1,250,800.0,285,800.0,False
TerminalCost_stochastic,Poland,RussianGas,5,1,251,800.0,286,800.0,False
TerminalCost_stochastic,Poland,RussianGas,6,1,252,800.0,287,800.0,False
TerminalCost_stochastic,Poland,RussianGas,7,1,253,800.0,288,800.0,False
TerminalCost_stochastic,Romania,RussianGas,1,1,254,800.0,289,800.0,False
TerminalCost_stochastic,Romania,RussianGas,2,1,255,800.0,290,800.0,False
TerminalCost_stochastic,Romania,RussianGas,3,1,256,800.0,291,800.0,False
TerminalCost_stochastic,Romania,RussianGas,4,1,257,800.0,292,800.0,False
TerminalCost_stochastic,Romania,RussianGas,5,1,258,800.0,293,800.0,False
TerminalCost_stochastic,Romania,RussianGas,6,1,259,800.0,294,800.0,False
TerminalCost_stochastic,Romania,RussianGas,7,1,260,800.0,295,800.0,False
TerminalCost_stochastic,Slovakia,RussianGas,1,1,261,800.0,296,800.0,False
TerminalCost_stochastic,Slovakia,RussianGas,2,1,262,800.0,297,800.0,False
TerminalCost_stochastic,Slovakia,RussianGas,3,1,263,800.0,298,800.0,False
TerminalCost_stochastic,Slovakia,RussianGas,4,1,264,800.0,299,800.0,False
TerminalCost_stochastic,Slovakia,RussianGas,5,1,265,800.0,300,800.0,False
TerminalCost_stochastic,Slovakia,RussianGas,6,1,266,800.0,301,800.0,False
TerminalCost_stochastic,Slovakia,RussianGas,7,1,267,800.0,302,800.0,False
TerminalCost_stochastic,Bulgaria,RussianGas,1,1,268,800.0,303,800.0,False
TerminalCost_stochastic,Bulgaria,RussianGas,2,1,269,800.0,304,800.0,False
TerminalCost_stochastic,Bulgaria,RussianGas,3,1,270,800.0,305,800.0,False
TerminalCost_stochastic,Bulgaria,RussianGas,4,1,271,800.0,306,800.0,False
TerminalCost_stochastic,Bulgaria,RussianGas,5,1,272,800.0,307,800.0,False
TerminalCost_stochastic,Bulgaria,RussianGas,6,1,273,800.0,308,800.0,False
TerminalCost_stochastic,Bulgaria,RussianGas,7,1,274,800.0,309,800.0,False
