Nodes,Period,NodeLostLoadCost
Austria,1,999999999
BosniaH,1,999999999
Belgium,1,999999999
Bulgaria,1,999999999
Switzerland,1,999999999
CzechR,1,999999999
Germany,1,999999999
Denmark,1,999999999
Estonia,1,999999999
Spain,1,999999999
Finland,1,999999999
France,1,999999999
GreatBrit.,1,999999999
Greece,1,999999999
Croatia,1,999999999
Hungary,1,999999999
Ireland,1,999999999
Italy,1,999999999
Lithuania,1,999999999
Luxemb.,1,999999999
Latvia,1,999999999
Macedonia,1,999999999
Netherlands,1,999999999
NO1,1,999999999
NO2,1,999999999
NO3,1,999999999
NO4,1,999999999
NO5,1,999999999
Poland,1,999999999
Portugal,1,999999999
Romania,1,999999999
Serbia,1,999999999
Sweden,1,999999999
Slovenia,1,999999999
Slovakia,1,999999999
MorayFirth,1,999999999
FirthofForth,1,999999999
DoggerBank,1,999999999
Hornsea,1,999999999
OuterDowsing,1,999999999
Norfolk,1,999999999
EastAnglia,1,999999999
Borssele,1,999999999
HollandseeKust,1,999999999
HelgoländerBucht,1,999999999
Nordsøen,1,999999999
UtsiraNord,1,999999999
SørligeNordsjøI,1,999999999
SørligeNordsjøII,1,999999999
EnergyhubEU,1,999999999
Sleipner,1,999999999
Draupner,1,999999999
Austria,2,999999999
BosniaH,2,999999999
Belgium,2,999999999
Bulgaria,2,999999999
Switzerland,2,999999999
CzechR,2,999999999
Germany,2,999999999
Denmark,2,999999999
Estonia,2,999999999
Spain,2,999999999
Finland,2,999999999
France,2,999999999
GreatBrit.,2,999999999
Greece,2,999999999
Croatia,2,999999999
Hungary,2,999999999
Ireland,2,999999999
Italy,2,999999999
Lithuania,2,999999999
Luxemb.,2,999999999
Latvia,2,999999999
Macedonia,2,999999999
Netherlands,2,999999999
NO1,2,999999999
NO2,2,999999999
NO3,2,999999999
NO4,2,999999999
NO5,2,999999999
Poland,2,999999999
Portugal,2,999999999
Romania,2,999999999
Serbia,2,999999999
Sweden,2,999999999
Slovenia,2,999999999
Slovakia,2,999999999
MorayFirth,2,999999999
FirthofForth,2,999999999
DoggerBank,2,999999999
Hornsea,2,999999999
OuterDowsing,2,999999999
Norfolk,2,999999999
EastAnglia,2,999999999
Borssele,2,999999999
HollandseeKust,2,999999999
HelgoländerBucht,2,999999999
Nordsøen,2,999999999
UtsiraNord,2,999999999
SørligeNordsjøI,2,999999999
SørligeNordsjøII,2,999999999
EnergyhubEU,2,999999999
Sleipner,2,999999999
Draupner,2,999999999
Austria,3,999999999
BosniaH,3,999999999
Belgium,3,999999999
Bulgaria,3,999999999
Switzerland,3,999999999
CzechR,3,999999999
Germany,3,999999999
Denmark,3,999999999
Estonia,3,999999999
Spain,3,999999999
Finland,3,999999999
France,3,999999999
GreatBrit.,3,999999999
Greece,3,999999999
Croatia,3,999999999
Hungary,3,999999999
Ireland,3,999999999
Italy,3,999999999
Lithuania,3,999999999
Luxemb.,3,999999999
Latvia,3,999999999
Macedonia,3,999999999
Netherlands,3,999999999
NO1,3,999999999
NO2,3,999999999
NO3,3,999999999
NO4,3,999999999
NO5,3,999999999
Poland,3,999999999
Portugal,3,999999999
Romania,3,999999999
Serbia,3,999999999
Sweden,3,999999999
Slovenia,3,999999999
Slovakia,3,999999999
MorayFirth,3,999999999
FirthofForth,3,999999999
DoggerBank,3,999999999
Hornsea,3,999999999
OuterDowsing,3,999999999
Norfolk,3,999999999
EastAnglia,3,999999999
Borssele,3,999999999
HollandseeKust,3,999999999
HelgoländerBucht,3,999999999
Nordsøen,3,999999999
UtsiraNord,3,999999999
SørligeNordsjøI,3,999999999
SørligeNordsjøII,3,999999999
EnergyhubEU,3,999999999
Sleipner,3,999999999
Draupner,3,999999999
Austria,4,999999999
BosniaH,4,999999999
Belgium,4,999999999
Bulgaria,4,999999999
Switzerland,4,999999999
CzechR,4,999999999
Germany,4,999999999
Denmark,4,999999999
Estonia,4,999999999
Spain,4,999999999
Finland,4,999999999
France,4,999999999
GreatBrit.,4,999999999
Greece,4,999999999
Croatia,4,999999999
Hungary,4,999999999
Ireland,4,999999999
Italy,4,999999999
Lithuania,4,999999999
Luxemb.,4,999999999
Latvia,4,999999999
Macedonia,4,999999999
Netherlands,4,999999999
NO1,4,999999999
NO2,4,999999999
NO3,4,999999999
NO4,4,999999999
NO5,4,999999999
Poland,4,999999999
Portugal,4,999999999
Romania,4,999999999
Serbia,4,999999999
Sweden,4,999999999
Slovenia,4,999999999
Slovakia,4,999999999
MorayFirth,4,999999999
FirthofForth,4,999999999
DoggerBank,4,999999999
Hornsea,4,999999999
OuterDowsing,4,999999999
Norfolk,4,999999999
EastAnglia,4,999999999
Borssele,4,999999999
HollandseeKust,4,999999999
HelgoländerBucht,4,999999999
Nordsøen,4,999999999
UtsiraNord,4,999999999
SørligeNordsjøI,4,999999999
SørligeNordsjøII,4,999999999
EnergyhubEU,4,999999999
Sleipner,4,999999999
Draupner,4,999999999
Austria,5,999999999
BosniaH,5,999999999
Belgium,5,999999999
Bulgaria,5,999999999
Switzerland,5,999999999
CzechR,5,999999999
Germany,5,999999999
Denmark,5,999999999
Estonia,5,999999999
Spain,5,999999999
Finland,5,999999999
France,5,999999999
GreatBrit.,5,999999999
Greece,5,999999999
Croatia,5,999999999
Hungary,5,999999999
Ireland,5,999999999
Italy,5,999999999
Lithuania,5,999999999
Luxemb.,5,999999999
Latvia,5,999999999
Macedonia,5,999999999
Netherlands,5,999999999
NO1,5,999999999
NO2,5,999999999
NO3,5,999999999
NO4,5,999999999
NO5,5,999999999
Poland,5,999999999
Portugal,5,999999999
Romania,5,999999999
Serbia,5,999999999
Sweden,5,999999999
Slovenia,5,999999999
Slovakia,5,999999999
MorayFirth,5,999999999
FirthofForth,5,999999999
DoggerBank,5,999999999
Hornsea,5,999999999
OuterDowsing,5,999999999
Norfolk,5,999999999
EastAnglia,5,999999999
Borssele,5,999999999
HollandseeKust,5,999999999
HelgoländerBucht,5,999999999
Nordsøen,5,999999999
UtsiraNord,5,999999999
SørligeNordsjøI,5,999999999
SørligeNordsjøII,5,999999999
EnergyhubEU,5,999999999
Sleipner,5,999999999
Draupner,5,999999999
Austria,6,999999999
BosniaH,6,999999999
Belgium,6,999999999
Bulgaria,6,999999999
Switzerland,6,999999999
CzechR,6,999999999
Germany,6,999999999
Denmark,6,999999999
Estonia,6,999999999
Spain,6,999999999
Finland,6,999999999
France,6,999999999
GreatBrit.,6,999999999
Greece,6,999999999
Croatia,6,999999999
Hungary,6,999999999
Ireland,6,999999999
Italy,6,999999999
Lithuania,6,999999999
Luxemb.,6,999999999
Latvia,6,999999999
Macedonia,6,999999999
Netherlands,6,999999999
NO1,6,999999999
NO2,6,999999999
NO3,6,999999999
NO4,6,999999999
NO5,6,999999999
Poland,6,999999999
Portugal,6,999999999
Romania,6,999999999
Serbia,6,999999999
Sweden,6,999999999
Slovenia,6,999999999
Slovakia,6,999999999
MorayFirth,6,999999999
FirthofForth,6,999999999
DoggerBank,6,999999999
Hornsea,6,999999999
OuterDowsing,6,999999999
Norfolk,6,999999999
EastAnglia,6,999999999
Borssele,6,999999999
HollandseeKust,6,999999999
HelgoländerBucht,6,999999999
Nordsøen,6,999999999
UtsiraNord,6,999999999
SørligeNordsjøI,6,999999999
SørligeNordsjøII,6,999999999
EnergyhubEU,6,999999999
Sleipner,6,999999999
Draupner,6,999999999
Austria,7,999999999
BosniaH,7,999999999
Belgium,7,999999999
Bulgaria,7,999999999
Switzerland,7,999999999
CzechR,7,999999999
Germany,7,999999999
Denmark,7,999999999
Estonia,7,999999999
Spain,7,999999999
Finland,7,999999999
France,7,999999999
GreatBrit.,7,999999999
Greece,7,999999999
Croatia,7,999999999
Hungary,7,999999999
Ireland,7,999999999
Italy,7,999999999
Lithuania,7,999999999
Luxemb.,7,999999999
Latvia,7,999999999
Macedonia,7,999999999
Netherlands,7,999999999
NO1,7,999999999
NO2,7,999999999
NO3,7,999999999
NO4,7,999999999
NO5,7,999999999
Poland,7,999999999
Portugal,7,999999999
Romania,7,999999999
Serbia,7,999999999
Sweden,7,999999999
Slovenia,7,999999999
Slovakia,7,999999999
MorayFirth,7,999999999
FirthofForth,7,999999999
DoggerBank,7,999999999
Hornsea,7,999999999
OuterDowsing,7,999999999
Norfolk,7,999999999
EastAnglia,7,999999999
Borssele,7,999999999
HollandseeKust,7,999999999
HelgoländerBucht,7,999999999
Nordsøen,7,999999999
UtsiraNord,7,999999999
SørligeNordsjøI,7,999999999
SørligeNordsjøII,7,999999999
EnergyhubEU,7,999999999
Sleipner,7,999999999
Draupner,7,999999999
