Nodes,Period,ElectricAdjustment_in_MWh_per_hour
Austria,1,79147224.21742213
BosniaH,1,13500533.629835086
Belgium,1,95818995.43941253
Bulgaria,1,39223571.82896934
Switzerland,1,76331997.81652409
CzechR,1,77521121.22130737
Germany,1,665904179.4103644
Denmark,1,39780067.56201743
Estonia,1,10325148.548959212
Spain,1,272679317.6987384
Finland,1,93198918.15871464
France,1,496597872.8838798
GreatBrit.,1,295810056.4460342
Greece,1,56342535.41994788
Croatia,1,18157844.740553427
Hungary,1,49501992.92778679
Ireland,1,35160707.950310655
Italy,1,379710142.3706299
Lithuania,1,14281156.303716049
Luxemb.,1,7150634.069410995
Latvia,1,9470472.343534393
Macedonia,1,10380204.30823688
Netherlands,1,126138033.11306041
NO1,1,35871492.74282369
NO2,1,33883645.04748779
NO3,1,21047096.63704354
NO4,1,17015609.496220175
NO5,1,15956798.771125913
Poland,1,183756500.19171673
Portugal,1,54829015.603106506
Romania,1,59556110.54066947
Serbia,1,43922824.90057494
Sweden,1,135791614.24661008
Slovenia,1,17559776.820129987
Slovakia,1,32483773.078315
Austria,2,92945987.80057797
BosniaH,2,14844757.154224915
Belgium,2,115717801.50794831
Bulgaria,2,42706850.35181624
Switzerland,2,79086991.16724744
CzechR,2,88177404.04245037
Germany,2,797820996.849531
Denmark,2,51570578.29650621
Estonia,2,11897841.490509503
Spain,2,292359585.78816867
Finland,2,107620021.16181825
France,2,540326455.6531595
GreatBrit.,2,404838357.38366365
Greece,2,66251041.85778109
Croatia,2,19671324.934720963
Hungary,2,67915815.43107758
Ireland,2,47479622.41382934
Italy,2,434021617.3388151
Lithuania,2,18970404.223225623
Luxemb.,2,8854601.410028828
Latvia,2,11439775.831028214
Macedonia,2,10556765.086259374
Netherlands,2,148541811.97797278
NO1,2,37834965.81951724
NO2,2,36863613.22463767
NO3,2,22893010.531456213
NO4,2,18616535.434075575
NO5,2,17552222.255304232
Poland,2,213127648.7810607
Portugal,2,59362217.78997444
Romania,2,68050244.62751454
Serbia,2,43488261.13532308
Sweden,2,143702495.08978313
Slovenia,2,20243595.953036346
Slovakia,2,35590951.97497114
Austria,3,107356215.90281314
BosniaH,3,16410019.644649062
Belgium,3,135421588.0082669
Bulgaria,3,43401956.58158054
Switzerland,3,91561528.50986962
CzechR,3,93749327.45156401
Germany,3,869382038.9916079
Denmark,3,51821218.159606025
