NodeFrom,NodeTo
Borssele,Belgium
Borssele,DoggerBank
Borssele,EastAnglia
Borssele,FirthofForth
Borssele,Hornsea
Borssele,MorayFirth
Borssele,Netherlands
Borssele,Norfolk
Borssele,OuterDowsing
Croatia,BosniaH
CzechR,Austria
Denmark,Germany
DoggerBank,FirthofForth
DoggerBank,GreatBrit.
DoggerBank,MorayFirth
EastAnglia,DoggerBank
EastAnglia,FirthofForth
EastAnglia,GreatBrit.
EastAnglia,Hornsea
EastAnglia,MorayFirth
EastAnglia,Norfolk
EastAnglia,OuterDowsing
EnergyhubEU,Belgium
EnergyhubEU,Borssele
EnergyhubEU,Denmark
EnergyhubEU,DoggerBank
EnergyhubEU,EastAnglia
EnergyhubEU,FirthofForth
EnergyhubEU,Germany
EnergyhubEU,GreatBrit.
EnergyhubEU,HelgoländerBucht
EnergyhubEU,HollandseeKust
EnergyhubEU,Hornsea
EnergyhubEU,MorayFirth
EnergyhubEU,Netherlands
EnergyhubEU,NO2
EnergyhubEU,NO5
EnergyhubEU,Nordsøen
EnergyhubEU,Norfolk
EnergyhubEU,OuterDowsing
EnergyhubEU,SørligeNordsjøI
EnergyhubEU,SørligeNordsjøII
EnergyhubEU,UtsiraNord
Finland,Estonia
FirthofForth,GreatBrit.
FirthofForth,MorayFirth
France,Belgium
France,Germany
France,Spain
France,Switzerland
Germany,Austria
Germany,Belgium
Germany,CzechR
Germany,Switzerland
GreatBrit.,Belgium
GreatBrit.,Denmark
GreatBrit.,France
GreatBrit.,Germany
Greece,Bulgaria
HelgoländerBucht,Borssele
HelgoländerBucht,DoggerBank
HelgoländerBucht,EastAnglia
HelgoländerBucht,FirthofForth
HelgoländerBucht,Germany
HelgoländerBucht,HollandseeKust
HelgoländerBucht,Hornsea
HelgoländerBucht,MorayFirth
HelgoländerBucht,Netherlands
HelgoländerBucht,Norfolk
HelgoländerBucht,OuterDowsing
HollandseeKust,Belgium
HollandseeKust,Borssele
HollandseeKust,DoggerBank
HollandseeKust,EastAnglia
HollandseeKust,FirthofForth
HollandseeKust,Hornsea
HollandseeKust,MorayFirth
HollandseeKust,Netherlands
HollandseeKust,Norfolk
HollandseeKust,OuterDowsing
Hornsea,DoggerBank
Hornsea,FirthofForth
Hornsea,GreatBrit.
Hornsea,MorayFirth
Hungary,Austria
Hungary,Croatia
Ireland,France
Ireland,GreatBrit.
Ireland,Spain
Italy,Austria
Italy,BosniaH
Italy,Croatia
Italy,France
Italy,Germany
Italy,Greece
Italy,Switzerland
Latvia,Estonia
Latvia,Lithuania
Luxemb.,Belgium
Luxemb.,France
Luxemb.,Germany
Macedonia,Bulgaria
Macedonia,Greece
MorayFirth,GreatBrit.
Netherlands,Belgium
Netherlands,Denmark
Netherlands,Germany
Netherlands,GreatBrit.
NO2,Belgium
NO2,Denmark
NO2,Draupner
NO2,France
NO2,Germany
NO2,GreatBrit.
NO2,Netherlands
NO2,NO1
NO3,NO1
NO4,Finland
NO4,NO3
NO5,GreatBrit.
NO5,NO1
NO5,NO2
NO5,NO3
NO5,Sleipner
Nordsøen,Borssele
Nordsøen,Denmark
Nordsøen,DoggerBank
Nordsøen,EastAnglia
Nordsøen,FirthofForth
Nordsøen,HelgoländerBucht
Nordsøen,HollandseeKust
Nordsøen,Hornsea
Nordsøen,MorayFirth
Nordsøen,Norfolk
Nordsøen,OuterDowsing
Norfolk,DoggerBank
Norfolk,FirthofForth
Norfolk,GreatBrit.
Norfolk,Hornsea
Norfolk,MorayFirth
Norfolk,OuterDowsing
OuterDowsing,DoggerBank
OuterDowsing,FirthofForth
OuterDowsing,GreatBrit.
OuterDowsing,Hornsea
OuterDowsing,MorayFirth
Poland,CzechR
Poland,Denmark
Poland,Germany
Poland,Hungary
Poland,Lithuania
Portugal,Spain
Romania,Bulgaria
Romania,Hungary
Serbia,BosniaH
Serbia,Bulgaria
Serbia,Croatia
Serbia,Hungary
Serbia,Macedonia
Serbia,Romania
Slovakia,Austria
Slovakia,CzechR
Slovakia,Hungary
Slovakia,Poland
Slovenia,Austria
Slovenia,Croatia
Slovenia,Hungary
Slovenia,Italy
SørligeNordsjøI,Borssele
