NodeFrom,NodeTo
CzechR,Austria
Germany,Austria
Hungary,Austria
Italy,Austria
Slovenia,Austria
Slovakia,Austria
Germany,Belgium
France,Belgium
GreatBrit.,Belgium
Netherlands,Belgium
Greece,Bulgaria
Romania,Bulgaria
Serbia,Bulgaria
Austria,CzechR
Germany,Switzerland
France,Switzerland
Italy,Switzerland
Switzerland,France
Germany,CzechR
Poland,CzechR
Slovakia,CzechR
Austria,Germany
Belgium,Germany
Switzerland,Germany
CzechR,Germany
Denmark,Germany
France,Germany
Netherlands,Germany
NO2,Germany
NO2,Denmark
Poland,Germany
Germany,Denmark
Poland,Denmark
Finland,Estonia
Latvia,Estonia
France,Spain
Portugal,Spain
Estonia,Finland
Belgium,France
Austria,Hungary
Germany,France
Spain,France
Belgium,GreatBrit.
Ireland,GreatBrit.
Netherlands,GreatBrit.
Bulgaria,Greece
Hungary,Croatia
Slovenia,Croatia
Austria,Italy
Croatia,Hungary
Romania,Hungary
Slovenia,Hungary
Slovakia,Hungary
GreatBrit.,Ireland
Switzerland,Italy
Austria,Slovakia
Greece,Italy
Slovenia,Italy
Latvia,Lithuania
Poland,Lithuania
Estonia,Latvia
Lithuania,Latvia
Belgium,Netherlands
Germany,Netherlands
Denmark,Netherlands
GreatBrit.,Netherlands
CzechR,Poland
Germany,Poland
Denmark,Poland
Denmark,NO2
Lithuania,Poland
Slovakia,Poland
Spain,Portugal
Bulgaria,Romania
Hungary,Romania
Bulgaria,Serbia
Hungary,Serbia
Denmark,Sweden
Austria,Slovenia
Croatia,Slovenia
Hungary,Slovenia
Italy,Slovenia
CzechR,Slovakia
Poland,Slovakia
NO3,Sleipner
NO5,Sleipner
Sleipner,GreatBrit.
Sleipner,Belgium
NO2,Draupner
NO5,Draupner
Draupner,Germany
Draupner,France
Sleipner,Draupner
Draupner,Sleipner
