Node,NG_Terminal_Type
NO2,DomesticProduction
NO5,DomesticProduction
NO3,DomesticProduction
GreatBrit.,DomesticProduction
GreatBrit.,LNGImport
Spain,PipelineImport
Spain,LNGImport
Italy,PipelineImport
Italy,LNGImport
Belgium,LNGImport
Croatia,LNGImport
France,LNGImport
Greece,LNGImport
Lithuania,LNGImport
Netherlands,LNGImport
Poland,LNGImport
Portugal,LNGImport
Germany,RussianGas
Lithuania,RussianGas
Bulgaria,RussianGas
Greece,RussianGas
Croatia,RussianGas
Hungary,RussianGas
Romania,RussianGas
Macedonia,RussianGas
Serbia,RussianGas
BosniaH,RussianGas
Slovakia,RussianGas
Poland,RussianGas
Germany,LNGImport
Estonia,LNGImport
Finland,LNGImport
Ireland,LNGImport
Latvia,LNGImport
Netherlands,DomesticProduction
Romania,DomesticProduction
Germany,DomesticProduction
Italy,DomesticProduction
Poland,DomesticProduction
Hungary,DomesticProduction
Denmark,DomesticProduction
Ireland,DomesticProduction
Croatia,DomesticProduction
Austria,DomesticProduction
