FromNode,ToNode,LineType
Austria,CzechR,HVAC_OverheadLine
Austria,Germany,HVAC_OverheadLine
Austria,Hungary,HVAC_OverheadLine
Austria,Italy,HVAC_OverheadLine
Austria,Slovakia,HVAC_OverheadLine
Austria,Slovenia,HVAC_OverheadLine
Austria,Switzerland,HVAC_OverheadLine
Belgium,Borssele,HVDC_Cable
Belgium,EnergyhubEU,HVDC_OffshoreToOnshore
Belgium,France,HVAC_OverheadLine
Belgium,Germany,HVAC_OverheadLine
Belgium,GreatBrit.,HVDC_Cable
Belgium,HollandseeKust,HVDC_Cable
Belgium,Luxemb.,HVAC_OverheadLine
Belgium,Netherlands,HVAC_OverheadLine
Belgium,NO2,HVDC_Cable
Borssele,Belgium,HVDC_Cable
Borssele,DoggerBank,HVDC_Cable
Borssele,EastAnglia,HVDC_Cable
Borssele,EnergyhubEU,HVDC_Cable
Borssele,FirthofForth,HVDC_Cable
Borssele,HelgoländerBucht,HVDC_Cable
Borssele,HollandseeKust,HVDC_Cable
Borssele,Hornsea,HVDC_Cable
Borssele,MorayFirth,HVDC_Cable
Borssele,Netherlands,HVDC_Cable
Borssele,Nordsøen,HVDC_Cable
Borssele,Norfolk,HVDC_Cable
Borssele,OuterDowsing,HVDC_Cable
Borssele,SørligeNordsjøI,HVDC_Cable
Borssele,SørligeNordsjøII,HVDC_Cable
Borssele,UtsiraNord,HVDC_Cable
BosniaH,Croatia,HVAC_OverheadLine
BosniaH,Italy,HVDC_Cable
BosniaH,Serbia,HVAC_OverheadLine
Bulgaria,Greece,HVAC_OverheadLine
Bulgaria,Macedonia,HVAC_OverheadLine
Bulgaria,Romania,HVAC_OverheadLine
Bulgaria,Serbia,HVAC_OverheadLine
Croatia,BosniaH,HVAC_OverheadLine
Croatia,Hungary,HVAC_OverheadLine
Croatia,Italy,HVDC_Cable
Croatia,Serbia,HVAC_OverheadLine
Croatia,Slovenia,HVAC_OverheadLine
CzechR,Austria,HVAC_OverheadLine
CzechR,Germany,HVAC_OverheadLine
CzechR,Poland,HVAC_OverheadLine
CzechR,Slovakia,HVAC_OverheadLine
Denmark,EnergyhubEU,HVDC_OffshoreToOnshore
Denmark,Germany,HVAC_OverheadLine
Denmark,GreatBrit.,HVDC_Cable
Denmark,Netherlands,HVDC_Cable
Denmark,NO2,HVDC_Cable
Denmark,Nordsøen,HVDC_Cable
Denmark,Poland,HVDC_Cable
Denmark,Sweden,HVDC_Cable
DoggerBank,Borssele,HVDC_Cable
DoggerBank,EastAnglia,HVDC_Cable
DoggerBank,EnergyhubEU,HVDC_Cable
DoggerBank,FirthofForth,HVDC_Cable
DoggerBank,GreatBrit.,HVDC_Cable
DoggerBank,HelgoländerBucht,HVDC_Cable
DoggerBank,HollandseeKust,HVDC_Cable
DoggerBank,Hornsea,HVDC_Cable
DoggerBank,MorayFirth,HVDC_Cable
DoggerBank,Nordsøen,HVDC_Cable
DoggerBank,Norfolk,HVDC_Cable
DoggerBank,OuterDowsing,HVDC_Cable
DoggerBank,SørligeNordsjøI,HVDC_Cable
DoggerBank,SørligeNordsjøII,HVDC_Cable
DoggerBank,UtsiraNord,HVDC_Cable
Draupner,NO2,HVDC_Cable
EastAnglia,Borssele,HVDC_Cable
EastAnglia,DoggerBank,HVDC_Cable
EastAnglia,EnergyhubEU,HVDC_Cable
EastAnglia,FirthofForth,HVDC_Cable
EastAnglia,GreatBrit.,HVDC_Cable
EastAnglia,HelgoländerBucht,HVDC_Cable
EastAnglia,HollandseeKust,HVDC_Cable
EastAnglia,Hornsea,HVDC_Cable
EastAnglia,MorayFirth,HVDC_Cable
EastAnglia,Nordsøen,HVDC_Cable
EastAnglia,Norfolk,HVDC_Cable
EastAnglia,OuterDowsing,HVDC_Cable
EastAnglia,SørligeNordsjøI,HVDC_Cable
EastAnglia,SørligeNordsjøII,HVDC_Cable
EastAnglia,UtsiraNord,HVDC_Cable
EnergyhubEU,Belgium,HVDC_OffshoreToOnshore
EnergyhubEU,Borssele,HVDC_Cable
EnergyhubEU,Denmark,HVDC_OffshoreToOnshore
EnergyhubEU,DoggerBank,HVDC_Cable
EnergyhubEU,EastAnglia,HVDC_Cable
EnergyhubEU,FirthofForth,HVDC_Cable
EnergyhubEU,Germany,HVDC_OffshoreToOnshore
EnergyhubEU,GreatBrit.,HVDC_OffshoreToOnshore
EnergyhubEU,HelgoländerBucht,HVDC_Cable
EnergyhubEU,HollandseeKust,HVDC_Cable
EnergyhubEU,Hornsea,HVDC_Cable
EnergyhubEU,MorayFirth,HVDC_Cable
EnergyhubEU,Netherlands,HVDC_OffshoreToOnshore
EnergyhubEU,NO2,HVDC_OffshoreToOnshore
EnergyhubEU,NO5,HVDC_OffshoreToOnshore
EnergyhubEU,Nordsøen,HVDC_Cable
EnergyhubEU,Norfolk,HVDC_Cable
EnergyhubEU,OuterDowsing,HVDC_Cable
EnergyhubEU,SørligeNordsjøI,HVDC_Cable
EnergyhubEU,SørligeNordsjøII,HVDC_Cable
EnergyhubEU,UtsiraNord,HVDC_Cable
Estonia,Finland,HVDC_Cable
Estonia,Latvia,HVAC_OverheadLine
Estonia,Sweden,HVDC_Cable
Finland,Estonia,HVDC_Cable
Finland,NO4,HVAC_OverheadLine
Finland,Sweden,HVDC_Cable
FirthofForth,Borssele,HVDC_Cable
FirthofForth,DoggerBank,HVDC_Cable
FirthofForth,EastAnglia,HVDC_Cable
FirthofForth,EnergyhubEU,HVDC_Cable
FirthofForth,GreatBrit.,HVDC_Cable
FirthofForth,HelgoländerBucht,HVDC_Cable
FirthofForth,HollandseeKust,HVDC_Cable
FirthofForth,Hornsea,HVDC_Cable
FirthofForth,MorayFirth,HVDC_Cable
FirthofForth,Nordsøen,HVDC_Cable
FirthofForth,Norfolk,HVDC_Cable
FirthofForth,OuterDowsing,HVDC_Cable
FirthofForth,SørligeNordsjøI,HVDC_Cable
FirthofForth,SørligeNordsjøII,HVDC_Cable
FirthofForth,UtsiraNord,HVDC_Cable
France,Belgium,HVAC_OverheadLine
France,Germany,HVAC_OverheadLine
France,GreatBrit.,HVDC_Cable
France,Ireland,HVDC_Cable
France,Italy,HVAC_OverheadLine
France,Luxemb.,HVAC_OverheadLine
France,NO2,HVDC_Cable
France,Spain,HVAC_OverheadLine
France,Switzerland,HVAC_OverheadLine
Germany,Austria,HVAC_OverheadLine
Germany,Belgium,HVAC_OverheadLine
Germany,CzechR,HVAC_OverheadLine
Germany,Denmark,HVAC_OverheadLine
Germany,EnergyhubEU,HVDC_OffshoreToOnshore
Germany,France,HVAC_OverheadLine
Germany,GreatBrit.,HVDC_Cable
Germany,HelgoländerBucht,HVDC_Cable
Germany,Italy,HVAC_OverheadLine
