Nodes,StorageTypes,Period,PowerMaxBuiltCapacity
Austria,HydroPumpStorage,1,500000
Austria,HydroPumpStorage,2,500000.0
Austria,HydroPumpStorage,3,500000.0
Austria,HydroPumpStorage,4,500000.0
Austria,HydroPumpStorage,5,500000.0
Austria,HydroPumpStorage,6,500000.0
Austria,HydroPumpStorage,7,500000.0
BosniaH,HydroPumpStorage,1,500000
BosniaH,HydroPumpStorage,2,500000.0
BosniaH,HydroPumpStorage,3,500000.0
BosniaH,HydroPumpStorage,4,500000.0
BosniaH,HydroPumpStorage,5,500000.0
BosniaH,HydroPumpStorage,6,500000.0
BosniaH,HydroPumpStorage,7,500000.0
Belgium,HydroPumpStorage,1,500000
Belgium,HydroPumpStorage,2,500000.0
Belgium,HydroPumpStorage,3,500000.0
Belgium,HydroPumpStorage,4,500000.0
Belgium,HydroPumpStorage,5,500000.0
Belgium,HydroPumpStorage,6,500000.0
Belgium,HydroPumpStorage,7,500000.0
Bulgaria,HydroPumpStorage,1,500000
Bulgaria,HydroPumpStorage,2,500000.0
Bulgaria,HydroPumpStorage,3,500000.0
Bulgaria,HydroPumpStorage,4,500000.0
Bulgaria,HydroPumpStorage,5,500000.0
Bulgaria,HydroPumpStorage,6,500000.0
Bulgaria,HydroPumpStorage,7,500000.0
Switzerland,HydroPumpStorage,1,500000
Switzerland,HydroPumpStorage,2,500000.0
Switzerland,HydroPumpStorage,3,500000.0
Switzerland,HydroPumpStorage,4,500000.0
Switzerland,HydroPumpStorage,5,500000.0
Switzerland,HydroPumpStorage,6,500000.0
Switzerland,HydroPumpStorage,7,500000.0
CzechR,HydroPumpStorage,1,500000
CzechR,HydroPumpStorage,2,500000.0
CzechR,HydroPumpStorage,3,500000.0
CzechR,HydroPumpStorage,4,500000.0
CzechR,HydroPumpStorage,5,500000.0
CzechR,HydroPumpStorage,6,500000.0
CzechR,HydroPumpStorage,7,500000.0
Germany,HydroPumpStorage,1,500000
Germany,HydroPumpStorage,2,500000.0
Germany,HydroPumpStorage,3,500000.0
Germany,HydroPumpStorage,4,500000.0
Germany,HydroPumpStorage,5,500000.0
Germany,HydroPumpStorage,6,500000.0
Germany,HydroPumpStorage,7,500000.0
Spain,HydroPumpStorage,1,500000
Spain,HydroPumpStorage,2,500000.0
Spain,HydroPumpStorage,3,500000.0
Spain,HydroPumpStorage,4,500000.0
Spain,HydroPumpStorage,5,500000.0
Spain,HydroPumpStorage,6,500000.0
Spain,HydroPumpStorage,7,500000.0
Finland,HydroPumpStorage,1,500000
Finland,HydroPumpStorage,2,500000.0
Finland,HydroPumpStorage,3,500000.0
Finland,HydroPumpStorage,4,500000.0
Finland,HydroPumpStorage,5,500000.0
Finland,HydroPumpStorage,6,500000.0
Finland,HydroPumpStorage,7,500000.0
France,HydroPumpStorage,1,500000
