FromNode,ToNode,lineLength_in_km
Borssele,Belgium,67.0
Borssele,DoggerBank,326.0
Borssele,EastAnglia,88.0
Borssele,FirthofForth,600.0
Borssele,Hornsea,229.0
Borssele,MorayFirth,805.0
Borssele,Netherlands,80.0
Borssele,Norfolk,116.0
Borssele,OuterDowsing,215.0
Croatia,BosniaH,190.5919036125
CzechR,Austria,253.3455435094
Denmark,Germany,150.0
DoggerBank,FirthofForth,326.0
DoggerBank,GreatBrit.,195.0
DoggerBank,MorayFirth,497.0
EastAnglia,DoggerBank,331.0
EastAnglia,FirthofForth,583.0
EastAnglia,GreatBrit.,46.0
EastAnglia,Hornsea,213.0
EastAnglia,MorayFirth,784.0
EastAnglia,Norfolk,100.0
EastAnglia,OuterDowsing,182.0
EnergyhubEU,Belgium,450.0
EnergyhubEU,Borssele,382.0
EnergyhubEU,Denmark,180.0
EnergyhubEU,DoggerBank,215.0
EnergyhubEU,EastAnglia,434.0
EnergyhubEU,FirthofForth,505.0
EnergyhubEU,Germany,220.0
EnergyhubEU,GreatBrit.,400.0
EnergyhubEU,HelgoländerBucht,128.0
EnergyhubEU,HollandseeKust,310.0
EnergyhubEU,Hornsea,285.0
EnergyhubEU,MorayFirth,632.0
EnergyhubEU,Netherlands,190.0
EnergyhubEU,NO2,350.0
EnergyhubEU,NO5,540.0
EnergyhubEU,Nordsøen,161.0
EnergyhubEU,Norfolk,343.0
EnergyhubEU,OuterDowsing,367.0
EnergyhubEU,SørligeNordsjøI,294.0
EnergyhubEU,SørligeNordsjøII,192.0
EnergyhubEU,UtsiraNord,474.0
Finland,Estonia,105.0
FirthofForth,GreatBrit.,59.0
FirthofForth,MorayFirth,270.0
France,Belgium,444.6585871476
France,Germany,766.4799059127
France,Spain,792.9102474959
France,Switzerland,317.5603066469
Germany,Austria,490.1242999276
Germany,Belgium,467.34821614855
Germany,CzechR,336.403327726
Germany,Switzerland,579.1562734281
GreatBrit.,Belgium,150.0
GreatBrit.,Denmark,740.0
GreatBrit.,France,73.0
GreatBrit.,Germany,580.0
Greece,Bulgaria,427.9430623325
HelgoländerBucht,Borssele,390.0
HelgoländerBucht,DoggerBank,319.0
HelgoländerBucht,EastAnglia,446.0
HelgoländerBucht,FirthofForth,624.0
HelgoländerBucht,Germany,90.0
HelgoländerBucht,HollandseeKust,294.0
HelgoländerBucht,Hornsea,353.0
HelgoländerBucht,MorayFirth,760.0
HelgoländerBucht,Netherlands,127.0
HelgoländerBucht,Norfolk,372.0
HelgoländerBucht,OuterDowsing,426.0
HollandseeKust,Belgium,178.0
HollandseeKust,Borssele,78.0
HollandseeKust,DoggerBank,285.0
HollandseeKust,EastAnglia,158.0
HollandseeKust,FirthofForth,583.0
HollandseeKust,Hornsea,210.0
HollandseeKust,MorayFirth,777.0
HollandseeKust,Netherlands,51.0
HollandseeKust,Norfolk,129.0
HollandseeKust,OuterDowsing,230.0
Hornsea,DoggerBank,118.0
Hornsea,FirthofForth,375.0
Hornsea,GreatBrit.,134.0
Hornsea,MorayFirth,585.0
Hungary,Austria,338.3496671533
Hungary,Croatia,243.6757092477
Ireland,France,500.0
Ireland,GreatBrit.,63.5
Ireland,Spain,942.7657944744922
Italy,Austria,485.9159178264
Italy,BosniaH,415.0
Italy,Croatia,400.0
Italy,France,716.9202749657
Italy,Germany,918.594825787607
Italy,Greece,313.0
Italy,Switzerland,498.4905363004
Latvia,Estonia,196.7241413089
Latvia,Lithuania,204.181872913
Luxemb.,Belgium,129.0493737912
Luxemb.,France,394.325057375339
Luxemb.,Germany,396.4551237479
Macedonia,Bulgaria,269.5376549673
Macedonia,Greece,275.7889313797
MorayFirth,GreatBrit.,69.0
Netherlands,Belgium,175.0
Netherlands,Denmark,300.0
Netherlands,Germany,250.0
Netherlands,GreatBrit.,260.0
NO2,Belgium,847.5603817319942
NO2,Denmark,120.0
NO2,Draupner,228.0
NO2,France,1148.0
NO2,Germany,480.0
NO2,GreatBrit.,771.0
NO2,Netherlands,580.0
NO2,NO1,260.0
NO3,NO1,220.0
NO4,Finland,757.975011264
NO4,NO3,325.6835876584
NO5,GreatBrit.,665.0
NO5,NO1,295.0
NO5,NO2,200.0
NO5,NO3,295.0
NO5,Sleipner,229.0
Nordsøen,Borssele,542.0
Nordsøen,Denmark,83.0
Nordsøen,DoggerBank,337.0
Nordsøen,EastAnglia,593.0
Nordsøen,FirthofForth,561.0
Nordsøen,HelgoländerBucht,217.0
Nordsøen,HollandseeKust,467.0
Nordsøen,Hornsea,432.0
Nordsøen,MorayFirth,636.0
Nordsøen,Norfolk,500.0
Nordsøen,OuterDowsing,515.0
Norfolk,DoggerBank,230.0
Norfolk,FirthofForth,484.0
Norfolk,GreatBrit.,47.0
Norfolk,Hornsea,124.0
Norfolk,MorayFirth,700.0
Norfolk,OuterDowsing,102.0
OuterDowsing,DoggerBank,194.0
OuterDowsing,FirthofForth,391.0
OuterDowsing,GreatBrit.,55.0
OuterDowsing,Hornsea,82.0
OuterDowsing,MorayFirth,605.0
Poland,CzechR,338.47352159
Poland,Denmark,236.852490237434
Poland,Germany,450.0924986036
Poland,Hungary,481.9528479031922
Poland,Lithuania,402.8871907912311
Portugal,Spain,339.0097012694
Romania,Bulgaria,395.0076225819
Romania,Hungary,335.696553594
Serbia,BosniaH,190.298459399
Serbia,Bulgaria,311.5642925532
Serbia,Croatia,335.8213865281
Serbia,Hungary,370.0625378694
Serbia,Macedonia,204.0449758994
Serbia,Romania,359.2193609343
Slovakia,Austria,357.6674316711872
Slovakia,CzechR,208.0455737727
Slovakia,Hungary,152.1983824741
Slovakia,Poland,360.4230394075
Slovenia,Austria,151.3699605718
Slovenia,Croatia,127.743612979
Slovenia,Hungary,350.5111621114125
Slovenia,Italy,368.1320598693
SørligeNordsjøI,Borssele,610.0
SørligeNordsjøI,DoggerBank,302.0
SørligeNordsjøI,EastAnglia,629.0
SørligeNordsjøI,FirthofForth,363.0
SørligeNordsjøI,HelgoländerBucht,411.0
SørligeNordsjøI,HollandseeKust,556.0
SørligeNordsjøI,Hornsea,420.0
SørligeNordsjøI,MorayFirth,400.0
SørligeNordsjøI,NO2,180.0
SørligeNordsjøI,Nordsøen,243.0
SørligeNordsjøI,Norfolk,528.0
SørligeNordsjøI,OuterDowsing,492.0
SørligeNordsjøI,UtsiraNord,210.0
SørligeNordsjøII,Borssele,544.0
SørligeNordsjøII,DoggerBank,270.0
SørligeNordsjøII,EastAnglia,576.0
SørligeNordsjøII,FirthofForth,432.0
SørligeNordsjøII,HelgoländerBucht,303.0
SørligeNordsjøII,HollandseeKust,481.0
SørligeNordsjøII,Hornsea,379.0
SørligeNordsjøII,MorayFirth,500.0
SørligeNordsjøII,NO2,194.0
SørligeNordsjøII,Nordsøen,136.0
SørligeNordsjøII,Norfolk,475.0
SørligeNordsjøII,OuterDowsing,460.0
SørligeNordsjøII,SørligeNordsjøI,113.0
SørligeNordsjøII,UtsiraNord,284.0
Sweden,Denmark,149.0
Sweden,Estonia,294.9045711779816
Sweden,Finland,233.0
Sweden,Germany,500.0
Sweden,Latvia,406.792084045932
Sweden,Lithuania,450.0
Sweden,NO1,325.6835876584
Sweden,NO3,325.6835876584
Sweden,NO4,325.6835876584
Sweden,Poland,245.0
Switzerland,Austria,355.583879096
UtsiraNord,Borssele,820.0
UtsiraNord,DoggerBank,515.0
UtsiraNord,EastAnglia,840.0
UtsiraNord,FirthofForth,507.0
UtsiraNord,HelgoländerBucht,573.0
UtsiraNord,HollandseeKust,759.0
UtsiraNord,Hornsea,630.0
UtsiraNord,MorayFirth,452.0
UtsiraNord,NO2,45.0
UtsiraNord,Nordsøen,364.0
UtsiraNord,Norfolk,738.0
UtsiraNord,OuterDowsing,702.0
