InterconnectorLinks,To_Node,transmissionLifetime
Switzerland,Austria,40
CzechR,Austria,40
Germany,Austria,40
Hungary,Austria,40
Italy,Austria,40
Slovenia,Austria,40
Croatia,BosniaH,40
Serbia,BosniaH,40
France,Belgium,40
Luxemb.,Belgium,40
Netherlands,Belgium,40
Greece,Bulgaria,40
Macedonia,Bulgaria,40
Romania,Bulgaria,40
Serbia,Bulgaria,40
Germany,Switzerland,40
France,Switzerland,40
Italy,Switzerland,40
Germany,CzechR,40
Poland,CzechR,40
Slovakia,CzechR,40
Denmark,Germany,40
France,Germany,40
Luxemb.,Germany,40
Netherlands,Germany,40
NO2,Germany,40
Poland,Germany,40
Sweden,Germany,40
NO2,Denmark,40
Sweden,Denmark,40
Finland,Estonia,40
Latvia,Estonia,40
France,Spain,40
Portugal,Spain,40
NO4,Finland,40
Sweden,Finland,40
GreatBrit.,France,40
Italy,France,40
Ireland,GreatBrit.,40
Italy,Greece,40
Macedonia,Greece,40
Hungary,Croatia,40
Serbia,Croatia,40
Slovenia,Croatia,40
Romania,Hungary,40
Serbia,Hungary,40
Slovakia,Hungary,40
Slovenia,Italy,40
Latvia,Lithuania,40
Serbia,Macedonia,40
NO2,Netherlands,40
Sweden,NO1,40
Sweden,Poland,40
Slovakia,Poland,40
Serbia,Romania,40
GreatBrit.,Belgium,40
Netherlands,GreatBrit.,40
NO2,GreatBrit.,40
NO5,GreatBrit.,40
Sweden,Lithuania,40
Netherlands,Denmark,40
Poland,Lithuania,40
GreatBrit.,Denmark,40
Italy,BosniaH,40
Italy,Croatia,40
Slovakia,Austria,40
Germany,Belgium,40
NO2,Belgium,40
Italy,Germany,40
Poland,Denmark,40
Sweden,Estonia,40
Ireland,Spain,40
Ireland,France,40
Luxemb.,France,40
Poland,Hungary,40
Slovenia,Hungary,40
Sweden,Latvia,40
NO2,NO1,40
NO3,NO1,40
NO5,NO1,40
NO5,NO2,40
NO4,NO3,40
NO5,NO3,40
Sweden,NO3,40
Sweden,NO4,40
FirthofForth,MorayFirth,40
DoggerBank,MorayFirth,40
Hornsea,MorayFirth,40
OuterDowsing,MorayFirth,40
Norfolk,MorayFirth,40
EastAnglia,MorayFirth,40
Borssele,MorayFirth,40
HollandseeKust,MorayFirth,40
HelgoländerBucht,MorayFirth,40
Nordsøen,MorayFirth,40
UtsiraNord,MorayFirth,40
SørligeNordsjøI,MorayFirth,40
SørligeNordsjøII,MorayFirth,40
DoggerBank,FirthofForth,40
Hornsea,FirthofForth,40
OuterDowsing,FirthofForth,40
Norfolk,FirthofForth,40
EastAnglia,FirthofForth,40
Borssele,FirthofForth,40
HollandseeKust,FirthofForth,40
HelgoländerBucht,FirthofForth,40
Nordsøen,FirthofForth,40
UtsiraNord,FirthofForth,40
SørligeNordsjøI,FirthofForth,40
SørligeNordsjøII,FirthofForth,40
Hornsea,DoggerBank,40
OuterDowsing,DoggerBank,40
Norfolk,DoggerBank,40
EastAnglia,DoggerBank,40
Borssele,DoggerBank,40
HollandseeKust,DoggerBank,40
HelgoländerBucht,DoggerBank,40
Nordsøen,DoggerBank,40
UtsiraNord,DoggerBank,40
SørligeNordsjøI,DoggerBank,40
SørligeNordsjøII,DoggerBank,40
OuterDowsing,Hornsea,40
Norfolk,Hornsea,40
EastAnglia,Hornsea,40
Borssele,Hornsea,40
HollandseeKust,Hornsea,40
HelgoländerBucht,Hornsea,40
Nordsøen,Hornsea,40
UtsiraNord,Hornsea,40
SørligeNordsjøI,Hornsea,40
SørligeNordsjøII,Hornsea,40
Norfolk,OuterDowsing,40
EastAnglia,OuterDowsing,40
Borssele,OuterDowsing,40
HollandseeKust,OuterDowsing,40
HelgoländerBucht,OuterDowsing,40
Nordsøen,OuterDowsing,40
UtsiraNord,OuterDowsing,40
SørligeNordsjøI,OuterDowsing,40
SørligeNordsjøII,OuterDowsing,40
EastAnglia,Norfolk,40
Borssele,Norfolk,40
HollandseeKust,Norfolk,40
HelgoländerBucht,Norfolk,40
Nordsøen,Norfolk,40
UtsiraNord,Norfolk,40
SørligeNordsjøI,Norfolk,40
SørligeNordsjøII,Norfolk,40
Borssele,EastAnglia,40
HollandseeKust,EastAnglia,40
HelgoländerBucht,EastAnglia,40
Nordsøen,EastAnglia,40
UtsiraNord,EastAnglia,40
SørligeNordsjøI,EastAnglia,40
SørligeNordsjøII,EastAnglia,40
HollandseeKust,Borssele,40
HelgoländerBucht,Borssele,40
Nordsøen,Borssele,40
UtsiraNord,Borssele,40
SørligeNordsjøI,Borssele,40
SørligeNordsjøII,Borssele,40
HelgoländerBucht,HollandseeKust,40
Nordsøen,HollandseeKust,40
UtsiraNord,HollandseeKust,40
SørligeNordsjøI,HollandseeKust,40
SørligeNordsjøII,HollandseeKust,40
Nordsøen,HelgoländerBucht,40
