InterconnectorLinks,ToNode,Period,TransmissionMaxBuiltCapacity_in_MW
Borssele,OuterDowsing,1,0
Borssele,OuterDowsing,2,10000.0
Borssele,OuterDowsing,3,10000.0
Borssele,OuterDowsing,4,10000.0
Borssele,OuterDowsing,5,10000.0
Borssele,OuterDowsing,6,10000.0
Borssele,OuterDowsing,7,10000.0
Borssele,Norfolk,1,0
Borssele,Norfolk,2,10000.0
Borssele,Norfolk,3,10000.0
Borssele,Norfolk,4,10000.0
Borssele,Norfolk,5,10000.0
Borssele,Norfolk,6,10000.0
Borssele,Norfolk,7,10000.0
Borssele,Netherlands,1,10000
Borssele,Netherlands,2,10000
Borssele,Netherlands,3,10000
Borssele,Netherlands,4,10000
Borssele,Netherlands,5,10000
Borssele,Netherlands,6,10000
Borssele,Netherlands,7,10000
Borssele,MorayFirth,1,0
Borssele,MorayFirth,2,10000.0
Borssele,MorayFirth,3,10000.0
Borssele,MorayFirth,4,10000.0
Borssele,MorayFirth,5,10000.0
Borssele,MorayFirth,6,10000.0
Borssele,MorayFirth,7,10000.0
Borssele,Hornsea,1,0
Borssele,Hornsea,2,10000.0
Borssele,Hornsea,3,10000.0
Borssele,Hornsea,4,10000.0
Borssele,Hornsea,5,10000.0
Borssele,Hornsea,6,10000.0
Borssele,Hornsea,7,10000.0
Borssele,FirthofForth,1,0
Borssele,FirthofForth,2,10000.0
Borssele,FirthofForth,3,10000.0
Borssele,FirthofForth,4,10000.0
Borssele,FirthofForth,5,10000.0
Borssele,FirthofForth,6,10000.0
Borssele,FirthofForth,7,10000.0
Borssele,EastAnglia,1,0
Borssele,EastAnglia,2,10000.0
Borssele,EastAnglia,3,10000.0
Borssele,EastAnglia,4,10000.0
Borssele,EastAnglia,5,10000.0
Borssele,EastAnglia,6,10000.0
Borssele,EastAnglia,7,10000.0
Borssele,DoggerBank,1,0
Borssele,DoggerBank,2,10000.0
Borssele,DoggerBank,3,10000.0
Borssele,DoggerBank,4,10000.0
Borssele,DoggerBank,5,10000.0
Borssele,DoggerBank,6,10000.0
Borssele,DoggerBank,7,10000.0
Borssele,Belgium,1,10000
Borssele,Belgium,2,10000
Borssele,Belgium,3,10000
Borssele,Belgium,4,10000
Borssele,Belgium,5,10000
Borssele,Belgium,6,10000
Borssele,Belgium,7,10000
Croatia,BosniaH,1,0
Croatia,BosniaH,2,10000.0
Croatia,BosniaH,3,10000.0
Croatia,BosniaH,4,10000.0
Croatia,BosniaH,5,10000.0
Croatia,BosniaH,6,10000.0
Croatia,BosniaH,7,10000.0
CzechR,Austria,1,0
CzechR,Austria,2,10000.0
CzechR,Austria,3,10000.0
CzechR,Austria,4,10000.0
CzechR,Austria,5,10000.0
CzechR,Austria,6,10000.0
CzechR,Austria,7,10000.0
Denmark,Germany,1,0
Denmark,Germany,2,10000.0
Denmark,Germany,3,10000.0
Denmark,Germany,4,10000.0
Denmark,Germany,5,10000.0
Denmark,Germany,6,10000.0
Denmark,Germany,7,10000.0
DoggerBank,MorayFirth,1,0
DoggerBank,MorayFirth,2,10000.0
DoggerBank,MorayFirth,3,10000.0
DoggerBank,MorayFirth,4,10000.0
DoggerBank,MorayFirth,5,10000.0
DoggerBank,MorayFirth,6,10000.0
DoggerBank,MorayFirth,7,10000.0
DoggerBank,GreatBrit.,1,10000
DoggerBank,GreatBrit.,2,10000.0
DoggerBank,GreatBrit.,3,10000.0
DoggerBank,GreatBrit.,4,10000.0
DoggerBank,GreatBrit.,5,10000.0
DoggerBank,GreatBrit.,6,10000.0
DoggerBank,GreatBrit.,7,10000.0
DoggerBank,FirthofForth,1,0
DoggerBank,FirthofForth,2,10000.0
DoggerBank,FirthofForth,3,10000.0
DoggerBank,FirthofForth,4,10000.0
DoggerBank,FirthofForth,5,10000.0
DoggerBank,FirthofForth,6,10000.0
DoggerBank,FirthofForth,7,10000.0
EastAnglia,OuterDowsing,1,0
EastAnglia,OuterDowsing,2,10000.0
EastAnglia,OuterDowsing,3,10000.0
EastAnglia,OuterDowsing,4,10000.0
EastAnglia,OuterDowsing,5,10000.0
EastAnglia,OuterDowsing,6,10000.0
EastAnglia,OuterDowsing,7,10000.0
EastAnglia,Norfolk,1,0
EastAnglia,Norfolk,2,10000.0
EastAnglia,Norfolk,3,10000.0
EastAnglia,Norfolk,4,10000.0
EastAnglia,Norfolk,5,10000.0
EastAnglia,Norfolk,6,10000.0
EastAnglia,Norfolk,7,10000.0
EastAnglia,MorayFirth,1,0
EastAnglia,MorayFirth,2,10000.0
