InterconnectorLinks,ToNode,Period,MaxRawNotAdjustWithInitCap_in_MW
Borssele,Belgium,1,50000.0
Borssele,Belgium,2,50000.0
Borssele,Belgium,3,50000.0
Borssele,Belgium,4,50000.0
Borssele,Belgium,5,50000.0
Borssele,Belgium,6,50000.0
Borssele,Belgium,7,50000.0
Borssele,DoggerBank,1,0.0
Borssele,DoggerBank,2,0.0
Borssele,DoggerBank,3,0.0
Borssele,DoggerBank,4,0.0
Borssele,DoggerBank,5,0.0
Borssele,DoggerBank,6,0.0
Borssele,DoggerBank,7,0.0
Borssele,EastAnglia,1,0.0
Borssele,EastAnglia,2,0.0
Borssele,EastAnglia,3,0.0
Borssele,EastAnglia,4,0.0
Borssele,EastAnglia,5,0.0
Borssele,EastAnglia,6,0.0
Borssele,EastAnglia,7,0.0
Borssele,FirthofForth,1,0.0
Borssele,FirthofForth,2,0.0
Borssele,FirthofForth,3,0.0
Borssele,FirthofForth,4,0.0
Borssele,FirthofForth,5,0.0
Borssele,FirthofForth,6,0.0
Borssele,FirthofForth,7,0.0
Borssele,Hornsea,1,0.0
Borssele,Hornsea,2,0.0
Borssele,Hornsea,3,0.0
Borssele,Hornsea,4,0.0
Borssele,Hornsea,5,0.0
Borssele,Hornsea,6,0.0
Borssele,Hornsea,7,0.0
Borssele,MorayFirth,1,0.0
Borssele,MorayFirth,2,0.0
Borssele,MorayFirth,3,0.0
Borssele,MorayFirth,4,0.0
Borssele,MorayFirth,5,0.0
Borssele,MorayFirth,6,0.0
Borssele,MorayFirth,7,0.0
Borssele,Netherlands,1,50000.0
Borssele,Netherlands,2,50000.0
Borssele,Netherlands,3,50000.0
Borssele,Netherlands,4,50000.0
Borssele,Netherlands,5,50000.0
Borssele,Netherlands,6,50000.0
Borssele,Netherlands,7,50000.0
Borssele,Norfolk,1,0.0
Borssele,Norfolk,2,0.0
Borssele,Norfolk,3,0.0
Borssele,Norfolk,4,0.0
Borssele,Norfolk,5,0.0
Borssele,Norfolk,6,0.0
Borssele,Norfolk,7,0.0
Borssele,OuterDowsing,1,0.0
Borssele,OuterDowsing,2,0.0
Borssele,OuterDowsing,3,0.0
Borssele,OuterDowsing,4,0.0
Borssele,OuterDowsing,5,0.0
Borssele,OuterDowsing,6,0.0
Borssele,OuterDowsing,7,0.0
Croatia,BosniaH,1,615.0
Croatia,BosniaH,2,1175.0
Croatia,BosniaH,3,2076.8856000000005
Croatia,BosniaH,4,3529.3813776560014
Croatia,BosniaH,5,4305.0
Croatia,BosniaH,6,4305.0
Croatia,BosniaH,7,4305.0
CzechR,Austria,1,3000.0
CzechR,Austria,2,4831.530000000002
CzechR,Austria,3,7781.227380300005
CzechR,Austria,4,12531.744508246966
CzechR,Austria,5,18400.0
CzechR,Austria,6,21000.0
CzechR,Austria,7,21000.0
Denmark,Germany,1,3215.0
Denmark,Germany,2,7015.0
Denmark,Germany,3,10515.0
Denmark,Germany,4,14715.0
Denmark,Germany,5,19615.0
Denmark,Germany,6,25215.0
Denmark,Germany,7,29505.0
DoggerBank,FirthofForth,1,0.0
DoggerBank,FirthofForth,2,0.0
DoggerBank,FirthofForth,3,0.0
DoggerBank,FirthofForth,4,0.0
DoggerBank,FirthofForth,5,0.0
DoggerBank,FirthofForth,6,0.0
DoggerBank,FirthofForth,7,0.0
