Type,Period,TypeCapitalCost_in_euro_per_MWkm
HVAC_OverheadLine,1,638.753125
HVAC_OverheadLine,2,604.46875
HVAC_OverheadLine,3,604.46875
HVAC_OverheadLine,4,604.46875
HVAC_OverheadLine,5,604.46875
HVAC_OverheadLine,6,604.46875
HVAC_OverheadLine,7,604.46875
HVDC_Cable,1,2525.538461538461
HVDC_Cable,2,2160.0
HVDC_Cable,3,2160.0
HVDC_Cable,4,2038.153846153846
HVDC_Cable,5,1672.615384615385
HVDC_Cable,6,1550.769230769231
HVDC_Cable,7,1550.769230769231
HVDC_OffshoreToOnshore,1,1185.6
HVDC_OffshoreToOnshore,2,1014.0
HVDC_OffshoreToOnshore,3,1014.0
HVDC_OffshoreToOnshore,4,956.8000000000001
HVDC_OffshoreToOnshore,5,785.2
HVDC_OffshoreToOnshore,6,728.0000000000001
HVDC_OffshoreToOnshore,7,728.0000000000001
