Type,Period,TypeFixedOMCost_in_euro_per_MW_per_km
HVAC_OverheadLine,1,31.93765625
HVAC_OverheadLine,2,30.2234375
HVAC_OverheadLine,3,30.2234375
HVAC_OverheadLine,4,30.2234375
HVAC_OverheadLine,5,30.2234375
HVAC_OverheadLine,6,30.2234375
HVAC_OverheadLine,7,30.2234375
HVDC_Cable,1,126.2769230769231
HVDC_Cable,2,108.0
HVDC_Cable,3,108.0
HVDC_Cable,4,101.9076923076923
HVDC_Cable,5,83.63076923076923
HVDC_Cable,6,77.53846153846155
HVDC_Cable,7,77.53846153846155
HVDC_OffshoreToOnshore,1,59.28
HVDC_OffshoreToOnshore,2,50.7
HVDC_OffshoreToOnshore,3,50.7
HVDC_OffshoreToOnshore,4,47.84
HVDC_OffshoreToOnshore,5,39.26000000000001
HVDC_OffshoreToOnshore,6,36.40000000000001
HVDC_OffshoreToOnshore,7,36.40000000000001
