Node,Period,Electricity_demand_[MWh/yr]
Austria,1,2120311.847543082
BosniaH,1,324432.91231316456
Belgium,1,1912241.3342460976
Bulgaria,1,701736.1271164959
Switzerland,1,2055615.4263210176
CzechR,1,1582948.9598957151
Germany,1,22634186.53863876
Denmark,1,994714.2918683188
Estonia,1,278197.1525938223
Spain,1,6203063.817744538
Finland,1,1962530.9557525609
France,1,12661605.928447213
GreatBrit.,1,8160484.9071943285
Greece,1,1016302.4279193981
Croatia,1,369351.4773949181
Hungary,1,1285071.140930264
Ireland,1,548486.4788683949
Italy,1,9330098.1236927
Lithuania,1,971042.0338010215
Luxemb.,1,101222.87236395045
Latvia,1,378180.04491104867
Macedonia,1,159084.12697969936
Netherlands,1,2046212.7833919714
NO1,1,661798.2086384738
NO2,1,486570.4718725996
NO3,1,302458.72075898095
NO4,1,231445.86763949544
NO5,1,205614.09593446268
Poland,1,4841962.594702128
Portugal,1,1436894.045090192
Romania,1,1837950.166648609
Serbia,1,496846.23597869254
Sweden,1,3280048.1969899936
Slovenia,1,434006.3520820559
Slovakia,1,769281.0819677309
Austria,2,4488423.903976286
BosniaH,2,849834.345563977
Belgium,2,4645290.4820844075
Bulgaria,2,2033079.8428497296
Switzerland,2,4458357.73649386
CzechR,2,3580083.394752372
Germany,2,48894710.84080057
Denmark,2,2661179.0950140683
Estonia,2,674149.0805949068
Spain,2,16393366.49247561
Finland,2,4306463.920220092
France,2,29263918.350546695
GreatBrit.,2,21255120.495744016
Greece,2,2719344.2620893666
Croatia,2,952481.5737049343
Hungary,2,3188351.125950381
Ireland,2,1469339.244981913
Italy,2,21749179.170950722
Lithuania,2,2229411.3367128973
Luxemb.,2,301021.1312044846
Latvia,2,907175.8499953354
Macedonia,2,448256.5681874006
Netherlands,2,5578165.425874839
NO1,2,1335345.6766409047
NO2,2,987576.7373031081
NO3,2,616499.3046849181
NO4,2,470696.62589664455
NO5,2,417807.2206306067
Poland,2,13094827.899795456
Portugal,2,3809404.6047098674
Romania,2,5270394.526543845
Serbia,2,1331145.1254647295
Sweden,2,6945329.859883333
Slovenia,2,1052366.7521203482
Slovakia,2,1881647.3775217847
Austria,3,6917606.209144844
BosniaH,3,1593638.4594878927
Belgium,3,7696418.131435208
Bulgaria,3,3613627.1527400026
Switzerland,3,7341439.003184162
CzechR,3,5662648.481184675
Germany,3,76766455.09935199
Denmark,3,4542758.509373487
Estonia,3,1155968.4139943742
Spain,3,29280645.268514402
Finland,3,6409426.203590285
France,3,45635919.165655546
GreatBrit.,3,35868746.914130814
Greece,3,4884105.261043755
Croatia,3,1722009.152744965
Hungary,3,5561875.348614905
Ireland,3,2482291.6875131815
Italy,3,33915815.878798075
Lithuania,3,3886691.19675488
Luxemb.,3,595516.3245095254
Latvia,3,1561895.9620637544
Macedonia,3,863966.4392079212
Netherlands,3,9757866.917613218
NO1,3,2305805.551033837
NO2,3,1707158.2364095752
NO3,3,1066534.1959581221
NO4,3,813961.5362133305
NO5,3,722388.4308547055
Poland,3,24165390.761154477
Portugal,3,6376710.456548726
Romania,3,9262373.107141621
Serbia,3,2559449.2427749345
Sweden,3,10289709.414361935
Slovenia,3,1876851.035684667
Slovakia,3,3383599.678967549
Austria,4,9786485.358578267
BosniaH,4,2520359.7273550727
Belgium,4,11451861.626177227
Bulgaria,4,5465247.064576263
Switzerland,4,10951690.90629022
CzechR,4,8240588.440532118
Germany,4,111004319.30689697
Denmark,4,7191543.83793848
Estonia,4,1723690.4822213254
Spain,4,46206559.87491501
Finland,4,8847404.60435152
France,4,65539605.341933966
GreatBrit.,4,56034009.234386235
Greece,4,7708861.514300713
Croatia,4,2644066.879982365
Hungary,4,8358852.209734776
Ireland,4,3874391.8453820073
Italy,4,48960667.72598711
Lithuania,4,5962689.392429135
Luxemb.,4,1096532.5378040704
Latvia,4,2338820.6776732244
Macedonia,4,1425210.9816236182
Netherlands,4,15804416.479728479
NO1,4,3588718.460946137
NO2,4,2661481.236330875
NO3,4,1664745.3630276816
NO4,4,1269697.5506582896
NO5,4,1126580.7216032217
Poland,4,37779403.424625896
Portugal,4,9627111.897724543
Romania,4,14066059.537986007
Serbia,4,4103731.714984489
Sweden,4,14533741.352207376
Slovenia,4,2842484.290502185
Slovakia,4,5163403.4602186335
Austria,5,12352278.158787943
BosniaH,5,3262452.349817534
Belgium,5,14814056.991611267
Bulgaria,5,6969884.2692093905
Switzerland,5,14248384.124059679
CzechR,5,10509034.645020623
Germany,5,142451751.9941711
Denmark,5,9864487.66611115
Estonia,5,2227988.9520666827
Spain,5,61906621.89322807
Finland,5,10944789.939438108
France,5,82967460.71743116
GreatBrit.,5,75563853.95828483
Greece,5,10351524.4148491
Croatia,5,3419897.511736663
Hungary,5,10695341.493325256
Ireland,5,5165897.0620272895
Italy,5,62237999.06465777
Lithuania,5,7799188.061957645
Luxemb.,5,1635419.8091256525
