GeneratorTechnology,Period,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14
Nuclear,3,,,,,,,,,,Balmorel,,,
Nuclear,5,,,,,,,,,,MMoney/MW,kMoney/MW,,
Nuclear,6,,,M€/MW,k€/MW/y,€/MWh,,,,,GDINVCOST,GDOMFCOST,,
Nuclear,7,0.0,2020.0,0.56,11300,,Originalvalues,,,2020,0.4116,6.86,,
Solar,1,1.0,2025.0,0.47000000000000003,10400,,710,,,2030,0.294,5.684,,
Solar,2,2.0,2030.0,0.38,9500,,663,,,2040,0.2548,5.194,,
Solar,3,3.0,2035.0,0.35,8800,,663,,,2050,0.2352,4.9,,
Solar,4,4.0,2040.0,0.32,8100,,519,,,,,,,
Solar,5,5.0,2045.0,0.305,7750,,519,,,,,,,
Solar,6,6.0,2050.0,0.29,7400,,454,,,,,,,
Solar,7,7.0,2055.0,0.29,7400,,454,,,,,,,
Wave,5,,,,,0.75,,,0.25,,,,,
Wave,6,,,,,DC,,,AC,,,,,
Wave,7,,,,,M€/MW,k€/MW/y,€/MWh,M€/MW,k€/MW/y,€/MWh,,Cablesdeduction,
Windoffshorefloating,1,,,,,10,100000,10,,,,,0,
Windoffshorefloating,2,,,,,4.352484650539107,62000,6.218422180994475,,,,,0.4854368932038835,
Windoffshorefloating,3,,,,,3.6518179456730175,42000,4.210766475057689,,,,,0.4658385093167702,
Windoffshorefloating,4,,,,,3.222275257087187,33000,3.2403149161557665,,,,,0.4447325574383405,
Windoffshorefloating,5,,,,,3.0729680932294485,30500,3.0134928720248633,,,,,0.424380389555569,
Windoffshorefloating,6,,,,,2.9236609293717097,28000,2.78667082789396,,,,,0.40402822167279745,
Windoffshorefloating,7,,,,,2.9236609293717097,28000,2.78667082789396,,,,,0.40402822167279745,
Windoffshoregrounded,1,,,1,2025,3.618711385701677,44000,4.41306266548985,2.780229479258605,44000,4.41306266548985,,0.5736981465136805,0.26478375992939096
Windoffshoregrounded,2,,,2,2030,3.221952754471067,34000,3.446698733048947,2.3931344873524045,34000,3.446698733048947,,0.5736981465136805,0.26478375992939096
Windoffshoregrounded,3,,,3,2035,3.0318161006067985,32000,3.161629269431539,2.248224304630978,32000,3.161629269431539,,0.5505364201016374,0.25362878999888455
Windoffshoregrounded,4,,,4,2040,2.897776997470182,30000,2.9932755899777126,2.1405660919676865,30000,2.9932755899777126,,0.5255930224271297,0.242473820068378
Windoffshoregrounded,5,,,5,2045,2.79070288911339,29000,2.8882533462372004,2.0631295419834683,29000,2.8882533462372004,,0.5015404603838542,0.2313188501378715
Windoffshoregrounded,6,,,6,2050,2.683628780756598,28000,2.783231102496688,1.9856929919992503,28000,2.783231102496688,,0.4774878983405788,0.22016388020736502
Windoffshoregrounded,7,,,7,2055,2.683628780756598,28000,2.783231102496688,1.9856929919992503,28000,2.783231102496688,,0.4774878983405788,0.22016388020736502
Windonshore,1,,,1,2025,1.18463198962,17386.63391824554,2.0610030561405495,,,,,,
Windonshore,2,,,2,2030,1.14664489966,16662.66796409161,1.9751844870564466,,,,,,
Windonshore,3,,,3,2035,1.12816766903,16314.016405193313,1.933855502285939,,,,,,
Windonshore,4,,,4,2040,1.1096904384,15965.364846295015,1.8925265175154316,,,,,,
Windonshore,5,,,5,2045,1.099989306535,15783.717064306518,1.8709940785407677,,,,,,
Windonshore,6,,,6,2050,1.09028817467,15602.06928231802,1.8494616395661037,,,,,,
Windonshore,7,,,7,2055,1.09028817467,15602.06928231802,1.8494616395661037,,,,,,
