GeneratorTechnology,Period,col2,col3
Solar,1,11.88,
Solar,2,10.8,
Solar,3,10.8,
Solar,4,10.64,
Solar,5,10.16,
Solar,6,10.0,
Solar,7,10.0,
Windoffshorefloating,1,46.876,1.2967021276595745
Windoffshorefloating,2,38.44,1.29
Windoffshorefloating,3,38.10933333333333,1.2793333333333334
Windoffshorefloating,4,37.27111111111111,1.2680101670297748
Windoffshorefloating,5,35.41777777777778,1.2546863189720334
Windoffshorefloating,6,34.61684210526315,1.2436842105263157
Windoffshorefloating,7,34.34210526315789,1.2342105263157894
Windoffshoregrounded,1,37.6,
Windoffshoregrounded,2,31.0,
Windoffshoregrounded,3,31.0,
Windoffshoregrounded,4,30.6,
Windoffshoregrounded,5,29.4,
Windoffshoregrounded,6,29.0,
Windoffshoregrounded,7,29.0,
Windonshore,1,14.0,
Windonshore,2,14.0,
Windonshore,3,14.0,
Windonshore,4,13.8,
Windonshore,5,13.2,
Windonshore,6,13.0,
Windonshore,7,13.0,
