Node,GeneratorTechnology,Period,col3,col4,col5,col6,Scaling_factor,col8,col9,col10,col11,col12,col13,col14
Belgium,Nuclear,1,1.0,,,ENTSO-ETransparencyPlatform,1.0,2.0,3.0,4.0,5.0,6.0,7.0,
Belgium,Nuclear,2,1.0,GW,Technology,Startyear,2025.0,2030.0,2035.0,2040.0,2045.0,2050.0,2055.0,SOURCE
Belgium,Nuclear,3,0.8861310133060389,Belgium,Nuclear,3908,1.0,1.0,0.8861310133060389,0.526100307062436,0.526100307062436,0.0,0.0,"WorldNuclearAssociation,CountryProfiles,accessed2024"
Belgium,Nuclear,4,0.526100307062436,Bulgaria,Nuclear,2006,1.0,1.0,1.0,1.0,1.0,0.5,0.0,"WorldNuclearAssociation,CountryProfiles,accessed2024"
Belgium,Nuclear,5,0.526100307062436,CzechR,Nuclear,4212,1.0,1.0,1.0,1.0,1.0,0.5156695156695157,0.5156695156695157,"WorldNuclearAssociation,CountryProfiles,accessed2024"
Belgium,Nuclear,6,0.0,Finland,Nuclear,4369,1.0,1.0,1.0,0.6802471961547265,0.36049439230945296,0.36049439230945296,0.36049439230945296,"WorldNuclearAssociation,CountryProfiles,accessed2024"
Belgium,Nuclear,7,0.0,France,Nuclear,63000,1.0,1.0,1.0,0.9431746031746032,0.5404761904761904,0.24603174603174602,0.12095238095238095,"WorldNuclearAssociation,CountryProfiles,accessed2024"
Bulgaria,Nuclear,1,1.0,GreatBrit.,Nuclear,5883,1.0,1.0,1.0,1.0,0.6183919768825429,0.20363759986401495,0.20363759986401495,"WorldNuclearAssociation,CountryProfiles,accessed2024"
Bulgaria,Nuclear,2,1.0,Hungary,Nuclear,1916,1.0,1.0,1.0,1.0,0.5,0.0,0.0,"WorldNuclearAssociation,CountryProfiles,accessed2024"
Bulgaria,Nuclear,3,1.0,Netherlands,Nuclear,482,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"WorldNuclearAssociation,CountryProfiles,accessed2024"
Bulgaria,Nuclear,4,1.0,Romania,Nuclear,1300,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"WorldNuclearAssociation,CountryProfiles,accessed2024"
Bulgaria,Nuclear,5,1.0,Slovakia,Nuclear,2308,1.0,1.0,1.0,1.0,0.7980935875216638,0.5961871750433275,0.5961871750433275,"WorldNuclearAssociation,CountryProfiles,accessed2024"
Bulgaria,Nuclear,6,0.5,Slovenia,Nuclear,688,1.0,1.0,1.0,1.0,0.0,0.0,0.0,"WorldNuclearAssociation,CountryProfiles,accessed2024"
Bulgaria,Nuclear,7,0.0,Spain,Nuclear,7123,1.0,1.0,1.0,1.0,0.4277691983714727,0.0,0.0,"WorldNuclearAssociation,CountryProfiles,accessed2024"
CzechR,Nuclear,1,1.0,Sweden,Nuclear,7008,1.0,1.0,1.0,1.0,0.3670091324200913,0.0,0.0,"WorldNuclearAssociation,CountryProfiles,accessed2024"
CzechR,Nuclear,2,1.0,Switzerland,Nuclear,2973,1.0,0.8772283888328288,0.7544567776656576,0.4147325933400605,0.0,0.0,0.0,"WorldNuclearAssociation,CountryProfiles,accessed2024"
CzechR,Nuclear,3,1.0,Bulgaria,Coalexisting,356,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
CzechR,Nuclear,4,1.0,CzechR,Coalexisting,1200,1.0,0.5,0.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
CzechR,Nuclear,5,1.0,Germany,Coalexisting,12966,1.0,0.666,0.333,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
CzechR,Nuclear,6,0.5156695156695157,Denmark,Coalexisting,3022,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
CzechR,Nuclear,7,0.5156695156695157,Spain,Coalexisting,3223,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
Finland,Nuclear,1,1.0,Finland,Coalexisting,1410,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
Finland,Nuclear,2,1.0,France,Coalexisting,1812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
Finland,Nuclear,3,1.0,Hungary,Coalexisting,42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
Finland,Nuclear,4,0.6802471961547265,Ireland,Coalexisting,855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
Finland,Nuclear,5,0.36049439230945296,Italy,Coalexisting,5583,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
Finland,Nuclear,6,0.36049439230945296,Netherlands,Coalexisting,4006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
Finland,Nuclear,7,0.36049439230945296,Poland,Coalexisting,18687,1.0,0.613,0.446,0.44,0.328,0.209,0.18,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
France,Nuclear,1,1.0,Romania,Coalexisting,176,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
France,Nuclear,2,1.0,Croatia,Coalexisting,217,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
France,Nuclear,3,1.0,Bulgaria,Liginiteexisting,4119,1.0,0.666,0.333,0.0,0.0,0.0,0.0,"BeyondFossilFuels,CoalPowerPlantDatabase,accessed2024"
