Node,Period,MaxBiomethaneAvailability_[TJ]
Austria,1,12528.888748288598
BosniaH,1,3023.6268130320286
Belgium,1,36182.95979787013
Bulgaria,1,5726.719275068509
Switzerland,1,12084.450523887132
CzechR,1,30572.90671786737
Germany,1,210231.42290671438
Denmark,1,12271.162517370618
Estonia,1,1577.1148369343218
Spain,1,46433.14563616989
Finland,1,7077.395633397936
France,1,60806.420868270725
GreatBrit.,1,108942.36265151393
Greece,1,8206.406221102434
Croatia,1,3436.3497455731026
Hungary,1,18207.880943557484
Ireland,1,3568.9249672387346
Italy,1,85992.00087853357
Lithuania,1,6657.927632047889
Luxemb.,1,4281.11905802649
Latvia,1,3556.1977459588293
Macedonia,1,1589.4103795256997
Netherlands,1,24674.90025640685
NO1,1,545.981586341184
NO2,1,545.981586341184
NO3,1,545.981586341184
NO4,1,545.981586341184
NO5,1,545.981586341184
Poland,1,33828.423861088544
Portugal,1,5423.387167897552
Romania,1,6155.732692378478
Serbia,1,6029.700748972993
Sweden,1,11782.75540075444
Slovenia,1,3558.3189495054817
Slovakia,1,9210.265799554572
Austria,2,17057.81230795168
BosniaH,2,3828.016619324947
Belgium,2,54678.39710966245
Bulgaria,2,8457.631379300765
Switzerland,2,16452.71923332802
CzechR,2,40835.81765669613
Germany,2,230783.55498898283
Denmark,2,14134.62089984926
Estonia,2,2332.16616615391
Spain,2,70254.2494922272
Finland,2,8717.738024543569
France,2,83758.96800030519
GreatBrit.,2,136137.13374545387
Greece,2,11397.02159982934
Croatia,2,4350.53819445262
Hungary,2,27878.15618540996
Ireland,2,5017.003619985787
Italy,2,109602.09052177814
Lithuania,2,10115.001302102344
Luxemb.,2,6598.933359202708
Latvia,2,4566.213811326548
Macedonia,2,2207.3662865806655
Netherlands,2,34531.239860437236
NO1,2,2186.1
NO2,2,2186.1
NO3,2,2186.1
NO4,2,2186.1
NO5,2,2186.1
Poland,2,49978.4273900171
Portugal,2,7565.771049437977
Romania,2,9586.457193797567
Serbia,2,7633.810686272739
Sweden,2,16330.2542184113
