Node,Period,Node.1,Period.1,MaxBiomethaneAvailability_[TJ].1,Available_Biomethane_[TJ],col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
Austria,1,Austria,1,3639.87724227456,12528.888748288598,,,,,,,,,,,,,,,,,,
BosniaH,1,BosniaH,1,1213.29241409152,3023.6268130320286,,,,,,,,,,,,,,,,,,
Belgium,1,Belgium,1,3639.8772422745596,36182.95979787013,,,,,,,,,,,,,,,,,,
Bulgaria,1,Bulgaria,1,4246.523449320319,5726.719275068509,,,,,,,,,,,,,,,,,,
Switzerland,1,Switzerland,1,3639.87724227456,12084.450523887132,,,,,,https://www.europeanbiogas.eu/wp-content/uploads/2022/07/GfC_Biomethane-potentials_2022.pdf,,,,,,,,,,,,
CzechR,1,CzechR,1,4246.523449320319,30572.90671786737,,,,,,https://www.sciencedirect.com/science/article/pii/S0959652623000252#sec2,,,,,,,,,,,,
Germany,1,Germany,1,49744.98897775231,210231.42290671438,,,,,,,,,,,,,,,,,,
Denmark,1,Denmark,1,4853.16965636608,12271.162517370618,,,,,,,,,,,,,,,,,,
Estonia,1,Estonia,1,606.64620704576,1577.1148369343218,,,,,,,,,,,,,,,,,,
Spain,1,Spain,1,24872.494488876157,46433.14563616989,,,used,93.2878904017273,,TWh,,,,,,,,,,,,
Finland,1,Finland,1,4246.523449320319,7077.395633397936,,,total,173.5,,TWh,,,,,,,,,,,,
France,1,France,1,42465.23449320319,60806.420868270725,,,available,80.2121095982727,,TWh,,,,,,,,,,,,
GreatBrit.,1,GreatBrit.,1,27602.402420582075,108942.36265151393,,,,,,,,,,,,,,,2030,41.05000000000002,bcm,41
Greece,1,Greece,1,3033.2310352288,8206.406221102434,,,bcm,8.321717422299185,33.32,54.62625,75.9325,97.23875,118.545,118.545,,,,,2050,152.74999999999997,bcm,151
Croatia,1,Croatia,1,1213.29241409152,3436.3497455731026,,,powershare,,0.7,0.7,0.7,0.7,0.7,0.7,GJ/bcm,34700000,,449.65416666666664,,,,
Hungary,1,Hungary,1,6066.4620704576,18207.880943557484,,,,1.0,2.0,3,4.0,5.0,6.0,7.0,,,,,,,,
Ireland,1,Ireland,1,4246.523449320319,3568.9249672387346,,,GJ,2025.0,2030.0,2035,2040.0,2045.0,2050.0,2055.0,Country,AnaerobicDigestion(bcm/year),ThermalGasification(bcm/year),GJ,Country,AnaerobicDigestion(bcm/year),ThermalGasification(bcm/year),GJ
Italy,1,Italy,1,35185.48000865408,85992.00087853357,1.0,Austria,Austria,3639877.24227456,14574000.000000002,35220500,55867000.0,76513500.0,97160000.0,97160000.0,Germany,7.8,0.4,284540000,France,16.5,6,780750000
Lithuania,1,Lithuania,1,2123.2617246601594,6657.927632047889,1.0,Croatia,BosniaH,1213292.41409152,4858000.0,7894250,10930500.0,13966750.0,17003000.0,17003000.0,France,6.7,0.3,242900000,Germany,15,7,763400000
Luxemb.,1,Luxemb.,1,303.32310352288,4281.11905802649,1.0,Belgium,Belgium,3639877.2422745596,14574000.0,20039250,25504500.0,30969750.0,36435000.0,36435000.0,Italy,5.5,0.3,201260000,Spain,13.5,6.5,694000000
Latvia,1,Latvia,1,909.9693105686399,3556.1977459588293,1.0,Bulgaria,Bulgaria,4246523.449320319,17003000.0,34006000,51009000.0,68012000.0,85015000.0,85015000.0,Spain,3.8,0.3,142270000,Italy,8.5,5,468450000
Macedonia,1,Macedonia,1,3639.87724227456,1589.4103795256997,1.0,Switzerland,Switzerland,3639877.24227456,14574000.000000002,17003000,19432000.0,21861000.0,24290000.0,24290000.0,Poland,3.1,0.2,114510000.00000001,Poland,9,3.5,433750000
Netherlands,1,Netherlands,1,8189.723795117759,24674.90025640685,1.0,Czechia,CzechR,4246523.449320319,17003000.0,34006000,51009000.0,68012000.0,85015000.0,85015000.0,Romania,1.8,0.2,69400000,Sweden,1,9.5,364350000
NO1,1,NO1,1,545.981586341184,0.0,1.0,Germany,Germany,49744988.97775231,199178000.0,282978500,366779000.0,450579500.0,534379999.99999994,534379999.99999994,Netherlands,1.3,0.05,46845000,Romania,6,2.5,294950000
NO2,1,NO2,1,545.981586341184,0.0,1.0,Denmark,Denmark,4853169.65636608,19432000.0,29755250,40078500.0,50401750.0,60724999.99999999,60724999.99999999,Sweden,0.7,0.45,39905000,Finland,1,5,208200000
NO3,1,NO3,1,545.981586341184,0.0,1.0,Estonia,Estonia,606646.20704576,2429000.0,4858000,7287000.0,9716000.0,12145000.0,12145000.0,Hungary,1,0,34700000,Hungary,3,1,138800000
NO4,1,NO4,1,545.981586341184,0.0,1.0,Spain,Spain,24872494.488876157,99589000.0,196141750,292694500.0,389247250.0,485799999.99999994,485799999.99999994,Denmark,0.8,0,27760000,Austria,1,3,138800000
NO5,1,NO5,1,545.981586341184,0.0,1.0,Finland,Finland,4246523.449320319,17003000.0,49187250,81371500.0,113555750.0,145740000.0,145740000.0,Finland,0.5,0.2,24290000,Portugal,1.5,2,121450000
Poland,1,Poland,1,20019.32483251008,33828.423861088544,1.0,France,France,42465234.49320319,170030000.0,264153750,358277500.0,452401250.0,546525000.0,546525000.0,Czechia,0.6,0.1,24290000,Czechia,2,1.5,121450000
Portugal,1,Portugal,1,3639.8772422745596,5423.387167897552,1.0,UnitedKingdom,GreatBrit.,27602402.420582075,110519500.0,155759625,200999750.0,246239875.0,291480000.0,291480000.0,Ireland,0.7,0,24290000,Bulgaria,2,1.5,121450000
Romania,1,Romania,1,12132.9241409152,6155.732692378478,1.0,Greece,Greece,3033231.0352288,12145000.0,27326250,42507500.0,57688750.0,72870000.0,72870000.0,Bulgaria,0.6,0.1,24290000,Netherlands,2.5,1,121450000
Serbia,1,Serbia,1,1213.29241409152,6029.700748972993,1.0,Croatia,Croatia,1213292.41409152,4858000.0,7894250,10930500.0,13966750.0,17003000.0,17003000.0,Portugal,0.5,0.1,20820000,Greece,2,1,104100000
Sweden,1,Sweden,1,6976.431381026239,11782.75540075444,1.0,Hungary,Hungary,6066462.0704576,24290000.0,42507500,60725000.0,78942500.0,97160000.0,97160000.0,Belgium,0.6,0,20820000,Denmark,2,0.5,86750000
Slovenia,1,Slovenia,1,606.64620704576,3558.3189495054817,1.0,Ireland,Ireland,4246523.449320319,17003000.0,26719000,36435000.0,46151000.0,55867000.0,55867000.0,Austria,0.4,0.2,20820000.000000004,Ireland,1.3,1,79810000
Slovakia,1,Slovakia,1,1516.6155176144,9210.265799554572,1.0,Italy,Italy,35185480.00865408,140882000.0,187640250,234398500.0,281156750.0,327915000.0,327915000.0,Greece,0.5,0,17350000,Belgium,1,0.5,52050000
Austria,2,Austria,2,14574.000000000002,17057.81230795168,1.0,Lithuania,Lithuania,2123261.7246601596,8501500.0,12448625,16395750.0,20342875.0,24290000.0,24290000.0,Lithuania,0.35,0,12145000,Latvia,0,1.5,52050000
BosniaH,2,BosniaH,2,4858.0,3828.016619324947,1.0,Luxembourg,Luxemb.,303323.10352288,1214500.0,2125375,3036250.0,3947125.0,4858000.0,4858000.0,Slovakia,0.25,0,8675000,Slovakia,1,0.25,43375000
Belgium,2,Belgium,2,14574.0,54678.39710966245,1.0,Latvia,Latvia,909969.3105686399,3643500.0,11841375,20039250.0,28237125.0,36435000.0,36435000.0,Croatia,0.2,0,6940000,Lithuania,0.5,0.5,34700000
Bulgaria,2,Bulgaria,2,17003.0,8457.631379300765,1.0,Switzerland,Macedonia,3639877.24227456,14574000.000000002,17003000,19432000.0,21861000.0,24290000.0,24290000.0,Latvia,0.15,0,5205000,Croatia,0.5,0.2,24290000
Switzerland,2,Switzerland,2,14574.000000000002,16452.71923332802,1.0,Netherlands,Netherlands,8189723.795117759,32791499.999999996,45847375,58903250.0,71959125.0,85015000.0,85015000.0,Estonia,0.1,0,3470000,Slovenia,0.5,0,17350000
CzechR,2,CzechR,2,17003.0,40835.81765669613,0.2,Norway,NO1,545981.586341184,2186100.0,3461325,4736550.0,6011775.0,7287000.0,7287000.0,Slovenia,0.1,0,3470000,Estonia,0.5,0,17350000
Germany,2,Germany,2,199178.0,230783.55498898283,0.2,Norway,NO2,545981.586341184,2186100.0,3461325,4736550.0,6011775.0,7287000.0,7287000.0,Cyprus,0.05,0,1735000,Cyprus,0.2,0.1,10410000.000000002
Denmark,2,Denmark,2,19432.0,14134.62089984926,0.2,Norway,NO3,545981.586341184,2186100.0,3461325,4736550.0,6011775.0,7287000.0,7287000.0,Luxembourg,0.05,0,1735000,Luxembourg,0.2,0,6940000
Estonia,2,Estonia,2,2429.0,2332.16616615391,0.2,Norway,NO4,545981.586341184,2186100.0,3461325,4736550.0,6011775.0,7287000.0,7287000.0,Malta,0,0,0,Malta,0,0,0
Spain,2,Spain,2,99589.0,70254.2494922272,0.2,Norway,NO5,545981.586341184,2186100.0,3461325,4736550.0,6011775.0,7287000.0,7287000.0,UnitedKingdom,4.1,0.45,157885000,UnitedKingdom,6,6,416400000
Finland,2,Finland,2,17003.0,8717.738024543569,1.0,Poland,Poland,20019324.83251008,80157000.0,136024000,191891000.0,247758000.0,303625000.0,303625000.0,Switzerland,0.55,0.05,20820000.000000004,Norway,0.5,1,52050000
France,2,France,2,170030.0,83758.96800030519,1.0,Portugal,Portugal,3639877.2422745596,14574000.0,32184250,49794500.0,67404750.0,85015000.0,85015000.0,Norway,0.4,0.05,15615000,Switzerland,0.5,0.5,34700000
GreatBrit.,2,GreatBrit.,2,110519.5,136137.13374545387,1.0,Romania,Romania,12132924.1409152,48580000.0,88051250,127522500.0,166993750.0,206465000.0,206465000.0,,,,,,,,
Greece,2,Greece,2,12145.0,11397.02159982934,1.0,Croatia,Serbia,1213292.41409152,4858000.0,7894250,10930500.0,13966750.0,17003000.0,17003000.0,,,,,,,,
Croatia,2,Croatia,2,4858.0,4350.53819445262,1.0,Sweden,Sweden,6976431.381026239,27933500.0,84711375,141489250.0,198267125.0,255044999.99999997,255044999.99999997,,,,,,,,
Hungary,2,Hungary,2,24290.0,27878.15618540996,1.0,Slovenia,Slovenia,606646.20704576,2429000.0,4858000,7287000.0,9716000.0,12145000.0,12145000.0,,,,,,,,
Ireland,2,Ireland,2,17003.0,5017.003619985787,1.0,Slovakia,Slovakia,1516615.5176144,6072500.0,12145000,18217500.0,24290000.0,30362499.999999996,30362499.999999996,,,,,,,,
