Node,GeneratorTechnology,NREAP_(2020_number_+_20%)
Austria,Bio,"LimitsprovidedbymembersofZEPTWGMEIIforthereport""CCS-RecommendationsfortransitionalmeasurestodrivedeploymentinEurope"""
Belgium,Bio,BasedonEurelectricPowerstatistics(201?).Installedcapacity+N×maxbuildbound
BosniaH,Bio,ENTSO-EVision1&22030
Bulgaria,Bio,"ReMiXcapacities-H.C.Gilsetal.(2017)Integratedmodellingofvariablerenewableenergy-basedpowersupplyinEurope,Energy,123,doi:10.1016/j.energy.2017.01.115"
Croatia,Bio,"Gianfranco&Erica(5%ofeachcountry'sagriculturallandareacoverage,7MWperkm2.Assume50%oftotalareaagriculturalland.)"
CzechR,Bio,"WindEurope's""Ourenergy,ourfuture;HowoffshorewindwillhelpEuropegocarbon-neutral"",AppendixA:OFFSHOREWINDVISIONFOR2050"
Estonia,Bio,Capacityconstraint.Newinvestmentswillnotincreaseproductionduetoanenergyconstraintwhichisindependentofthecapacityinvestments
Finland,Bio,Ownguess
France,Bio,Statedpolicy
Germany,Bio,"Nordicenergytechnologyperspective2016,p244"
GreatBrit.,Bio,WasteToEnergy:5%increasefromexistingcapacity
Greece,Bio,"4cOffshore,gatheredFebruary2021.Areaswithoutcapacitydataarenotincluded"
Hungary,Bio,EUCommissionJRC:WindpotentialsforEUandneighbouringcountries
Ireland,Bio,"JRCENSPRESSOVRESpotentialsdatabase.P.Ruizetal.,2019,ENSPRESO-anopen,EU-28wide,transparentandcoherentdatabaseofwind,solarandbiomassenergypotentials"
