Node,GeneratorTechnology,Added_'Mixed_fuels+Other_fossil/non-renewable',col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
Austria,Bioexisting,Added'Otherrenewable',https://transparency.entsoe.eu/generation/r2/installedGenerationCapacityAggregation/show,,,,,,,,,,,,,,,,,,,,,
Austria,Gasexisting,,,,,Liginiteexisting,Nuclear,Coalexisting,Windonshore,Liginiteexisting,Geo,Hydrorun-of-the-river,Hydroregulated,Windoffshoregrounded,Solar,Solar,Oilexisting,Waste,Gasexisting,Gasexisting,GasOCGT,Wave,Bioexisting,Bioexisting
Austria,GasOCGT,,Country,Year,Unit,FossilPeat,Nuclear,FossilHardcoal,WindOnshore,FossilBrowncoal/Lignite,Geothermal,HydroRun-of-riverandpoundage,HydroWaterReservoir,WindOffshore,Otherrenewable,Solar,FossilOilshale,Waste,FossilGas,FossilCoal-derivedgas,FossilOil,Marine,Other,Biomass
Austria,Hydroregulated,,Austria,2024,[MW],0,0,0,4021,0,0,5817,2519,0,0,7294,0,80,4225,0,125,0,879,549
Austria,Hydrorun-of-the-river,,Belgium,2024,[MW],0,3929,0,3053,0,0,186,0,2262,0,8789,0,384,6995,0,452,0,27,731
Austria,Solar,,BosniaH,2024,[MW],0,0,0,135,1883,0,252,1456,0,0,30,0,0,0,0,0,0,0,0
Austria,Waste,,Bulgaria,2024,[MW],0,2080,356,705,4119,0,542,1807,0,0,4055,0,6,699,0,0,0,0,74
Austria,Windonshore,,Croatia,2024,[MW],0,0,217,1137,0,10,428,1446,0,95,190,0,6,886,0,45,0,0,114
Belgium,Bioexisting,,CzechR,2024,[MW],0,4040,1200,342,7200,0,340,766,0,460,3548,0,100,1240,380,0,0,0,410
Belgium,Gasexisting,,Denmark,2024,[MW],0,0,3022,4860,0,0,5,0,2646,136,3730,0,385,1568,0,959,0,0,1754
Belgium,GasOCGT,,Estonia,2024,[MW],0,0,0,447,0,0,8,0,0,0,812,1330,17,15,78,0,0,20,150
Belgium,Hydrorun-of-the-river,,Finland,2024,[MW],1044,4364,1410,6618,0,0,3173,0,0,392,27,0,87,1742,0,1051,0,448,1695
Belgium,Solar,,France,2024,[MW],0,61370,1812,22134,0,2,11598,8787,1483,0,17419,0,968,13133,0,3042,243,1032,1403
Belgium,Waste,,Germany,2024,[MW],0,4056,12966,59841,18363,54,3731,1381,8456,356,76601,0,1808,36255,1257,4118,0,1630,8577
Belgium,Windoffshoregrounded,,Greece,2024,[MW],0,0,0,5065,2650,0,327,2403,0,128,6700,0,0,6030,0,0,0,0,120
Belgium,Windonshore,,Hungary,2024,[MW],0,1916,42,325,787,3,33,28,0,71,3888,0,49,3161,0,425,0,35,214
BosniaH,Hydroregulated,,Ireland,2024,[MW],344,0,855,1919,0,17,216,0,0,0,0,0,0,4265,0,1272,0,647,0
BosniaH,Hydrorun-of-the-river,,Italy,2024,[MW],0,0,5583,11651,0,868,10291,4542,30,1,5927,0,670,45157,2071,1564,0,334,1543
BosniaH,Solar,,Latvia,2024,[MW],0,0,0,136,0,0,1588,0,0,0,303,0,0,1112,0,0,0,0,166
BosniaH,Windonshore,,Lithuania,2024,[MW],0,0,0,1288,0,0,129,0,0,0,1165,0,70,1503,0,0,0,37,196
Bulgaria,Bioexisting,,Luxemb.,2024,[MW],0,0,0,208,0,0,22,11,0,0,415,0,24,72,0,0,0,0,83
