GeneratorTechnology,Period,Comment,col3
Gasexisting,1,JCR2009,
Oilexisting,1,JCR2009,
Bioexisting,1,Linear(allcapby2050),0.2
Gasexisting,2,JCR2009,
Oilexisting,2,JCR2009,
Bioexisting,2,Linear(allcapby2050),
Gasexisting,3,JCR2009,
Oilexisting,3,JCR2009,
Bioexisting,3,Linear(allcapby2050),
Gasexisting,4,JCR2009,
Oilexisting,4,JCR2009,
Bioexisting,4,Linear(allcapby2050),
Gasexisting,5,Assumed,
Oilexisting,5,Assumed,
Bioexisting,5,Linear(allcapby2050),
Windonshore,5,Assumed,
Windoffshoregrounded,5,Assumed,
Windoffshorefloating,5,Assumed,
Solar,5,Assumed,
Gasexisting,6,Assumed,
Oilexisting,6,Assumed,
Bioexisting,6,Linear(allcapby2050),
Gasexisting,7,Assumed,
Oilexisting,7,Assumed,
Bioexisting,7,Linear(allcapby2050),
