ElectrToHeatConv,Period,CapitalCost_euro_per_kw
Convector,1,966.6666666666666
Convector,2,953.3333333333334
Convector,3,933.3333333333334
Convector,4,933.3333333333334
Convector,5,933.3333333333334
Convector,6,933.3333333333334
Convector,7,893.3333333333334
HeatPumpAir,1,440.0
HeatPumpAir,2,469.7142857142857
HeatPumpAir,3,514.2857142857143
HeatPumpAir,4,514.2857142857143
HeatPumpAir,5,514.2857142857143
HeatPumpAir,6,514.2857142857143
HeatPumpAir,7,502.8571428571429
HeatPumpGround,1,2750.0
HeatPumpGround,2,2650.0
HeatPumpGround,3,2500.0
HeatPumpGround,4,2500.0
HeatPumpGround,5,2500.0
HeatPumpGround,6,2500.0
HeatPumpGround,7,2400.0
