ElectrToHeatConv,Period,FixedOandM_euro_per_kW
Convector,1,8.0
Convector,2,7.866666666666667
Convector,3,7.666666666666667
Convector,4,7.666666666666667
Convector,5,7.666666666666667
Convector,6,7.666666666666667
Convector,7,7.4
HeatPumpAir,1,64.8
HeatPumpAir,2,55.56571428571429
HeatPumpAir,3,41.71428571428572
HeatPumpAir,4,41.71428571428572
HeatPumpAir,5,41.71428571428572
HeatPumpAir,6,41.71428571428572
HeatPumpAir,7,40.11428571428571
HeatPumpGround,1,69.5
HeatPumpGround,2,67.2
HeatPumpGround,3,63.75
HeatPumpGround,4,63.75
HeatPumpGround,5,63.75
HeatPumpGround,6,63.75
HeatPumpGround,7,62.15
