Node,ElectrToHeatConv,Period,ElectrToHeatConvInitCap_in_MW
Austria,Convector,1,301.1493333333333
Austria,Convector,2,266.4013333333334
Austria,Convector,3,231.6533333333333
Austria,Convector,4,196.9053333333333
Austria,Convector,5,162.1573333333333
Austria,Convector,6,127.4093333333333
Austria,Convector,7,92.6613333333333
Austria,HeatPumpAir,1,160.8888888888889
Austria,HeatPumpAir,2,117.010101010101
Austria,HeatPumpAir,3,73.13131313131312
Austria,HeatPumpAir,4,29.25252525252525
Austria,HeatPumpAir,5,0.0
Austria,HeatPumpAir,6,0.0
Austria,HeatPumpAir,7,0.0
Austria,HeatPumpGround,1,236.054794520548
Austria,HeatPumpGround,2,191.7945205479452
Austria,HeatPumpGround,3,147.5342465753425
Austria,HeatPumpGround,4,103.2739726027397
Austria,HeatPumpGround,5,59.01369863013699
Austria,HeatPumpGround,6,14.75342465753425
Austria,HeatPumpGround,7,0.0
Belgium,Convector,1,2721.333333333333
Belgium,Convector,2,2407.333333333333
Belgium,Convector,3,2093.333333333333
Belgium,Convector,4,1779.333333333333
Belgium,Convector,5,1465.333333333333
Belgium,Convector,6,1151.333333333333
Belgium,Convector,7,837.333333333333
Belgium,HeatPumpAir,1,38.0
Belgium,HeatPumpAir,2,27.63636363636364
Belgium,HeatPumpAir,3,17.27272727272727
Belgium,HeatPumpAir,4,6.909090909090907
Belgium,HeatPumpAir,5,0.0
Belgium,HeatPumpAir,6,0.0
Belgium,HeatPumpAir,7,0.0
Belgium,HeatPumpGround,1,13.36986301369863
Belgium,HeatPumpGround,2,10.86301369863014
Belgium,HeatPumpGround,3,8.356164383561644
Belgium,HeatPumpGround,4,5.849315068493151
Belgium,HeatPumpGround,5,3.342465753424658
Belgium,HeatPumpGround,6,0.8356164383561646
Belgium,HeatPumpGround,7,0.0
Bulgaria,Convector,1,2998.666666666667
Bulgaria,Convector,2,2652.666666666667
Bulgaria,Convector,3,2306.666666666667
Bulgaria,Convector,4,1960.666666666667
Bulgaria,Convector,5,1614.666666666667
Bulgaria,Convector,6,1268.666666666667
Bulgaria,Convector,7,922.6666666666663
Bulgaria,HeatPumpAir,1,223.7777777777778
Bulgaria,HeatPumpAir,2,162.7474747474748
Bulgaria,HeatPumpAir,3,101.7171717171717
Bulgaria,HeatPumpAir,4,40.68686868686868
Bulgaria,HeatPumpAir,5,0.0
Bulgaria,HeatPumpAir,6,0.0
Bulgaria,HeatPumpAir,7,0.0
Bulgaria,HeatPumpGround,1,9.863013698630137
Bulgaria,HeatPumpGround,2,8.013698630136986
Bulgaria,HeatPumpGround,3,6.164383561643835
Bulgaria,HeatPumpGround,4,4.315068493150685
Bulgaria,HeatPumpGround,5,2.465753424657534
Bulgaria,HeatPumpGround,6,0.6164383561643834
Bulgaria,HeatPumpGround,7,0.0
Croatia,Convector,1,1326.0
Croatia,Convector,2,1173.0
Croatia,Convector,3,1020.0
Croatia,Convector,4,867.0
Croatia,Convector,5,714.0
Croatia,Convector,6,560.9999999999999
Croatia,Convector,7,407.9999999999998
Croatia,HeatPumpAir,1,0.0
Croatia,HeatPumpAir,2,0.0
Croatia,HeatPumpAir,3,0.0
Croatia,HeatPumpAir,4,0.0
Croatia,HeatPumpAir,5,0.0
Croatia,HeatPumpAir,6,0.0
Croatia,HeatPumpAir,7,0.0
Croatia,HeatPumpGround,1,0.0
Croatia,HeatPumpGround,2,0.0
Croatia,HeatPumpGround,3,0.0
Croatia,HeatPumpGround,4,0.0
Croatia,HeatPumpGround,5,0.0
Croatia,HeatPumpGround,6,0.0
Croatia,HeatPumpGround,7,0.0
CzechR,Convector,1,2366.0
CzechR,Convector,2,2093.0
CzechR,Convector,3,1820.0
CzechR,Convector,4,1547.0
CzechR,Convector,5,1274.0
CzechR,Convector,6,1001.0
CzechR,Convector,7,727.9999999999998
CzechR,HeatPumpAir,1,77.77777777777777
CzechR,HeatPumpAir,2,56.56565656565656
CzechR,HeatPumpAir,3,35.35353535353535
CzechR,HeatPumpAir,4,14.14141414141414
CzechR,HeatPumpAir,5,0.0
CzechR,HeatPumpAir,6,0.0
CzechR,HeatPumpAir,7,0.0
CzechR,HeatPumpGround,1,57.64383561643835
CzechR,HeatPumpGround,2,46.83561643835616
CzechR,HeatPumpGround,3,36.02739726027397
CzechR,HeatPumpGround,4,25.21917808219178
CzechR,HeatPumpGround,5,14.41095890410959
CzechR,HeatPumpGround,6,3.602739726027398
CzechR,HeatPumpGround,7,0.0
Denmark,Convector,1,1898.0
Denmark,Convector,2,1679.0
Denmark,Convector,3,1460.0
Denmark,Convector,4,1241.0
Denmark,Convector,5,1022.0
Denmark,Convector,6,802.9999999999999
Denmark,Convector,7,583.9999999999998
Denmark,HeatPumpAir,1,1393.333333333333
Denmark,HeatPumpAir,2,1013.333333333333
Denmark,HeatPumpAir,3,633.3333333333331
Denmark,HeatPumpAir,4,253.3333333333333
Denmark,HeatPumpAir,5,0.0
Denmark,HeatPumpAir,6,0.0
Denmark,HeatPumpAir,7,0.0
Denmark,HeatPumpGround,1,304.0
Denmark,HeatPumpGround,2,247.0
Denmark,HeatPumpGround,3,190.0
Denmark,HeatPumpGround,4,133.0
Denmark,HeatPumpGround,5,76.0
Denmark,HeatPumpGround,6,19.0
Denmark,HeatPumpGround,7,0.0
Finland,Convector,1,8926.666666666666
Finland,Convector,2,7896.666666666666
Finland,Convector,3,6866.666666666666
Finland,Convector,4,5836.666666666666
Finland,Convector,5,4806.666666666666
Finland,Convector,6,3776.666666666666
Finland,Convector,7,2746.666666666666
Finland,HeatPumpAir,1,1452.0
Finland,HeatPumpAir,2,1056.0
Finland,HeatPumpAir,3,659.9999999999999
Finland,HeatPumpAir,4,264.0
Finland,HeatPumpAir,5,0.0
Finland,HeatPumpAir,6,0.0
Finland,HeatPumpAir,7,0.0
Finland,HeatPumpGround,1,464.0
Finland,HeatPumpGround,2,377.0
Finland,HeatPumpGround,3,290.0
Finland,HeatPumpGround,4,203.0
Finland,HeatPumpGround,5,116.0
Finland,HeatPumpGround,6,29.0
Finland,HeatPumpGround,7,0.0
France,Convector,1,75608.0
France,Convector,2,66884.0
France,Convector,3,58160.0
