Node,ConverterTechnology,Period,ConverterMaxBuildCapacity_in_MW
NO1,Convector,1,50000
NO2,Convector,1,50000
NO3,Convector,1,50000
NO4,Convector,1,50000
NO5,Convector,1,50000
NO1,Convector,2,50000
NO2,Convector,2,50000
NO3,Convector,2,50000
NO4,Convector,2,50000
NO5,Convector,2,50000
NO1,Convector,4,50000
NO2,Convector,4,50000
NO3,Convector,4,50000
NO4,Convector,4,50000
NO5,Convector,4,50000
NO1,Convector,5,50000
NO2,Convector,5,50000
NO3,Convector,5,50000
NO4,Convector,5,50000
NO5,Convector,5,50000
NO1,Convector,6,50000
NO2,Convector,6,50000
NO3,Convector,6,50000
NO4,Convector,6,50000
NO5,Convector,6,50000
NO1,Convector,7,50000
NO2,Convector,7,50000
NO3,Convector,7,50000
NO4,Convector,7,50000
NO5,Convector,7,50000
NO1,HeatPumpAir,1,50000
NO2,HeatPumpAir,1,50000
NO3,HeatPumpAir,1,50000
NO4,HeatPumpAir,1,50000
NO5,HeatPumpAir,1,50000
NO1,HeatPumpAir,2,50000
NO2,HeatPumpAir,2,50000
NO3,HeatPumpAir,2,50000
NO4,HeatPumpAir,2,50000
NO5,HeatPumpAir,2,50000
NO1,HeatPumpAir,3,50000
NO2,HeatPumpAir,3,50000
NO3,HeatPumpAir,3,50000
NO4,HeatPumpAir,3,50000
NO5,HeatPumpAir,3,50000
NO1,HeatPumpAir,3,50000
NO2,HeatPumpAir,3,50000
NO3,HeatPumpAir,3,50000
NO4,HeatPumpAir,3,50000
NO5,HeatPumpAir,3,50000
NO1,HeatPumpAir,4,50000
NO2,HeatPumpAir,4,50000
NO3,HeatPumpAir,4,50000
NO4,HeatPumpAir,4,50000
NO5,HeatPumpAir,4,50000
NO1,HeatPumpAir,5,50000
NO2,HeatPumpAir,5,50000
NO3,HeatPumpAir,5,50000
NO4,HeatPumpAir,5,50000
NO5,HeatPumpAir,5,50000
NO1,HeatPumpAir,6,50000
NO2,HeatPumpAir,6,50000
NO3,HeatPumpAir,6,50000
NO4,HeatPumpAir,6,50000
NO5,HeatPumpAir,6,50000
NO1,HeatPumpAir,7,50000
NO2,HeatPumpAir,7,50000
NO3,HeatPumpAir,7,50000
NO4,HeatPumpAir,7,50000
NO5,HeatPumpAir,7,50000
