GeneratorTechnology,Period,generatorCapitalCost_in_euro_per_kW-th
WasteToEnergyCHP,1,1830.0
WasteToEnergyCHP,2,1810.0
WasteToEnergyCHP,3,1780.0
WasteToEnergyCHP,4,1780.0
WasteToEnergyCHP,5,1780.0
WasteToEnergyCHP,6,1780.0
WasteToEnergyCHP,7,1712.0
WasteToEnergyHOP,1,1840.0
WasteToEnergyHOP,2,1804.0
WasteToEnergyHOP,3,1750.0
WasteToEnergyHOP,4,1750.0
WasteToEnergyHOP,5,1750.0
WasteToEnergyHOP,6,1750.0
WasteToEnergyHOP,7,1706.0
DistrictHeatGasBoiler,1,60.0
DistrictHeatGasBoiler,2,56.0
DistrictHeatGasBoiler,3,50.0
DistrictHeatGasBoiler,4,50.0
DistrictHeatGasBoiler,5,50.0
DistrictHeatGasBoiler,6,50.0
DistrictHeatGasBoiler,7,50.0
BioWoodChipCHP,1,1000.0
BioWoodChipCHP,2,980.0
BioWoodChipCHP,3,950.0
BioWoodChipCHP,4,950.0
BioWoodChipCHP,5,950.0
BioWoodChipCHP,6,950.0
BioWoodChipCHP,7,922.0
BioWoodChipHOP,1,790.0
BioWoodChipHOP,2,774.0
BioWoodChipHOP,3,750.0
BioWoodChipHOP,4,750.0
BioWoodChipHOP,5,750.0
BioWoodChipHOP,6,750.0
BioWoodChipHOP,7,722.0
IndividualOilBoiler,1,393.3333333333333
IndividualOilBoiler,2,385.3333333333333
IndividualOilBoiler,3,373.3333333333333
IndividualOilBoiler,4,373.3333333333333
IndividualOilBoiler,5,373.3333333333333
IndividualOilBoiler,6,373.3333333333333
IndividualOilBoiler,7,357.3333333333333
IndividualGasBoiler,1,310.0
IndividualGasBoiler,2,306.0
IndividualGasBoiler,3,300.0
IndividualGasBoiler,4,300.0
IndividualGasBoiler,5,300.0
IndividualGasBoiler,6,300.0
IndividualGasBoiler,7,288.0
DistrictHeatGeo,1,1800.0
DistrictHeatGeo,2,1760.0
DistrictHeatGeo,3,1700.0
DistrictHeatGeo,4,1700.0
DistrictHeatGeo,5,1700.0
DistrictHeatGeo,6,1700.0
DistrictHeatGeo,7,1700.0
DistrictHeatHydrogenBoiler,1,60.0
DistrictHeatHydrogenBoiler,2,56.0
DistrictHeatHydrogenBoiler,3,50.0
DistrictHeatHydrogenBoiler,4,50.0
DistrictHeatHydrogenBoiler,5,50.0
DistrictHeatHydrogenBoiler,6,50.0
DistrictHeatHydrogenBoiler,7,50.0
IndividualHydrogenBoiler,1,310.0
IndividualHydrogenBoiler,2,306.0
IndividualHydrogenBoiler,3,300.0
IndividualHydrogenBoiler,4,300.0
IndividualHydrogenBoiler,5,300.0
IndividualHydrogenBoiler,6,300.0
IndividualHydrogenBoiler,7,288.0
NaturalGasIndustrialBurner,1,15.0
NaturalGasIndustrialBurner,2,15.0
NaturalGasIndustrialBurner,3,15.0
NaturalGasIndustrialBurner,4,15.0
NaturalGasIndustrialBurner,5,15.0
NaturalGasIndustrialBurner,6,15.0
NaturalGasIndustrialBurner,7,15.0
HydrogenIndustrialBurner,1,15.0
HydrogenIndustrialBurner,2,15.0
HydrogenIndustrialBurner,3,15.0
HydrogenIndustrialBurner,4,15.0
HydrogenIndustrialBurner,5,15.0
HydrogenIndustrialBurner,6,15.0
HydrogenIndustrialBurner,7,15.0
