GeneratorTechnology,Period,generatorEfficiency
WasteToEnergyCHP,1,0.79
WasteToEnergyCHP,2,0.7888000000000001
WasteToEnergyCHP,3,0.787
WasteToEnergyCHP,4,0.787
WasteToEnergyCHP,5,0.787
WasteToEnergyCHP,6,0.787
WasteToEnergyCHP,7,0.7854
WasteToEnergyHOP,1,1.0
WasteToEnergyHOP,2,1.0
WasteToEnergyHOP,3,1.0
WasteToEnergyHOP,4,1.0
WasteToEnergyHOP,5,1.0
WasteToEnergyHOP,6,1.0
WasteToEnergyHOP,7,1.0
DistrictHeatGasBoiler,1,1.0
DistrictHeatGasBoiler,2,1.0
DistrictHeatGasBoiler,3,1.0
DistrictHeatGasBoiler,4,1.0
DistrictHeatGasBoiler,5,1.0
DistrictHeatGasBoiler,6,1.0
DistrictHeatGasBoiler,7,1.0
BioWoodChipCHP,1,0.838
BioWoodChipCHP,2,0.8376
BioWoodChipCHP,3,0.837
BioWoodChipCHP,4,0.837
BioWoodChipCHP,5,0.837
BioWoodChipCHP,6,0.837
BioWoodChipCHP,7,0.8393999999999999
BioWoodChipHOP,1,1.0
BioWoodChipHOP,2,1.0
BioWoodChipHOP,3,1.0
BioWoodChipHOP,4,1.0
BioWoodChipHOP,5,1.0
BioWoodChipHOP,6,1.0
BioWoodChipHOP,7,1.0
IndividualOilBoiler,1,0.92
IndividualOilBoiler,2,0.924
IndividualOilBoiler,3,0.93
IndividualOilBoiler,4,0.93
IndividualOilBoiler,5,0.93
IndividualOilBoiler,6,0.93
IndividualOilBoiler,7,0.9380000000000001
IndividualGasBoiler,1,0.97
IndividualGasBoiler,2,0.974
IndividualGasBoiler,3,0.98
IndividualGasBoiler,4,0.98
IndividualGasBoiler,5,0.98
IndividualGasBoiler,6,0.98
IndividualGasBoiler,7,0.984
DistrictHeatGeo,1,1.0
DistrictHeatGeo,2,1.0
DistrictHeatGeo,3,1.0
DistrictHeatGeo,4,1.0
DistrictHeatGeo,5,1.0
DistrictHeatGeo,6,1.0
DistrictHeatGeo,7,1.0
DistrictHeatHydrogenBoiler,1,1.0
DistrictHeatHydrogenBoiler,2,1.0
DistrictHeatHydrogenBoiler,3,1.0
DistrictHeatHydrogenBoiler,4,1.0
DistrictHeatHydrogenBoiler,5,1.0
DistrictHeatHydrogenBoiler,6,1.0
DistrictHeatHydrogenBoiler,7,1.0
IndividualHydrogenBoiler,1,0.97
IndividualHydrogenBoiler,2,0.974
IndividualHydrogenBoiler,3,0.98
IndividualHydrogenBoiler,4,0.98
IndividualHydrogenBoiler,5,0.98
IndividualHydrogenBoiler,6,0.98
IndividualHydrogenBoiler,7,0.984
NaturalGasIndustrialBurner,1,1.0
NaturalGasIndustrialBurner,2,1.0
NaturalGasIndustrialBurner,3,1.0
NaturalGasIndustrialBurner,4,1.0
NaturalGasIndustrialBurner,5,1.0
NaturalGasIndustrialBurner,6,1.0
NaturalGasIndustrialBurner,7,1.0
HydrogenIndustrialBurner,1,1.0
HydrogenIndustrialBurner,2,1.0
HydrogenIndustrialBurner,3,1.0
HydrogenIndustrialBurner,4,1.0
HydrogenIndustrialBurner,5,1.0
HydrogenIndustrialBurner,6,1.0
HydrogenIndustrialBurner,7,1.0
