GeneratorTechnology,Period,generatorCapitalCost_in_euro_per_kW-th
WasteToEnergyCHP,1,43.9
WasteToEnergyCHP,2,43.1
WasteToEnergyCHP,3,41.9
WasteToEnergyCHP,4,41.9
WasteToEnergyCHP,5,41.9
WasteToEnergyCHP,6,41.9
WasteToEnergyCHP,7,39.94
WasteToEnergyHOP,1,82.3
WasteToEnergyHOP,2,80.17999999999999
WasteToEnergyHOP,3,77.0
WasteToEnergyHOP,4,77.0
WasteToEnergyHOP,5,77.0
WasteToEnergyHOP,6,77.0
WasteToEnergyHOP,7,73.72
DistrictHeatGasBoiler,1,1.95
DistrictHeatGasBoiler,2,1.93
DistrictHeatGasBoiler,3,1.9
DistrictHeatGasBoiler,4,1.9
DistrictHeatGasBoiler,5,1.9
DistrictHeatGasBoiler,6,1.9
DistrictHeatGasBoiler,7,1.82
BioWoodChipCHP,1,28.8
BioWoodChipCHP,2,28.2
BioWoodChipCHP,3,27.3
BioWoodChipCHP,4,27.3
BioWoodChipCHP,5,27.3
BioWoodChipCHP,6,27.3
BioWoodChipCHP,7,26.42
BioWoodChipHOP,1,37.1
BioWoodChipHOP,2,36.62
BioWoodChipHOP,3,35.9
BioWoodChipHOP,4,35.9
BioWoodChipHOP,5,35.9
BioWoodChipHOP,6,35.9
BioWoodChipHOP,7,35.02
IndividualOilBoiler,1,16.26666666666667
IndividualOilBoiler,2,16.05333333333333
IndividualOilBoiler,3,15.73333333333333
IndividualOilBoiler,4,15.73333333333333
IndividualOilBoiler,5,15.73333333333333
IndividualOilBoiler,6,15.73333333333333
IndividualOilBoiler,7,15.14666666666667
IndividualGasBoiler,1,20.5
IndividualGasBoiler,2,20.26
IndividualGasBoiler,3,19.9
IndividualGasBoiler,4,19.9
IndividualGasBoiler,5,19.9
IndividualGasBoiler,6,19.9
IndividualGasBoiler,7,19.18
DistrictHeatGeo,1,29.1
DistrictHeatGeo,2,26.7
DistrictHeatGeo,3,23.1
DistrictHeatGeo,4,23.1
DistrictHeatGeo,5,23.1
DistrictHeatGeo,6,23.1
DistrictHeatGeo,7,22.3
DistrictHeatHydrogenBoiler,1,1.95
DistrictHeatHydrogenBoiler,2,1.93
DistrictHeatHydrogenBoiler,3,1.9
DistrictHeatHydrogenBoiler,4,1.9
DistrictHeatHydrogenBoiler,5,1.9
DistrictHeatHydrogenBoiler,6,1.9
DistrictHeatHydrogenBoiler,7,1.82
IndividualHydrogenBoiler,1,20.5
IndividualHydrogenBoiler,2,20.26
IndividualHydrogenBoiler,3,19.9
IndividualHydrogenBoiler,4,19.9
IndividualHydrogenBoiler,5,19.9
IndividualHydrogenBoiler,6,19.9
IndividualHydrogenBoiler,7,19.18
NaturalGasIndustrialBurner,1,0.182
NaturalGasIndustrialBurner,2,0.182
NaturalGasIndustrialBurner,3,0.182
NaturalGasIndustrialBurner,4,0.182
NaturalGasIndustrialBurner,5,0.182
NaturalGasIndustrialBurner,6,0.182
NaturalGasIndustrialBurner,7,0.182
HydrogenIndustrialBurner,1,0.182
HydrogenIndustrialBurner,2,0.182
HydrogenIndustrialBurner,3,0.182
HydrogenIndustrialBurner,4,0.182
HydrogenIndustrialBurner,5,0.182
HydrogenIndustrialBurner,6,0.182
HydrogenIndustrialBurner,7,0.182
