GeneratorTechnology,Period,generatorTypeFuelCost_in_euro_per_GJ
WasteToEnergyCHP,1,0.0
WasteToEnergyCHP,2,0.0
WasteToEnergyCHP,3,0.0
WasteToEnergyCHP,4,0.0
WasteToEnergyCHP,5,0.0
WasteToEnergyCHP,6,0.0
WasteToEnergyCHP,7,0.0
WasteToEnergyHOP,1,0.0
WasteToEnergyHOP,2,0.0
WasteToEnergyHOP,3,0.0
WasteToEnergyHOP,4,0.0
WasteToEnergyHOP,5,0.0
WasteToEnergyHOP,6,0.0
WasteToEnergyHOP,7,0.0
DistrictHeatGasBoiler,1,8.572756652977773
DistrictHeatGasBoiler,2,9.009206556586722
DistrictHeatGasBoiler,3,9.466194076584102
DistrictHeatGasBoiler,4,9.852481705753128
DistrictHeatGasBoiler,5,10.1781913147299
DistrictHeatGasBoiler,6,10.38274488332218
DistrictHeatGasBoiler,7,10.53662178302879
BioWoodChipCHP,1,8.886240000000003
BioWoodChipCHP,2,9.412832000000003
BioWoodChipCHP,3,9.955880000000004
BioWoodChipCHP,4,10.55323280000001
BioWoodChipCHP,5,11.17049736000001
BioWoodChipCHP,6,11.82758544000001
BioWoodChipCHP,7,12.52847939200001
BioWoodChipHOP,1,8.886240000000003
BioWoodChipHOP,2,9.412832000000003
BioWoodChipHOP,3,9.955880000000004
BioWoodChipHOP,4,10.55323280000001
BioWoodChipHOP,5,11.17049736000001
BioWoodChipHOP,6,11.82758544000001
BioWoodChipHOP,7,12.52847939200001
IndividualOilBoiler,1,13.86
IndividualOilBoiler,2,14.76
IndividualOilBoiler,3,15.6
IndividualOilBoiler,4,16.02
IndividualOilBoiler,5,16.5
IndividualOilBoiler,6,17.1
IndividualOilBoiler,7,17.46
IndividualGasBoiler,1,8.572756652977773
IndividualGasBoiler,2,9.009206556586722
IndividualGasBoiler,3,9.466194076584102
IndividualGasBoiler,4,9.852481705753128
IndividualGasBoiler,5,10.1781913147299
IndividualGasBoiler,6,10.38274488332218
IndividualGasBoiler,7,10.53662178302879
DistrictHeatGeo,1,0.0
DistrictHeatGeo,2,0.0
DistrictHeatGeo,3,0.0
DistrictHeatGeo,4,0.0
DistrictHeatGeo,5,0.0
DistrictHeatGeo,6,0.0
DistrictHeatGeo,7,0.0
