Node,GeneratorTechnology,generatorMaxInstallCapacity__in_MW
NO1,HeatWaste,307.8
NO2,HeatWaste,307.8
NO3,HeatWaste,228.0
NO4,HeatWaste,159.6
NO5,HeatWaste,136.8
NO1,HeatGas,0.0
NO2,HeatGas,0.0
NO3,HeatGas,0.0
NO4,HeatGas,0.0
NO5,HeatGas,0.0
NO1,HeatBio,200000.0
NO2,HeatBio,200000.0
NO3,HeatBio,200000.0
NO4,HeatBio,200000.0
NO5,HeatBio,200000.0
Austria,HeatWaste,2695.7
Belgium,HeatWaste,4928.6
Bulgaria,HeatWaste,1086.0
CzechR,HeatWaste,3109.2
Germany,HeatWaste,28026.1
France,HeatWaste,19103.7
GreatBrit.,HeatWaste,18334.3
Croatia,HeatWaste,1214.3
Hungary,HeatWaste,3233.7
Ireland,HeatWaste,1561.2
Luxemb.,HeatWaste,316.5
Netherlands,HeatWaste,6828.0
Poland,HeatWaste,9369.4
Romania,HeatWaste,2828.1
Slovenia,HeatWaste,550.3000000000001
Slovakia,HeatWaste,1443.2
Austria,HeatGas,200000.0
Belgium,HeatGas,200000.0
Bulgaria,HeatGas,200000.0
CzechR,HeatGas,200000.0
Germany,HeatGas,200000.0
France,HeatGas,200000.0
GreatBrit.,HeatGas,200000.0
Croatia,HeatGas,200000.0
Hungary,HeatGas,200000.0
Ireland,HeatGas,200000.0
Luxemb.,HeatGas,200000.0
Netherlands,HeatGas,200000.0
Poland,HeatGas,200000.0
Romania,HeatGas,200000.0
Slovenia,HeatGas,200000.0
Slovakia,HeatGas,200000.0
Austria,HeatBio,13478.5
Belgium,HeatBio,24643.0
Bulgaria,HeatBio,5430.0
CzechR,HeatBio,15546.0
Germany,HeatBio,140130.5
France,HeatBio,95518.5
GreatBrit.,HeatBio,91671.5
Croatia,HeatBio,6071.5
Hungary,HeatBio,16168.5
Ireland,HeatBio,7806.0
Luxemb.,HeatBio,1582.5
Netherlands,HeatBio,34140.0
Poland,HeatBio,46847.0
Romania,HeatBio,14140.5
Slovenia,HeatBio,2751.5
Slovakia,HeatBio,7216.0
Austria,HeatOil,200000.0
Belgium,HeatOil,200000.0
Bulgaria,HeatOil,200000.0
CzechR,HeatOil,200000.0
Germany,HeatOil,200000.0
France,HeatOil,200000.0
GreatBrit.,HeatOil,200000.0
Croatia,HeatOil,200000.0
Hungary,HeatOil,200000.0
Ireland,HeatOil,200000.0
Luxemb.,HeatOil,200000.0
Netherlands,HeatOil,200000.0
Poland,HeatOil,200000.0
Romania,HeatOil,200000.0
Slovenia,HeatOil,200000.0
Slovakia,HeatOil,200000.0
NO1,HeatOil,200000.0
NO2,HeatOil,200000.0
NO3,HeatOil,200000.0
NO4,HeatOil,200000.0
NO5,HeatOil,200000.0
Austria,HeatGeo,22.7
Belgium,HeatGeo,10.1
Bulgaria,HeatGeo,0.0
CzechR,HeatGeo,6.6
Germany,HeatGeo,183.0
France,HeatGeo,319.5
GreatBrit.,HeatGeo,2.8
Croatia,HeatGeo,0.0
Hungary,HeatGeo,198.3
Ireland,HeatGeo,0.0
Luxemb.,HeatGeo,0.0
Netherlands,HeatGeo,51.0
Poland,HeatGeo,101.9
Romania,HeatGeo,106.6
Slovenia,HeatGeo,3.7
Slovakia,HeatGeo,14.2
NO1,HeatGeo,0.0
NO2,HeatGeo,0.0
NO3,HeatGeo,0.0
NO4,HeatGeo,0.0
NO5,HeatGeo,0.0
Austria,Industrial,200000.0
BosniaH,Industrial,200000.0
Belgium,Industrial,200000.0
Bulgaria,Industrial,200000.0
Switzerland,Industrial,200000.0
CzechR,Industrial,200000.0
Germany,Industrial,200000.0
Denmark,Industrial,200000.0
Estonia,Industrial,200000.0
Spain,Industrial,200000.0
Finland,Industrial,200000.0
France,Industrial,200000.0
GreatBrit.,Industrial,200000.0
Greece,Industrial,200000.0
Croatia,Industrial,200000.0
Hungary,Industrial,200000.0
Ireland,Industrial,200000.0
Italy,Industrial,200000.0
Lithuania,Industrial,200000.0
Luxemb.,Industrial,200000.0
Latvia,Industrial,200000.0
Macedonia,Industrial,200000.0
Netherlands,Industrial,200000.0
NO1,Industrial,200000.0
NO2,Industrial,200000.0
NO3,Industrial,200000.0
NO4,Industrial,200000.0
NO5,Industrial,200000.0
Poland,Industrial,200000.0
Portugal,Industrial,200000.0
Romania,Industrial,200000.0
Serbia,Industrial,200000.0
Sweden,Industrial,200000.0
Slovenia,Industrial,200000.0
Slovakia,Industrial,200000.0
