Node,GeneratorTechnology,generatoReferenceInitialCapacity_in_MW
Austria,IndividualOilBoiler,15420.0
Belgium,IndividualOilBoiler,19530.0
Bulgaria,IndividualOilBoiler,40.0
CzechR,IndividualOilBoiler,100.0
Germany,IndividualOilBoiler,132040.0
France,IndividualOilBoiler,46030.0
GreatBrit.,IndividualOilBoiler,7390.0
Croatia,IndividualOilBoiler,2880.0
Hungary,IndividualOilBoiler,40.0
Ireland,IndividualOilBoiler,4850.0
Luxemb.,IndividualOilBoiler,770.0
Netherlands,IndividualOilBoiler,100.0
Poland,IndividualOilBoiler,9040.0
Romania,IndividualOilBoiler,30.0
Slovenia,IndividualOilBoiler,1080.0
Slovakia,IndividualOilBoiler,10.0
NO1,IndividualOilBoiler,0.0
NO2,IndividualOilBoiler,0.0
NO3,IndividualOilBoiler,0.0
NO4,IndividualOilBoiler,0.0
NO5,IndividualOilBoiler,0.0
Austria,IndividualGasBoiler,9320.0
Belgium,IndividualGasBoiler,28390.0
Bulgaria,IndividualGasBoiler,160.0
CzechR,IndividualGasBoiler,9260.0
Germany,IndividualGasBoiler,131090.0
France,IndividualGasBoiler,76850.0
GreatBrit.,IndividualGasBoiler,160490.0
Croatia,IndividualGasBoiler,8390.0
Hungary,IndividualGasBoiler,21210.0
Ireland,IndividualGasBoiler,4320.0
Luxemb.,IndividualGasBoiler,790.0
Netherlands,IndividualGasBoiler,81410.0
Poland,IndividualGasBoiler,8250.0
Romania,IndividualGasBoiler,16560.0
Slovenia,IndividualGasBoiler,400.0
Slovakia,IndividualGasBoiler,8050.0
NO1,IndividualGasBoiler,0.0
NO2,IndividualGasBoiler,0.0
NO3,IndividualGasBoiler,0.0
NO4,IndividualGasBoiler,0.0
NO5,IndividualGasBoiler,0.0
Austria,DistrictHeatGeo,22.7
Belgium,DistrictHeatGeo,10.1
Bulgaria,DistrictHeatGeo,0.0
CzechR,DistrictHeatGeo,6.6
Germany,DistrictHeatGeo,183.0
France,DistrictHeatGeo,319.5
GreatBrit.,DistrictHeatGeo,2.8
Croatia,DistrictHeatGeo,0.0
Hungary,DistrictHeatGeo,198.3
Ireland,DistrictHeatGeo,0.0
Luxemb.,DistrictHeatGeo,0.0
Netherlands,DistrictHeatGeo,51.0
Poland,DistrictHeatGeo,101.9
Romania,DistrictHeatGeo,106.6
Slovenia,DistrictHeatGeo,3.7
Slovakia,DistrictHeatGeo,14.2
NO1,DistrictHeatGeo,0.0
NO2,DistrictHeatGeo,0.0
NO3,DistrictHeatGeo,0.0
NO4,DistrictHeatGeo,0.0
NO5,DistrictHeatGeo,0.0
Austria,WasteToEnergyHOP,0.0
Belgium,WasteToEnergyHOP,0.0
Bulgaria,WasteToEnergyHOP,0.0
CzechR,WasteToEnergyHOP,0.0
Germany,WasteToEnergyHOP,4251.72
France,WasteToEnergyHOP,0.0
GreatBrit.,WasteToEnergyHOP,0.0
Croatia,WasteToEnergyHOP,0.0
