GeneratorTechnology,Period,generatorRetirementFactorInitialCap
IndividualOilBoiler,1,0.2
IndividualOilBoiler,2,0.35
IndividualOilBoiler,3,0.5
IndividualOilBoiler,4,0.65
IndividualOilBoiler,5,0.8
IndividualOilBoiler,6,0.95
IndividualOilBoiler,7,1.0
IndividualGasBoiler,1,0.2
IndividualGasBoiler,2,0.35
IndividualGasBoiler,3,0.5
IndividualGasBoiler,4,0.65
IndividualGasBoiler,5,0.8
IndividualGasBoiler,6,0.95
IndividualGasBoiler,7,1.0
DistrictHeatGeo,1,0.16
DistrictHeatGeo,2,0.28
DistrictHeatGeo,3,0.4
DistrictHeatGeo,4,0.52
DistrictHeatGeo,5,0.64
DistrictHeatGeo,6,0.76
DistrictHeatGeo,7,0.88
WasteToEnergyHOP,1,0.16
WasteToEnergyHOP,2,0.28
WasteToEnergyHOP,3,0.4
WasteToEnergyHOP,4,0.52
WasteToEnergyHOP,5,0.64
WasteToEnergyHOP,6,0.76
WasteToEnergyHOP,7,0.88
DistrictHeatGasBoiler,1,0.16
DistrictHeatGasBoiler,2,0.28
DistrictHeatGasBoiler,3,0.4
DistrictHeatGasBoiler,4,0.52
DistrictHeatGasBoiler,5,0.64
DistrictHeatGasBoiler,6,0.76
DistrictHeatGasBoiler,7,0.88
BioWoodChipHOP,1,0.16
BioWoodChipHOP,2,0.28
BioWoodChipHOP,3,0.4
BioWoodChipHOP,4,0.52
BioWoodChipHOP,5,0.64
BioWoodChipHOP,6,0.76
BioWoodChipHOP,7,0.88
