Nodes,Share_of_heat_already_electric_percent
NO1,0.0
NO2,0.0
NO3,0.0
NO4,0.0
NO5,0.0
Austria,0.1393939393939394
Belgium,0.1083333333333333
Bulgaria,0.2549019607843137
CzechR,0.1461988304093567
Germany,0.09718228867165038
France,0.2037558685446009
GreatBrit.,0.1186440677966102
Croatia,0.1
Hungary,0.08
Ireland,0.1282051282051282
Luxemb.,0.1111111111111111
Netherlands,0.0903010033444816
Poland,0.07129094412331406
Romania,0.03260869565217391
Slovenia,0.125
Slovakia,0.1428571428571428
Denmark,0.1304347826086956
Finland,0.2847682119205298
Sweden,0.3146067415730337
