Node,ElectrToHeatConv
NO1,Convector
NO2,Convector
NO3,Convector
NO4,Convector
NO5,Convector
Austria,Convector
Belgium,Convector
Bulgaria,Convector
CzechR,Convector
Germany,Convector
France,Convector
GreatBrit.,Convector
Croatia,Convector
Hungary,Convector
Ireland,Convector
Luxemb.,Convector
Netherlands,Convector
Poland,Convector
Romania,Convector
Slovenia,Convector
Slovakia,Convector
Austria,HeatPumpGround
Belgium,HeatPumpGround
Bulgaria,HeatPumpGround
CzechR,HeatPumpGround
Germany,HeatPumpGround
France,HeatPumpGround
GreatBrit.,HeatPumpGround
Croatia,HeatPumpGround
Hungary,HeatPumpGround
Ireland,HeatPumpGround
Luxemb.,HeatPumpGround
Netherlands,HeatPumpGround
Poland,HeatPumpGround
Romania,HeatPumpGround
Slovenia,HeatPumpGround
Slovakia,HeatPumpGround
Finland,HeatPumpGround
Sweden,HeatPumpGround
Denmark,HeatPumpGround
Finland,Convector
Sweden,Convector
Denmark,Convector
Austria,HeatPumpAir
Belgium,HeatPumpAir
Bulgaria,HeatPumpAir
Switzerland,HeatPumpAir
CzechR,HeatPumpAir
Germany,HeatPumpAir
Denmark,HeatPumpAir
Estonia,HeatPumpAir
Spain,HeatPumpAir
Finland,HeatPumpAir
France,HeatPumpAir
GreatBrit.,HeatPumpAir
Greece,HeatPumpAir
Croatia,HeatPumpAir
Hungary,HeatPumpAir
Ireland,HeatPumpAir
Italy,HeatPumpAir
Lithuania,HeatPumpAir
Luxemb.,HeatPumpAir
Latvia,HeatPumpAir
Macedonia,HeatPumpAir
Netherlands,HeatPumpAir
Poland,HeatPumpAir
Portugal,HeatPumpAir
Romania,HeatPumpAir
Sweden,HeatPumpAir
Slovenia,HeatPumpAir
Slovakia,HeatPumpAir
NO1,HeatPumpAir
NO2,HeatPumpAir
NO3,HeatPumpAir
NO4,HeatPumpAir
NO5,HeatPumpAir
BosniaH,HeatPumpAir
Serbia,HeatPumpAir
