Node,Generator
NO1,WasteToEnergyCHP
NO2,WasteToEnergyCHP
NO3,WasteToEnergyCHP
NO4,WasteToEnergyCHP
NO5,WasteToEnergyCHP
NO1,WasteToEnergyHOP
NO2,WasteToEnergyHOP
NO3,WasteToEnergyHOP
NO4,WasteToEnergyHOP
NO5,WasteToEnergyHOP
NO1,DistrictHeatGasBoiler
NO2,DistrictHeatGasBoiler
NO3,DistrictHeatGasBoiler
NO4,DistrictHeatGasBoiler
NO5,DistrictHeatGasBoiler
NO1,BioWoodChipCHP
NO2,BioWoodChipCHP
NO3,BioWoodChipCHP
NO4,BioWoodChipCHP
NO5,BioWoodChipCHP
NO1,BioWoodChipHOP
NO2,BioWoodChipHOP
NO3,BioWoodChipHOP
NO4,BioWoodChipHOP
NO5,BioWoodChipHOP
Austria,WasteToEnergyCHP
Belgium,WasteToEnergyCHP
Bulgaria,WasteToEnergyCHP
CzechR,WasteToEnergyCHP
Germany,WasteToEnergyCHP
France,WasteToEnergyCHP
GreatBrit.,WasteToEnergyCHP
Croatia,WasteToEnergyCHP
Hungary,WasteToEnergyCHP
Ireland,WasteToEnergyCHP
Luxemb.,WasteToEnergyCHP
Netherlands,WasteToEnergyCHP
Poland,WasteToEnergyCHP
Romania,WasteToEnergyCHP
Slovenia,WasteToEnergyCHP
Slovakia,WasteToEnergyCHP
Austria,WasteToEnergyHOP
Belgium,WasteToEnergyHOP
Bulgaria,WasteToEnergyHOP
CzechR,WasteToEnergyHOP
Germany,WasteToEnergyHOP
France,WasteToEnergyHOP
GreatBrit.,WasteToEnergyHOP
Croatia,WasteToEnergyHOP
Hungary,WasteToEnergyHOP
Ireland,WasteToEnergyHOP
Luxemb.,WasteToEnergyHOP
Netherlands,WasteToEnergyHOP
Poland,WasteToEnergyHOP
Romania,WasteToEnergyHOP
Slovenia,WasteToEnergyHOP
Slovakia,WasteToEnergyHOP
Austria,DistrictHeatGasBoiler
Belgium,DistrictHeatGasBoiler
Bulgaria,DistrictHeatGasBoiler
CzechR,DistrictHeatGasBoiler
