Node,Storage
NO1,HotWaterTankLarge
NO2,HotWaterTankLarge
NO3,HotWaterTankLarge
NO4,HotWaterTankLarge
NO5,HotWaterTankLarge
NO1,HotWaterTankSmall
NO2,HotWaterTankSmall
NO3,HotWaterTankSmall
NO4,HotWaterTankSmall
NO5,HotWaterTankSmall
Austria,HotWaterTankLarge
Belgium,HotWaterTankLarge
Bulgaria,HotWaterTankLarge
CzechR,HotWaterTankLarge
Germany,HotWaterTankLarge
France,HotWaterTankLarge
GreatBrit.,HotWaterTankLarge
Croatia,HotWaterTankLarge
Hungary,HotWaterTankLarge
Ireland,HotWaterTankLarge
Luxemb.,HotWaterTankLarge
Netherlands,HotWaterTankLarge
Poland,HotWaterTankLarge
Romania,HotWaterTankLarge
Slovenia,HotWaterTankLarge
Slovakia,HotWaterTankLarge
Austria,HotWaterTankSmall
Belgium,HotWaterTankSmall
Bulgaria,HotWaterTankSmall
CzechR,HotWaterTankSmall
Germany,HotWaterTankSmall
France,HotWaterTankSmall
GreatBrit.,HotWaterTankSmall
Croatia,HotWaterTankSmall
Hungary,HotWaterTankSmall
Ireland,HotWaterTankSmall
Luxemb.,HotWaterTankSmall
Netherlands,HotWaterTankSmall
Poland,HotWaterTankSmall
Romania,HotWaterTankSmall
Slovenia,HotWaterTankSmall
Slovakia,HotWaterTankSmall
