Nodes,StorageTypes,Period,InitialPowerCapacity
NO1,HotWaterTankLarge,1,0.0
NO2,HotWaterTankLarge,1,0.0
NO3,HotWaterTankLarge,1,0.0
NO4,HotWaterTankLarge,1,0.0
NO5,HotWaterTankLarge,1,0.0
NO1,HotWaterTankLarge,2,0.0
NO2,HotWaterTankLarge,2,0.0
NO3,HotWaterTankLarge,2,0.0
NO4,HotWaterTankLarge,2,0.0
NO5,HotWaterTankLarge,2,0.0
NO1,HotWaterTankLarge,3,0.0
NO2,HotWaterTankLarge,3,0.0
NO3,HotWaterTankLarge,3,0.0
NO4,HotWaterTankLarge,3,0.0
NO5,HotWaterTankLarge,3,0.0
NO1,HotWaterTankLarge,4,0.0
NO2,HotWaterTankLarge,4,0.0
NO3,HotWaterTankLarge,4,0.0
NO4,HotWaterTankLarge,4,0.0
NO5,HotWaterTankLarge,4,0.0
NO1,HotWaterTankLarge,5,0.0
NO2,HotWaterTankLarge,5,0.0
NO3,HotWaterTankLarge,5,0.0
NO4,HotWaterTankLarge,5,0.0
NO5,HotWaterTankLarge,5,0.0
NO1,HotWaterTankLarge,6,0.0
NO2,HotWaterTankLarge,6,0.0
NO3,HotWaterTankLarge,6,0.0
NO4,HotWaterTankLarge,6,0.0
NO5,HotWaterTankLarge,6,0.0
NO1,HotWaterTankLarge,7,0.0
NO2,HotWaterTankLarge,7,0.0
NO3,HotWaterTankLarge,7,0.0
NO4,HotWaterTankLarge,7,0.0
NO5,HotWaterTankLarge,7,0.0
NO1,HotWaterTankSmall,1,715.5
NO2,HotWaterTankSmall,1,715.5
NO3,HotWaterTankSmall,1,530.0
NO4,HotWaterTankSmall,1,371.0000000000001
NO5,HotWaterTankSmall,1,318.0
NO1,HotWaterTankSmall,2,715.5
NO2,HotWaterTankSmall,2,715.5
NO3,HotWaterTankSmall,2,530.0
NO4,HotWaterTankSmall,2,371.0000000000001
NO5,HotWaterTankSmall,2,318.0
NO1,HotWaterTankSmall,3,715.5
NO2,HotWaterTankSmall,3,715.5
NO3,HotWaterTankSmall,3,530.0
NO4,HotWaterTankSmall,3,371.0000000000001
NO5,HotWaterTankSmall,3,318.0
NO1,HotWaterTankSmall,4,715.5
NO2,HotWaterTankSmall,4,715.5
NO3,HotWaterTankSmall,4,530.0
NO4,HotWaterTankSmall,4,371.0000000000001
NO5,HotWaterTankSmall,4,318.0
NO1,HotWaterTankSmall,5,715.5
NO2,HotWaterTankSmall,5,715.5
NO3,HotWaterTankSmall,5,530.0
NO4,HotWaterTankSmall,5,371.0000000000001
NO5,HotWaterTankSmall,5,318.0
NO1,HotWaterTankSmall,6,715.5
NO2,HotWaterTankSmall,6,715.5
NO3,HotWaterTankSmall,6,530.0
NO4,HotWaterTankSmall,6,371.0000000000001
NO5,HotWaterTankSmall,6,318.0
NO1,HotWaterTankSmall,7,715.5
NO2,HotWaterTankSmall,7,715.5
NO3,HotWaterTankSmall,7,530.0
NO4,HotWaterTankSmall,7,371.0000000000001
NO5,HotWaterTankSmall,7,318.0
