H2TerminalNodes,H2Terminals,Period,Capacity_(ton/hr)
Italy,PipelineH2Import,1,0
Italy,PipelineH2Import,2,0
Italy,PipelineH2Import,3,0
Italy,PipelineH2Import,4,0
Italy,PipelineH2Import,5,0
Italy,PipelineH2Import,6,0
Italy,PipelineH2Import,7,0
Spain,PipelineH2Import,1,0
Spain,PipelineH2Import,2,0
Spain,PipelineH2Import,3,0
Spain,PipelineH2Import,4,0
Spain,PipelineH2Import,5,0
Spain,PipelineH2Import,6,0
Spain,PipelineH2Import,7,0
Belgium,LH2Import,1,0
Belgium,LH2Import,2,0
Belgium,LH2Import,3,0
Belgium,LH2Import,4,0
Belgium,LH2Import,5,0
Belgium,LH2Import,6,0
Belgium,LH2Import,7,0
Croatia,LH2Import,1,0
Croatia,LH2Import,2,0
Croatia,LH2Import,3,0
Croatia,LH2Import,4,0
Croatia,LH2Import,5,0
Croatia,LH2Import,6,0
Croatia,LH2Import,7,0
Estonia,LH2Import,1,0
Estonia,LH2Import,2,0
Estonia,LH2Import,3,0
Estonia,LH2Import,4,0
Estonia,LH2Import,5,0
Estonia,LH2Import,6,0
Estonia,LH2Import,7,0
France,LH2Import,1,0
France,LH2Import,2,0
France,LH2Import,3,0
France,LH2Import,4,0
France,LH2Import,5,0
France,LH2Import,6,0
France,LH2Import,7,0
Germany,LH2Import,1,0
Germany,LH2Import,2,0
Germany,LH2Import,3,0
Germany,LH2Import,4,0
Germany,LH2Import,5,0
Germany,LH2Import,6,0
Germany,LH2Import,7,0
GreatBrit.,LH2Import,1,0
GreatBrit.,LH2Import,2,0
GreatBrit.,LH2Import,3,0
GreatBrit.,LH2Import,4,0
GreatBrit.,LH2Import,5,0
GreatBrit.,LH2Import,6,0
GreatBrit.,LH2Import,7,0
Greece,LH2Import,1,0
Greece,LH2Import,2,0
Greece,LH2Import,3,0
Greece,LH2Import,4,0
Greece,LH2Import,5,0
Greece,LH2Import,6,0
Greece,LH2Import,7,0
Ireland,LH2Import,1,0
Ireland,LH2Import,2,0
Ireland,LH2Import,3,0
Ireland,LH2Import,4,0
Ireland,LH2Import,5,0
Ireland,LH2Import,6,0
Ireland,LH2Import,7,0
Lithuania,LH2Import,1,0
Lithuania,LH2Import,2,0
Lithuania,LH2Import,3,0
Lithuania,LH2Import,4,0
Lithuania,LH2Import,5,0
Lithuania,LH2Import,6,0
Lithuania,LH2Import,7,0
Netherlands,LH2Import,1,0
Netherlands,LH2Import,2,0
Netherlands,LH2Import,3,0
Netherlands,LH2Import,4,0
Netherlands,LH2Import,5,0
Netherlands,LH2Import,6,0
Netherlands,LH2Import,7,0
Poland,LH2Import,1,0
Poland,LH2Import,2,0
Poland,LH2Import,3,0
Poland,LH2Import,4,0
Poland,LH2Import,5,0
Poland,LH2Import,6,0
Poland,LH2Import,7,0
Portugal,LH2Import,1,0
Portugal,LH2Import,2,0
Portugal,LH2Import,3,0
Portugal,LH2Import,4,0
Portugal,LH2Import,5,0
Portugal,LH2Import,6,0
Portugal,LH2Import,7,0
Romania,LH2Import,1,0
Romania,LH2Import,2,0
Romania,LH2Import,3,0
Romania,LH2Import,4,0
Romania,LH2Import,5,0
Romania,LH2Import,6,0
Romania,LH2Import,7,0
Italy,LH2Import,1,0
Italy,LH2Import,2,0
Italy,LH2Import,3,0
Italy,LH2Import,4,0
Italy,LH2Import,5,0
Italy,LH2Import,6,0
Italy,LH2Import,7,0
Spain,LH2Import,1,0
Spain,LH2Import,2,0
Spain,LH2Import,3,0
Spain,LH2Import,4,0
Spain,LH2Import,5,0
Spain,LH2Import,6,0
Spain,LH2Import,7,0
